gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,CSU,Grüne,FDP,Linke,PRO,REP,HEIMAT,Tierschutzpartei,Graue,PBC,Die Frauen,FAMILIE,BüSo,BP,DZP,Volksabstimmung,AGFG,APPD,50Plus,MLPD,Die PARTEI,SGP,Pro DM
DE_05970044,Wilnsdorf,16680,13867,170,0,4303,6140,0,637,1428,537,0,95,132,81,51,181,0,72,6,0,6,19,0,0,0,4,0,5,0
DE_05974004,Anröchte,8379,6764,107,0,2369,2893,0,276,637,288,0,37,59,30,19,4,0,28,1,0,5,8,0,0,0,2,0,1,0
DE_05974008,Bad Sassendorf,9083,7468,93,0,2739,2707,0,454,928,334,0,22,63,38,32,3,0,33,3,0,4,12,0,0,0,1,0,2,0
DE_05974012,Ense,9450,7911,72,0,2765,3263,0,398,879,312,0,36,63,36,18,8,0,38,3,0,5,8,0,0,0,2,0,5,0
DE_05974016,Erwitte,12301,10117,108,0,3481,4099,0,426,1361,414,0,43,51,24,31,7,0,52,3,0,6,7,0,0,0,0,0,4,0
DE_05974020,Geseke,15185,11510,136,0,4240,4656,0,630,1070,484,0,34,79,60,24,16,0,65,3,0,2,7,0,0,0,2,0,2,0
DE_05974024,Lippetal,9432,7763,124,0,2320,3703,0,390,783,270,0,23,48,31,11,9,0,40,2,0,3,3,0,0,0,1,0,2,0
DE_05974028,Lippstadt,49816,37249,690,0,14282,13860,0,2187,3647,1663,0,158,234,147,94,80,0,141,15,0,9,25,0,0,0,3,0,14,0
DE_05974032,Möhnesee,8820,7282,52,0,2342,3095,0,451,891,291,0,27,44,30,16,1,0,23,3,0,4,4,0,0,0,3,0,5,0
DE_05974036,Rüthen,8998,7546,89,0,2512,3512,0,282,684,305,0,22,48,26,29,2,0,26,2,0,1,6,0,0,0,0,0,0,0
DE_05974040,Soest,35968,27355,355,0,10526,9016,0,2257,3170,1286,0,91,215,124,86,42,0,123,4,0,13,28,0,0,0,7,0,12,0
DE_05974044,Warstein,22055,17532,197,0,7212,6596,0,857,1530,762,0,52,90,66,46,14,0,74,2,0,6,17,0,0,0,2,0,9,0
DE_05974048,Welver,10046,8308,97,0,3249,2874,0,550,922,379,0,23,77,43,26,3,0,41,2,0,6,6,0,0,0,4,0,6,0
