gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,Grüne,FDP,AfD,CSU,Linke,FW,Tierschutzpartei,dieBasis,Die PARTEI,Team Todenhöfer,PIRATEN,Volt,ÖDP,SSW,Verjüngungsforschung,PdH,Bündnis C,BP,MLPD,Menschliche Welt,PdF,SGP,BüSo,BD,BSW,MERA25,WU
DE_07336038,Heinzenhausen,190,111,0,0,27,25,2,8,39,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
DE_07336039,Herchweiler,375,205,3,0,42,28,12,8,72,0,6,9,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
DE_07336040,Herren-Sulzbach,130,85,1,0,10,29,2,4,24,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
DE_07336041,Herschweiler-Pettersheim,1019,462,4,0,114,83,32,14,163,0,12,16,8,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,9,0,0
DE_07336042,Hinzweiler,267,146,2,0,54,24,7,5,36,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
DE_07336043,Hohenöllen,298,157,2,0,26,37,5,6,61,0,6,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
DE_07336044,Homberg,173,83,2,0,21,12,3,4,31,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
DE_07336045,Hoppstädten,233,151,1,0,28,45,7,8,42,0,5,2,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
DE_07336046,Horschbach,194,114,2,0,26,22,3,1,34,0,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
DE_07336047,Hüffler,418,198,0,0,38,42,13,8,51,0,15,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_07336048,Jettenbach,621,322,5,0,89,70,22,11,74,0,12,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0
DE_07336049,Kappeln,160,114,3,0,19,50,2,9,16,0,6,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE_07336050,Kirrweiler,129,81,5,0,28,10,0,1,23,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_07336051,Körborn,281,147,0,0,37,38,8,2,37,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
DE_07336052,Konken,653,342,1,0,76,77,18,11,105,0,18,8,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0
DE_07336053,Kreimbach-Kaulbach,585,301,2,0,76,66,21,11,91,0,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0
DE_07336054,Krottelbach,523,244,2,0,69,44,15,16,57,0,23,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0
DE_07336055,Kusel,3726,1543,21,0,309,327,85,66,521,0,82,28,27,0,5,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,64,0,0
DE_07336056,Langenbach,362,208,4,0,37,49,12,7,66,0,11,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
DE_07336057,Langweiler,189,89,0,0,23,22,4,3,24,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_07336058,Lauterecken,1562,534,6,0,89,102,22,31,215,0,25,10,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0
DE_07336060,Lohnweiler,314,128,3,0,19,30,4,5,39,0,7,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
DE_07336061,Medard,368,169,4,0,43,38,14,6,43,0,11,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
DE_07336062,Merzweiler,133,96,1,0,12,32,6,3,25,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
DE_07336064,Nanzdietschweiler,899,417,2,0,86,109,25,17,112,0,21,11,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
DE_07336065,Nerzweiler,87,43,1,0,10,6,3,4,11,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
DE_07336066,Neunkirchen am Potzberg,300,171,1,0,35,35,4,3,59,0,9,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
DE_07336067,Niederalben,255,130,2,0,28,37,6,7,33,0,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_07336068,Niederstaufenbach,192,128,0,0,34,42,5,6,25,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0
DE_07336069,Nußbach,477,203,2,0,43,35,6,10,79,0,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0
DE_07336070,Oberalben,164,96,2,0,22,14,10,2,25,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
DE_07336071,Oberstaufenbach,196,114,1,0,18,31,4,3,40,0,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,0,0
DE_07336072,Oberweiler im Tal,123,82,2,0,16,18,3,6,23,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
DE_07336073,Oberweiler-Tiefenbach,206,131,1,0,35,25,11,6,34,0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
DE_07336074,Odenbach,659,318,3,0,65,57,21,11,114,0,21,6,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0
DE_07336075,Offenbach-Hundheim,869,410,4,0,79,88,20,13,130,0,30,10,9,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0
DE_07336076,Ohmbach,594,287,1,0,43,81,23,16,84,0,12,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0
DE_07336077,Pfeffelbach,731,416,7,0,70,72,28,11,181,0,14,6,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
DE_07336079,Rammelsbach,1188,542,5,0,80,106,19,22,236,0,30,11,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,20,0,0
DE_07336081,Rathsweiler,119,72,2,0,9,26,3,2,16,0,5,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_07336082,Rehweiler,330,195,4,0,48,45,20,9,43,0,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
DE_07336084,Reichweiler,449,240,3,0,65,54,5,6,70,0,12,8,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0
DE_07336085,Reipoltskirchen,272,103,2,0,12,24,9,4,36,0,6,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_07336086,Relsberg,133,75,0,0,27,16,11,1,14,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
