gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,CSU,Grüne,FDP,PDS,REP,Graue,Tierschutzpartei,HEIMAT,ÖDP,PBC,Die Frauen,BP,FAMILIE,CM,BüSo,HP,DVP,AUFBRUCH,DZP,KPD,PRG,PRO,Volksabstimmung,DKP,DSU,Others
DE_01051130,Wesseln,1026,780,11,0,374,303,0,36,49,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051131,Westerborstel,81,74,3,0,10,53,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051132,Westerdeichstrich,701,466,6,0,201,201,0,16,33,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051133,Wiemerstedt,144,112,1,0,29,70,0,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051134,Windbergen,617,472,6,0,167,255,0,12,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_01051135,Wolmersdorf,264,205,1,0,85,90,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051136,Wrohm,599,474,4,0,169,262,0,9,24,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051137,Nordermeldorf,498,371,4,0,132,199,0,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051138,Tensbüttel-Röst,544,389,4,0,132,212,0,10,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051139,Süderdorf,291,228,5,0,45,157,0,7,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051140,Oesterwurth,224,156,3,0,51,86,0,6,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051999,Briefwahl für mehrere Gemeinden,0,5720,31,0,2194,2807,0,226,355,59,0,29,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
DE_01053001,Albsfelde,59,50,1,0,18,23,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053002,Alt Mölln,643,451,4,0,188,207,0,13,28,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053003,Aumühle,2593,1707,11,0,615,872,0,98,91,13,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053004,Bäk,632,456,14,0,162,220,0,11,46,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053005,Bälau,181,135,4,0,53,64,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053006,Basedow,493,334,3,0,172,129,0,10,12,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053007,Basthorst,319,251,2,0,115,107,0,13,9,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053008,Behlendorf,266,208,3,0,69,115,0,13,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053009,Berkenthin,1381,972,17,0,472,380,0,41,46,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053010,Besenthal,68,56,0,0,15,38,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053011,Bliestorf,502,376,9,0,208,107,0,27,20,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053012,Börnsen,2958,2186,24,0,1116,787,0,125,100,20,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053013,Borstorf,229,170,3,0,75,78,0,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053014,Breitenfelde,1391,1029,8,0,499,419,0,28,68,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
