gisco_id,name,registered,turnout,invalid,blank,LFI-PRG-GRS-MRC,AR,PI-SIEL,PP (2006),LREM-MoDem-Agir-MR-UDE-AC,DR [Démocratie représentative],LP (2017),PACE,GE-MEI-MDP-UDE,DF,UDI,PS-PP-ND-PRG,PFE,MIC,DLF,AE,D19,LO,PCF,UPR,G·s,AVE,RN,NEA,PRC,EDE,ÉC,AJ,LR-LC-CPNT,LÉ,PA,ACPLI,UDLEF,UDMF
FR_76346,Hautot-lAuvray,224,135,7,2,13,0,0,0,19,0,1,0,3,0,5,6,0,0,2,0,0,2,2,0,0,0,51,0,0,0,0,2,13,5,2,0,0,0
FR_76347,Hautot-le-Vatois,272,163,1,10,6,0,0,0,37,0,1,0,1,0,8,7,0,0,11,0,0,0,4,3,5,0,24,0,0,0,0,1,22,16,4,0,2,0
FR_76349,Hautot-sur-Mer,1636,985,22,26,52,0,0,3,247,0,6,0,13,0,29,52,1,0,34,0,1,12,52,3,20,0,195,0,0,0,0,6,73,118,20,0,0,0
FR_76350,Hautot-sur-Seine,293,199,1,2,15,0,0,0,47,0,0,0,3,0,3,12,0,0,12,0,0,0,9,0,9,0,43,0,0,0,0,1,14,27,1,0,0,0
FR_50233,Hautteville-Bocage,113,53,3,2,2,0,0,0,4,0,1,0,0,0,2,1,0,0,6,0,0,0,0,1,5,0,14,0,0,0,0,0,6,5,1,0,0,0
FR_51287,Hautvillers,577,335,4,4,9,0,0,0,93,0,1,0,4,0,8,11,0,0,21,0,0,2,2,0,4,0,67,0,0,0,0,1,60,38,6,0,0,0
FR_80422,Hautvillers-Ouville,422,242,3,12,16,0,0,0,39,0,4,2,1,0,7,6,0,0,12,0,0,6,2,0,5,0,84,0,0,0,0,0,15,19,9,0,0,0
FR_27316,Hauville,1004,582,7,8,33,0,0,0,126,0,6,0,9,0,19,26,0,0,24,0,1,4,9,7,14,0,187,0,0,0,0,4,24,58,12,4,0,0
FR_08220,Hauviné,211,123,3,0,6,0,0,0,25,0,0,0,0,0,4,5,0,0,4,0,0,3,2,1,0,0,49,0,0,0,0,0,14,3,4,0,0,0
FR_33201,Haux,591,356,6,5,28,0,0,0,60,0,5,0,4,0,5,25,0,0,10,0,0,3,11,4,13,0,86,0,0,0,0,2,22,57,9,1,0,0
FR_64258,Haux,101,56,3,5,8,0,0,0,8,0,1,0,1,0,2,1,0,0,0,0,0,3,0,0,2,0,9,0,0,0,0,2,1,10,0,0,0,0
FR_57305,Havange,325,158,6,6,10,0,0,0,31,0,0,0,7,0,2,9,0,0,5,0,0,0,4,1,3,0,38,0,0,0,0,4,5,22,5,0,0,0
FR_28193,Havelu,120,64,0,2,4,0,0,0,16,0,1,0,2,0,2,1,0,0,4,0,0,0,0,1,2,0,10,0,0,0,0,0,8,5,6,0,0,0
FR_59292,Haveluy,2103,1146,21,28,125,0,0,0,78,0,20,1,5,0,16,61,1,0,28,0,0,12,97,8,26,0,493,0,0,2,0,13,17,55,31,3,0,5
FR_80423,Havernas,338,203,9,4,8,0,0,0,44,0,2,1,0,0,5,17,0,0,6,0,0,2,3,2,2,0,59,0,0,0,0,2,12,20,5,0,0,0
