gisco_id,name,registered,turnout,invalid,blank,EXG,PCF,LFI,PS,ECO,DIV,MoDem,LR,RN,DLF,DVG,RE,PRG,UDI,EXD,DVD,REG
FR_77533,Vulaines-sur-Seine,2010,1110,2,6,3,18,86,0,60,6,0,276,135,31,0,486,0,0,0,0,1
FR_77004,Andrezel,250,131,1,6,1,1,13,10,1,1,0,0,31,8,0,0,0,55,0,3,0
FR_77007,Argentières,285,129,0,1,0,1,9,21,7,1,0,0,30,8,0,0,0,51,0,0,0
FR_77010,Aubepierre-Ozouer-le-Repos,604,328,0,8,2,9,54,28,10,5,0,0,81,22,0,0,0,104,0,5,0
FR_77021,Barbey,132,61,0,0,2,1,9,2,4,0,0,0,11,2,0,0,0,30,0,0,0
FR_77029,Beauvoir,154,99,1,1,1,3,19,4,4,0,0,0,21,1,0,0,0,44,0,0,0
FR_77034,Blandy,545,270,4,5,4,3,24,20,38,5,0,0,50,17,0,0,0,96,0,4,0
FR_77044,Bombon,669,317,0,13,5,5,68,37,19,2,0,0,57,10,0,0,0,97,0,4,0
FR_77052,Bréau,280,129,0,4,0,1,31,15,7,3,0,0,28,3,0,0,0,34,0,3,0
FR_77054,La Brosse-Montceaux,551,255,9,2,3,10,26,15,14,5,0,0,62,10,0,0,0,99,0,0,0
FR_77061,Cannes-Écluse,1652,807,8,33,14,27,95,39,21,8,0,0,202,36,0,0,0,319,0,5,0
FR_77079,Champagne-sur-Seine,3798,1533,9,33,27,39,267,138,90,29,0,0,307,55,0,0,0,531,0,8,0
FR_77081,Champdeuil,417,194,2,6,1,5,29,10,12,2,0,0,58,14,0,0,0,53,0,2,0
FR_77082,Champeaux,589,291,0,3,7,3,51,32,20,6,0,0,49,16,0,0,0,100,0,4,0
FR_77086,La Chapelle-Gauthier,976,417,2,14,4,13,54,30,41,12,0,0,114,23,0,0,0,103,0,7,0
FR_77096,Chartrettes,1982,964,3,27,12,21,138,116,87,11,0,0,112,30,0,0,0,380,0,27,0
FR_77100,Le Châtelet-en-Brie,3282,1499,5,35,18,26,176,162,96,17,0,0,309,55,0,0,0,525,0,75,0
FR_77103,Châtillon-la-Borde,182,101,1,1,2,3,8,9,5,1,0,0,13,4,0,0,0,50,0,4,0
FR_77119,Clos-Fontaine,221,92,0,0,0,0,19,8,8,2,0,0,30,4,0,0,0,21,0,0,0
FR_77133,Courcelles-en-Bassée,173,112,7,1,0,0,6,3,3,0,0,0,33,2,0,0,0,57,0,0,0
FR_77138,Courtomer,427,204,0,5,3,3,45,25,16,3,0,0,37,10,0,0,0,55,0,2,0
FR_77145,Crisenoy,517,254,1,7,4,2,32,21,14,1,0,0,63,11,0,0,0,97,0,1,0
FR_77161,Dormelles,645,341,0,7,1,14,50,20,27,2,0,0,60,14,0,0,0,142,0,4,0
FR_77164,Échouboulains,402,204,1,3,2,6,28,4,6,2,0,0,41,10,0,0,0,97,0,4,0
FR_77165,Les Écrennes,518,218,1,7,2,1,34,10,7,1,0,0,58,8,0,0,0,83,0,6,0
FR_77172,Esmans,667,359,5,10,3,21,40,13,22,5,0,0,71,7,0,0,0,160,0,2,0
FR_77179,Féricy,457,252,1,8,2,7,35,25,27,2,0,0,30,5,0,0,0,105,0,5,0
FR_77188,Fontaine-le-Port,759,411,2,1,1,3,49,50,30,9,0,0,59,12,0,0,0,183,0,12,0
FR_77191,Fontenailles,809,361,1,7,1,16,59,34,18,5,0,0,117,3,0,0,0,96,0,4,0
FR_77194,Forges,274,141,0,7,1,2,10,10,3,4,0,0,45,3,0,0,0,52,0,4,0
FR_77195,Fouju,475,249,2,9,5,2,32,13,22,1,0,0,82,14,0,0,0,66,0,1,0
FR_77210,La Grande-Paroisse,1876,920,8,32,8,19,115,77,46,5,0,0,228,27,0,0,0,338,0,17,0
FR_77211,Grandpuits-Bailly-Carrois,668,320,3,5,5,8,40,15,6,1,0,0,105,12,0,0,0,119,0,1,0
FR_77222,Guignes,2305,895,7,26,13,12,132,95,39,14,0,0,244,27,0,0,0,281,0,5,0
