gisco_id,name,registered,turnout,invalid,blank,NUPES,LR,ENS,RN,DVD,DVG,REG,DVC,UDI,DSV,DXG,DIV
FR_81123,Lacapelle-Ségalar,90,62,0,1,14,0,33,0,0,0,0,0,0,0,0,0
FR_81131,Lagrave,1758,946,8,16,294,0,348,0,0,0,0,0,0,0,0,0
FR_81135,Laparrouquial,76,57,0,2,11,0,30,0,0,0,0,0,0,0,0,0
FR_81136,Larroque,140,95,1,0,42,0,40,0,0,0,0,0,0,0,0,0
FR_81138,Lasgraisses,396,244,4,5,73,0,84,0,0,0,0,0,0,0,0,0
FR_81144,Lescure-dAlbigeois,3683,2135,33,43,654,0,736,0,0,0,0,0,0,0,0,0
FR_81145,Lisle-sur-Tarn,3907,2355,27,27,885,0,830,0,0,0,0,0,0,0,0,0
FR_81146,Livers-Cazelles,201,125,0,3,34,0,48,0,0,0,0,0,0,0,0,0
FR_81148,Loubers,84,61,0,2,20,0,14,0,0,0,0,0,0,0,0,0
FR_81149,Loupiac,383,204,3,10,69,0,66,0,0,0,0,0,0,0,0,0
FR_81152,Mailhoc,221,138,3,2,46,0,53,0,0,0,0,0,0,0,0,0
FR_81154,Marnaves,60,37,0,0,10,0,19,0,0,0,0,0,0,0,0,0
FR_81156,Marssac-sur-Tarn,2491,1447,15,26,456,0,551,0,0,0,0,0,0,0,0,0
FR_81164,Mézens,430,237,2,10,109,0,76,0,0,0,0,0,0,0,0,0
FR_81165,Milhars,233,144,0,3,61,0,44,0,0,0,0,0,0,0,0,0
FR_81166,Milhavet,75,53,0,2,22,0,17,0,0,0,0,0,0,0,0,0
FR_81168,Mirandol-Bourgnounac,946,592,8,14,196,0,228,0,0,0,0,0,0,0,0,0
FR_81169,Missècle,79,60,0,3,12,0,18,0,0,0,0,0,0,0,0,0
FR_81170,Monestiés,1028,645,18,10,248,0,177,0,0,0,0,0,0,0,0,0
FR_81171,Montans,1221,737,9,20,262,0,255,0,0,0,0,0,0,0,0,0
FR_81172,Montauriol,42,32,0,2,6,0,12,0,0,0,0,0,0,0,0,0
FR_81175,Montdurausse,309,163,3,4,48,0,53,0,0,0,0,0,0,0,0,0
FR_81176,Montels,84,54,0,3,20,0,24,0,0,0,0,0,0,0,0,0
FR_81178,Montgaillard,290,185,1,6,58,0,66,0,0,0,0,0,0,0,0,0
FR_81180,Montirat,223,152,0,4,61,0,64,0,0,0,0,0,0,0,0,0
FR_81184,Montrosier,33,28,0,1,8,0,14,0,0,0,0,0,0,0,0,0
FR_81185,Montvalen,195,127,3,0,47,0,35,0,0,0,0,0,0,0,0,0
FR_81186,Moularès,262,183,3,5,60,0,66,0,0,0,0,0,0,0,0,0
FR_81187,Moulayrès,174,97,1,1,31,0,30,0,0,0,0,0,0,0,0,0
FR_81191,Mouzieys-Panens,220,154,2,3,63,0,57,0,0,0,0,0,0,0,0,0
FR_81197,Noailles,186,123,2,3,40,0,35,0,0,0,0,0,0,0,0,0
FR_81201,Pampelonne,684,471,13,7,184,0,137,0,0,0,0,0,0,0,0,0
FR_81202,Parisot,688,450,10,6,173,0,149,0,0,0,0,0,0,0,0,0
FR_81206,Penne,531,340,4,3,197,0,89,0,0,0,0,0,0,0,0,0
FR_81208,Peyrole,440,269,1,8,90,0,96,0,0,0,0,0,0,0,0,0
FR_81215,Puybegon,555,340,2,5,105,0,110,0,0,0,0,0,0,0,0,0
FR_81217,Puycelsi,385,262,1,4,93,0,100,0,0,0,0,0,0,0,0,0
FR_81220,Rabastens,4659,2844,25,42,1303,0,957,0,0,0,0,0,0,0,0,0
FR_81224,Le Riols,91,58,1,0,22,0,25,0,0,0,0,0,0,0,0,0
FR_81225,Rivières,826,461,6,12,168,0,147,0,0,0,0,0,0,0,0,0
FR_81228,Roquemaure,355,181,0,3,83,0,54,0,0,0,0,0,0,0,0,0
FR_81230,Rosières,632,409,7,16,139,0,116,0,0,0,0,0,0,0,0,0
FR_81234,Roussayrolles,74,45,0,0,31,0,11,0,0,0,0,0,0,0,0,0
FR_81243,Saint-Beauzile,114,86,0,1,54,0,17,0,0,0,0,0,0,0,0,0
FR_81244,Saint-Benoît-de-Carmaux,1754,819,10,32,353,0,161,0,0,0,0,0,0,0,0,0
FR_81245,Saint-Christophe,121,79,0,4,37,0,23,0,0,0,0,0,0,0,0,0
FR_81246,Sainte-Cécile-du-Cayrou,107,75,0,4,28,0,20,0,0,0,0,0,0,0,0,0
FR_81248,Saint-Gauzens,654,376,3,11,92,0,128,0,0,0,0,0,0,0,0,0
FR_81249,Sainte-Gemme,702,372,5,7,123,0,106,0,0,0,0,0,0,0,0,0
FR_81253,Saint-Grégoire,375,230,0,10,63,0,60,0,0,0,0,0,0,0,0,0
FR_81254,Saint-Jean-de-Marcel,304,194,2,13,56,0,66,0,0,0,0,0,0,0,0,0
FR_81262,Saint-Marcel-Campes,200,141,2,2,42,0,53,0,0,0,0,0,0,0,0,0
FR_81263,Saint-Martin-Laguépie,315,196,1,6,71,0,71,0,0,0,0,0,0,0,0,0
FR_81265,Saint-Michel-de-Vax,67,50,1,1,26,0,12,0,0,0,0,0,0,0,0,0
FR_81272,Saint-Urcisse,192,118,3,1,54,0,26,0,0,0,0,0,0,0,0,0
FR_81275,Salles,164,101,1,0,43,0,36,0,0,0,0,0,0,0,0,0
FR_81276,Salvagnac,894,504,9,19,219,0,147,0,0,0,0,0,0,0,0,0
FR_81277,Saussenac,447,259,2,4,66,0,92,0,0,0,0,0,0,0,0,0
FR_81279,La Sauzière-Saint-Jean,213,123,3,0,47,0,42,0,0,0,0,0,0,0,0,0
FR_81280,Le Ségur,204,128,1,3,42,0,56,0,0,0,0,0,0,0,0,0
FR_81283,Senouillac,951,566,1,4,192,0,229,0,0,0,0,0,0,0,0,0
FR_81285,Sérénac,334,173,3,6,43,0,68,0,0,0,0,0,0,0,0,0
FR_81290,Souel,147,101,1,0,31,0,43,0,0,0,0,0,0,0,0,0
FR_81291,Taïx,406,231,3,9,80,0,69,0,0,0,0,0,0,0,0,0
FR_81292,Tanus,423,257,4,7,65,0,108,0,0,0,0,0,0,0,0,0
FR_81293,Tauriac,289,154,2,2,47,0,40,0,0,0,0,0,0,0,0,0
FR_81294,Técou,830,465,1,14,140,0,168,0,0,0,0,0,0,0,0,0
FR_81297,Terssac,1054,622,9,10,155,0,277,0,0,0,0,0,0,0,0,0
FR_81300,Tonnac,90,64,0,1,16,0,23,0,0,0,0,0,0,0,0,0
FR_81302,Tréban,53,39,0,1,7,0,11,0,0,0,0,0,0,0,0,0
FR_81304,Trévien,160,93,0,4,37,0,32,0,0,0,0,0,0,0,0,0
FR_81306,Valderiès,782,487,10,14,140,0,197,0,0,0,0,0,0,0,0,0
FR_81309,Vaour,336,208,1,5,131,0,36,0,0,0,0,0,0,0,0,0
FR_81313,Le Verdier,202,149,1,3,49,0,72,0,0,0,0,0,0,0,0,0
FR_81316,Vieux,168,107,1,6,40,0,30,0,0,0,0,0,0,0,0,0
FR_81319,Villeneuve-sur-Vère,446,265,2,6,105,0,82,0,0,0,0,0,0,0,0,0
FR_81320,Vindrac-Alayrac,134,100,1,3,36,0,33,0,0,0,0,0,0,0,0,0
FR_81322,Virac,206,133,3,1,47,0,46,0,0,0,0,0,0,0,0,0
FR_81326,Sainte-Croix,315,204,4,9,85,0,59,0,0,0,0,0,0,0,0,0
FR_81001,Aguts,219,154,4,12,66,0,72,0,0,0,0,0,0,0,0,0
FR_81002,Aiguefonde,2105,1054,47,79,487,0,441,0,0,0,0,0,0,0,0,0
FR_81005,Albine,430,275,21,33,101,0,120,0,0,0,0,0,0,0,0,0
FR_81006,Algans,183,126,21,0,55,0,50,0,0,0,0,0,0,0,0,0
FR_81011,Ambres,893,500,19,31,244,0,206,0,0,0,0,0,0,0,0,0
FR_81015,Appelle,58,39,4,2,24,0,9,0,0,0,0,0,0,0,0,0
FR_81016,Arfons,211,141,1,21,59,0,60,0,0,0,0,0,0,0,0,0
FR_81021,Aussillon,4270,1995,73,137,787,0,998,0,0,0,0,0,0,0,0,0
FR_81022,Bannières,179,113,2,7,44,0,60,0,0,0,0,0,0,0,0,0
FR_81025,Belcastel,202,123,6,3,53,0,61,0,0,0,0,0,0,0,0,0
FR_81027,Belleserre,140,90,3,10,29,0,48,0,0,0,0,0,0,0,0,0
FR_81030,Bertre,91,66,7,9,34,0,16,0,0,0,0,0,0,0,0,0
FR_81032,Blan,788,393,21,35,183,0,154,0,0,0,0,0,0,0,0,0
FR_81034,Boissezon,271,139,8,6,70,0,55,0,0,0,0,0,0,0,0,0
FR_81036,Bout-du-Pont-de-Larn,1008,577,23,43,197,0,314,0,0,0,0,0,0,0,0,0
FR_81040,Brousse,338,198,12,26,73,0,87,0,0,0,0,0,0,0,0,0
FR_81044,Cabanès,221,119,4,10,52,0,53,0,0,0,0,0,0,0,0,0
FR_81049,Cahuzac,178,83,7,4,32,0,40,0,0,0,0,0,0,0,0,0
FR_81050,Cambon-lès-Lavaur,278,163,9,12,81,0,61,0,0,0,0,0,0,0,0,0
FR_81054,Cambounet-sur-le-Sor,762,382,12,40,148,0,182,0,0,0,0,0,0,0,0,0
FR_81055,Les Cammazes,266,163,9,13,76,0,65,0,0,0,0,0,0,0,0,0
FR_81058,Carbes,186,113,16,2,34,0,61,0,0,0,0,0,0,0,0,0
FR_81066,Caucalières,251,138,5,11,61,0,61,0,0,0,0,0,0,0,0,0
FR_81075,Cuq,371,213,31,1,75,0,106,0,0,0,0,0,0,0,0,0
FR_81076,Cuq-Toulza,500,266,14,17,117,0,118,0,0,0,0,0,0,0,0,0
FR_81078,Damiatte,794,420,11,28,222,0,159,0,0,0,0,0,0,0,0,0
FR_81081,Dourgne,986,558,22,45,223,0,268,0,0,0,0,0,0,0,0,0
FR_81083,Durfort,215,100,3,8,45,0,44,0,0,0,0,0,0,0,0,0
FR_81084,Escoussens,549,259,9,38,115,0,97,0,0,0,0,0,0,0,0,0
FR_81092,Fiac,717,385,16,19,180,0,170,0,0,0,0,0,0,0,0,0
FR_81098,Fréjeville,557,320,13,27,104,0,176,0,0,0,0,0,0,0,0,0
FR_81100,Garrevaques,311,157,19,1,80,0,57,0,0,0,0,0,0,0,0,0
FR_81102,Garrigues,254,154,2,11,76,0,65,0,0,0,0,0,0,0,0,0
FR_81104,Giroussens,1315,712,23,57,316,0,316,0,0,0,0,0,0,0,0,0
FR_81109,Jonquières,350,199,6,21,61,0,111,0,0,0,0,0,0,0,0,0
FR_81115,Labastide-Rouairoux,1043,516,26,56,259,0,175,0,0,0,0,0,0,0,0,0
FR_81116,Labastide-Saint-Georges,1570,891,49,51,389,0,402,0,0,0,0,0,0,0,0,0
FR_81118,Laboulbène,123,75,5,10,22,0,38,0,0,0,0,0,0,0,0,0
FR_81120,Labruguière,4980,2417,130,209,984,0,1094,0,0,0,0,0,0,0,0,0
FR_81121,Lacabarède,241,144,9,19,52,0,64,0,0,0,0,0,0,0,0,0
FR_81126,Lacougotte-Cadoul,153,104,1,7,51,0,45,0,0,0,0,0,0,0,0,0
FR_81127,Lacroisille,131,71,4,9,35,0,23,0,0,0,0,0,0,0,0,0
FR_81129,Lagardiolle,191,111,14,0,41,0,56,0,0,0,0,0,0,0,0,0
FR_81130,Lagarrigue,1397,731,37,60,244,0,390,0,0,0,0,0,0,0,0,0
FR_81132,Guitalens-L'Albarède,719,352,13,38,148,0,153,0,0,0,0,0,0,0,0,0
FR_81139,Lautrec,1350,793,19,64,319,0,391,0,0,0,0,0,0,0,0,0
FR_81140,Lavaur,8636,4519,168,351,1939,0,2061,0,0,0,0,0,0,0,0,0
FR_81142,Lempaut,641,326,27,22,122,0,155,0,0,0,0,0,0,0,0,0
FR_81143,Lescout,551,247,13,29,109,0,96,0,0,0,0,0,0,0,0,0
FR_81150,Lugan,349,197,15,0,105,0,77,0,0,0,0,0,0,0,0,0
FR_81151,Magrin,120,83,2,10,49,0,22,0,0,0,0,0,0,0,0,0
FR_81157,Marzens,275,154,8,14,69,0,63,0,0,0,0,0,0,0,0,0
FR_81159,Massac-Séran,351,220,4,15,86,0,115,0,0,0,0,0,0,0,0,0
FR_81160,Massaguel,325,181,6,8,103,0,64,0,0,0,0,0,0,0,0,0
FR_81162,Maurens-Scopont,121,82,0,4,43,0,35,0,0,0,0,0,0,0,0,0
FR_81163,Mazamet,7054,3233,126,244,1138,0,1725,0,0,0,0,0,0,0,0,0
FR_81173,Montcabrier,208,133,5,6,63,0,59,0,0,0,0,0,0,0,0,0
FR_81174,Montdragon,419,236,11,31,97,0,97,0,0,0,0,0,0,0,0,0
FR_81179,Montgey,222,149,7,10,57,0,75,0,0,0,0,0,0,0,0,0
FR_81181,Montpinier,143,98,5,9,30,0,54,0,0,0,0,0,0,0,0,0
FR_81189,Mouzens,101,79,3,8,48,0,20,0,0,0,0,0,0,0,0,0
FR_81195,Navès,650,359,17,25,124,0,193,0,0,0,0,0,0,0,0,0
FR_81196,Noailhac,684,391,14,36,140,0,201,0,0,0,0,0,0,0,0,0
FR_81200,Palleville,369,194,2,23,88,0,81,0,0,0,0,0,0,0,0,0
FR_81204,Payrin-Augmontel,1823,969,33,87,323,0,526,0,0,0,0,0,0,0,0,0
FR_81205,Péchaudier,162,111,4,6,46,0,55,0,0,0,0,0,0,0,0,0
FR_81207,Peyregoux,76,50,3,5,25,0,17,0,0,0,0,0,0,0,0,0
