gisco_id,name,registered,turnout,invalid,blank,EXG,FG,PRG,LÉ,ECO,LR,DVD,RN,PS,PRV,DVG,MoDem,EXD,NC (2007),AC,DIV,REG
FR_76190,Crasville-la-Rocquefort,197,120,5,0,1,3,0,1,0,31,0,10,69,0,0,0,0,0,0,0,0
FR_76191,Cressy,201,127,3,0,3,10,0,7,0,44,0,25,35,0,0,0,0,0,0,0,0
FR_76192,Criel-sur-Mer,2190,1282,16,0,17,203,0,16,0,336,11,244,417,0,0,22,0,0,0,0,0
FR_76193,La Crique,269,138,4,0,2,6,0,3,0,45,0,31,47,0,0,0,0,0,0,0,0
FR_76194,Criquebeuf-en-Caux,306,194,1,0,7,8,0,7,0,55,0,27,88,0,0,1,0,0,0,0,0
FR_76195,Criquetot-le-Mauconduit,124,69,0,0,0,3,0,2,0,26,0,16,21,0,0,1,0,0,0,0,0
FR_76196,Criquetot-lEsneval,1680,1071,29,0,20,59,0,31,0,473,0,143,296,0,0,20,0,0,0,0,0
FR_76197,Criquetot-sur-Longueville,163,93,0,0,1,5,0,5,0,40,0,13,29,0,0,0,0,0,0,0,0
FR_76198,Criquetot-sur-Ouville,575,361,10,0,4,7,0,3,0,161,0,51,125,0,0,0,0,0,0,0,0
FR_76199,Criquiers,515,323,2,0,2,10,0,3,0,154,1,66,82,0,0,3,0,0,0,0,0
FR_76200,Critot,386,249,6,0,5,12,0,12,0,59,0,49,106,0,0,0,0,0,0,0,0
FR_76201,Croisy-sur-Andelle,430,253,2,0,11,16,1,86,0,59,3,68,0,0,0,7,0,0,0,0,0
FR_76202,Croixdalle,186,114,1,0,0,7,0,3,0,43,0,30,30,0,0,0,0,0,0,0,0
FR_76203,Croix-Mare,547,323,8,0,4,7,0,4,0,78,2,56,155,0,2,0,0,7,0,0,0
FR_76204,Cropus,180,120,1,0,2,9,0,2,0,28,0,24,54,0,0,0,0,0,0,0,0
FR_76205,Crosville-sur-Scie,198,131,1,0,2,8,0,0,0,51,0,22,47,0,0,0,0,0,0,0,0
FR_76206,Cuverville,276,169,1,0,3,10,0,12,0,61,0,38,41,0,0,3,0,0,0,0,0
