gisco_id,name,registered,turnout,invalid,blank,ENS,RN,NFP,UXD,LR,DVD,DVG,HOR,DVC,REG,UDI,EXD,DIV,ECO,DSV,LFI,PS
FR_49110,Corzé,1452,1052,12,71,0,353,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0
FR_49112,Le Coudray-Macouard,776,570,9,23,296,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49113,Courchamps,379,268,2,10,150,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49114,Courléon,143,100,2,4,0,40,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
FR_49120,Denée,1125,902,5,16,401,246,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49121,Dénezé-sous-Doué,349,244,4,15,120,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49123,Distré,1318,969,16,37,482,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49125,Doué-en-Anjou,8249,5495,64,157,2944,2330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49127,Durtal,2614,1624,32,63,0,645,0,0,884,0,0,0,0,0,0,0,0,0,0,0,0
FR_49129,Écouflant,3644,2679,10,36,1156,771,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49130,Écuillé,502,394,1,5,147,115,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49131,Épieds,556,406,8,13,139,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49132,Étriché,1183,785,5,39,0,305,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0
FR_49135,Feneu,1686,1263,6,24,528,360,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49138,Bois d'Anjou,2019,1406,30,52,0,536,0,0,788,0,0,0,0,0,0,0,0,0,0,0,0
FR_49140,Fontevraud-lAbbaye,762,551,9,19,284,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49155,Grez-Neuville,1156,919,4,17,355,244,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49161,La Jaille-Yvon,268,190,0,1,46,86,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
