gisco_id,registered,turnout,blank,invalid,A,B,C,F,J,K,N,O,V
DK_775,5644,2628,33,6,627,101,185,94,150,50,82,165,1135
DK_777,4549,1972,28,4,632,109,185,74,133,33,63,106,605
DK_779,21200,9051,120,14,3199,570,856,631,566,106,447,678,1864
DK_781,5785,2818,50,3,959,210,151,129,169,19,120,178,830
DK_783,4826,2349,40,8,746,137,140,101,192,38,128,136,683
DK_785,8464,3669,45,2,1039,119,461,131,270,157,143,244,1058
DK_787,21768,9740,94,12,3164,420,871,550,844,236,393,652,2504
DK_789,6156,3065,41,8,774,139,218,177,213,54,89,195,1157
DK_791,32887,14868,197,37,4872,888,1359,1021,931,205,597,832,3929
DK_793,5629,2373,23,1,527,65,87,85,134,54,62,114,1221
DK_801,6126,2737,33,5,829,114,187,142,268,37,82,182,858
DK_803,6257,3003,21,2,1277,97,156,101,255,41,79,173,801
DK_805,15276,6683,77,7,2231,199,555,312,640,108,256,402,1896
DK_807,11396,5151,49,7,1563,163,393,266,538,94,162,338,1578
DK_809,6064,2591,23,3,638,82,234,91,283,86,72,139,940
DK_811,6267,2741,18,3,830,81,188,110,259,72,79,155,946
DK_813,26037,10132,105,22,3576,266,839,493,1256,174,437,864,2100
DK_815,8280,3595,47,6,1202,114,312,126,391,22,110,254,1011
DK_817,8508,3863,38,8,1244,146,312,139,560,34,164,256,962
DK_819,10539,4236,39,5,1308,138,438,195,484,78,163,309,1079
DK_821,26589,11350,97,18,3896,507,940,652,1158,160,397,646,2879
DK_823,11242,4772,47,8,1476,289,458,264,414,71,165,323,1257
DK_825,1729,643,6,0,144,23,50,47,108,10,40,63,152
DK_827,7690,3282,49,11,981,109,188,187,329,34,90,194,1110
DK_829,6733,3025,36,3,856,97,257,157,311,40,122,181,965
DK_831,6140,3006,25,2,884,117,265,171,316,37,78,160,951
DK_833,4020,1812,29,3,444,82,144,61,145,46,48,115,695
DK_835,8160,3494,34,6,1210,122,242,129,353,51,229,195,923
DK_837,6904,3092,31,3,1181,102,207,132,330,22,121,227,736
DK_839,6893,3004,41,6,918,107,173,109,281,60,83,200,1026
DK_841,9460,3249,25,7,1141,106,302,144,377,18,111,286,732
DK_843,7187,3769,41,6,1099,220,270,270,473,29,141,215,1005
DK_845,9415,4564,60,7,1279,212,416,249,443,60,137,253,1448
DK_847,13547,5767,63,14,1743,192,542,217,550,131,206,365,1744
DK_849,8393,3996,30,4,1356,112,266,178,310,72,141,209,1318
DK_851,125097,56379,629,68,19275,3325,5208,4277,6406,713,2707,3436,10335
DK_861,9837,4259,52,5,1097,168,456,126,557,50,95,237,1416
