gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,B.E.,PCP-PEV,CDS-PP,PAN,A,L,PPM.PPV/CDC,NC,IL,PCTP/MRPP,PNR,PDR,PURP,PTP,MAS
PT_090512,Queiriz,262,99,8,8,16,36,8,1,8,4,1,0,2,0,1,2,0,1,1,1,1
PT_090511,Muxagata,272,80,3,2,30,26,8,1,6,2,0,1,0,0,0,1,0,0,0,0,0
PT_090510,Matança,235,65,2,3,17,26,3,3,6,0,2,3,0,0,0,0,0,0,0,0,0
PT_090509,Maceira,235,110,2,6,50,25,8,3,8,3,1,1,1,0,0,0,0,0,2,0,0
PT_090507,Infias,225,97,2,5,36,32,12,2,4,1,1,0,1,0,0,0,1,0,0,0,0
PT_090505,Fornos De Algodres,1393,448,12,31,198,105,16,10,30,10,9,2,10,1,2,2,5,2,1,1,1
PT_090504,Figueiró Da Granja,376,129,2,5,43,43,8,0,16,3,1,1,3,0,0,3,0,1,0,0,0
PT_090502,Casal Vasco,204,73,5,4,24,23,2,3,5,0,0,1,3,0,0,0,0,2,1,0,0
PT_090501,Algodres,315,97,2,3,45,30,8,2,2,2,0,0,0,0,0,0,0,3,0,0,0
PT_090422,Colmeal e Vilar Torpim,243,83,7,6,27,27,4,2,0,4,0,0,3,1,0,0,0,0,1,1,0
PT_090421,"Freixeda do Torrão, Quintã de Pêro Martins e Penha de Águia",460,173,9,2,63,76,5,1,4,2,3,1,0,3,0,3,0,0,1,0,0
PT_090420,Cinco Vilas e Reigada,384,109,2,2,48,42,6,0,3,1,3,0,1,0,1,0,0,0,0,0,0
PT_090419,Almofala e Escarigo,266,101,3,7,28,38,7,1,5,3,2,0,0,2,1,3,0,0,1,0,0
PT_090418,"Algodres, Vale de Afonsinho e Vilar de Amargo",448,179,8,2,49,77,8,4,14,2,1,1,1,1,0,3,1,3,1,2,1
PT_090415,Vermiosa,397,66,3,1,24,23,4,1,3,0,0,1,3,0,0,0,1,1,0,0,1
PT_090410,Mata De Lobos,344,110,3,2,61,32,4,1,2,2,0,0,0,1,0,0,0,0,2,0,0
PT_090408,Figueira De Castelo Rodrigo,2146,626,20,22,263,192,45,16,23,11,11,3,3,3,3,4,3,1,1,1,1
PT_090406,Escalhão,680,216,9,3,113,57,8,3,8,1,4,1,0,1,0,2,0,4,0,1,1
PT_090403,Castelo Rodrigo,210,84,3,3,36,29,5,1,1,4,0,0,0,0,0,1,0,0,1,0,0
PT_090326,Rapa e Cadafaz,308,126,5,4,64,38,3,0,4,1,3,0,2,0,1,1,0,0,0,0,0
PT_090325,"Cortiçô da Serra, Vide entre Vinhas e Salgueirais",475,166,7,6,73,46,11,1,6,1,3,2,2,0,2,4,1,0,0,1,0
PT_090324,Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,2262,613,27,24,184,219,56,21,36,8,11,5,9,3,3,5,0,0,1,1,0
PT_090323,Açores e Velosa,534,126,5,4,36,45,9,5,9,5,2,1,2,1,0,0,0,1,0,1,0
PT_090322,Casas Do Soeiro,516,174,8,12,67,51,14,2,7,1,7,0,1,2,1,0,0,0,1,0,0
PT_090318,Vale De Azares,388,125,5,7,51,38,6,1,6,5,0,1,1,0,0,0,1,3,0,0,0
PT_090314,Ratoeira,287,84,2,8,25,38,0,0,5,0,0,1,3,0,0,1,0,0,1,0,0
PT_090312,Prados,268,62,4,0,28,19,7,0,1,1,0,0,0,0,0,0,0,0,0,1,1
PT_090311,Minhocal,187,62,2,3,32,19,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0
PT_090310,Mesquitela,270,69,4,5,16,32,3,3,4,0,1,0,0,0,0,1,0,0,0,0,0
PT_090309,Maçal Do Chão,183,73,3,3,34,19,3,0,4,2,1,1,0,0,0,2,1,0,0,0,0
PT_090308,Linhares,285,65,0,1,30,24,2,1,0,5,1,0,1,0,0,0,0,0,0,0,0
PT_090307,Lajeosa Do Mondego,617,202,6,7,78,60,14,6,12,2,3,1,4,0,3,2,0,2,0,1,1
PT_090306,Forno Telheiro,649,142,3,2,48,46,9,3,5,3,9,4,5,1,0,0,0,0,0,4,0
PT_090304,Carrapichana,252,76,1,5,25,25,3,2,6,0,3,0,2,0,0,4,0,0,0,0,0
PT_090302,Baraçal,248,67,1,3,26,22,0,2,5,0,1,0,4,0,0,0,0,1,0,1,1
PT_090236,Miuzela e Porto de Ovelha,427,142,4,4,78,30,5,3,5,3,1,1,1,0,2,2,1,1,0,1,0
PT_090235,Malpartida e Vale de Coelha,240,82,4,3,37,23,0,4,5,1,0,0,2,0,0,3,0,0,0,0,0
PT_090234,"Leomil, Mido, Senouras e Aldeia Nova",243,79,3,4,27,31,3,1,2,0,1,1,3,0,0,2,1,0,0,0,0
PT_090233,Junça e Naves,250,73,1,1,22,32,2,2,6,2,1,0,0,2,0,0,0,0,1,0,1
PT_090232,"Castelo Mendo, Ade, Monteperobolso e Mesquitela",282,103,4,5,32,39,5,1,5,0,1,0,6,1,0,1,1,0,0,2,0
PT_090231,"Azinhal, Peva e Valverde",268,93,2,1,22,51,3,0,4,2,2,1,0,0,1,1,0,1,2,0,0
PT_090230,"Amoreira, Parada e Cabreira",339,155,6,3,34,86,6,2,10,1,0,1,1,0,0,3,0,1,0,1,0
PT_090229,Vilar Formoso,1955,547,21,14,218,169,36,4,26,18,16,2,4,2,1,1,4,6,1,3,1
PT_090227,Vale Da Mula,204,65,2,4,24,21,6,6,0,0,0,0,1,0,0,0,0,1,0,0,0
PT_090224,São Pedro De Rio Seco,190,63,2,1,13,28,7,3,5,1,0,0,0,0,0,1,1,0,0,0,1
PT_090219,Nave De Haver,472,84,0,3,27,41,0,1,8,0,0,1,0,0,0,1,0,0,1,0,1
PT_090213,Malhada Sorda,372,81,3,7,16,31,7,4,5,0,0,0,0,0,1,4,0,0,0,3,0
PT_090210,Freixo,183,83,3,2,19,35,2,1,11,1,1,0,1,3,2,1,0,0,1,0,0
PT_090209,Freineda,219,89,5,4,27,33,2,2,1,3,0,2,6,2,0,0,1,0,1,0,0
PT_090207,Castelo Bom,176,53,1,6,25,14,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0
PT_090203,Almeida,1124,374,16,14,115,93,40,29,32,8,2,3,6,1,1,7,0,2,3,2,0
PT_090116,Souto de Aguiar da Beira e Valverde,537,202,4,19,60,82,4,2,14,5,3,1,4,0,0,0,1,0,1,1,1
PT_090115,Sequeiros e Gradiz,498,175,9,6,37,87,4,0,12,5,5,2,1,0,1,0,1,0,1,2,2
PT_090114,Aguiar da Beira e Coruche,1841,480,22,24,149,160,30,9,41,9,9,4,7,5,3,4,0,0,2,2,0
PT_090110,Pinheiro,315,79,1,2,26,27,7,3,8,0,1,1,1,0,0,1,0,0,0,0,1
PT_090109,Pena Verde,808,232,13,17,38,101,7,2,35,1,2,0,6,1,3,1,1,1,3,0,0
