gisco_id,name,registered,turnout,invalid,blank,PPD/PSD.CDS-PP,PS,B.E.,PDA,PCP-PEV,PCTP/MRPP,MD,POUS,PND,PPM,P.N.R.,MPT,P.H.
PT_041224,Soeira,147,61,1,2,24,29,0,0,0,3,0,0,0,0,0,1,1
PT_041225,Travanca,125,61,0,0,12,44,0,0,1,4,0,0,0,0,0,0,0
PT_041226,Tuizelo,548,101,1,1,60,27,1,0,5,2,0,0,0,1,1,0,2
PT_041227,Vale Das Fontes,513,153,4,2,88,52,0,0,2,0,2,0,0,0,2,0,1
PT_041228,Vale De Janeiro,193,76,3,4,34,28,1,0,2,2,0,0,1,0,0,1,0
PT_041229,Vila Boa De Ousilhão,229,65,1,2,12,43,0,0,2,0,0,0,4,0,0,0,1
PT_041230,Vila Verde,259,73,1,1,19,44,1,0,3,2,1,0,0,1,0,0,0
PT_041231,Vilar De Lomba,258,42,1,1,18,18,1,0,0,0,1,0,0,1,1,0,0
PT_041232,Vilar De Ossos,357,93,2,1,43,41,2,0,0,1,0,0,0,0,0,1,2
PT_041233,Vilar De Peregrinos,248,41,1,1,24,12,0,0,1,1,0,0,0,1,0,0,0
PT_041234,Vilar Seco De Lomba,374,88,1,2,30,47,1,1,0,1,0,0,2,0,0,0,3
PT_041235,Vinhais,2116,654,3,17,207,362,28,2,16,4,1,0,4,5,2,0,3
PT_050101,Belmonte,2308,2107,30,50,549,1196,61,3,140,24,9,1,15,11,8,3,7
PT_050102,Caria,1875,570,11,7,140,349,15,1,27,4,1,0,5,4,2,2,2
PT_050103,Colmeal Da Torre,739,258,10,13,96,113,5,1,12,3,0,0,4,0,1,0,0
PT_050104,Inguias,685,227,2,6,68,137,4,0,2,1,1,0,1,3,0,0,2
PT_050105,Maçainhas,366,164,2,9,44,95,2,0,5,2,2,0,2,0,0,0,1
PT_050201,Alcains,4051,1533,20,24,301,1001,85,2,52,16,8,1,7,4,3,4,5
PT_050202,Almaceda,1072,283,5,9,91,148,9,2,10,1,0,2,0,2,1,0,3
PT_050203,Benquerenças,708,331,1,9,65,218,10,1,16,2,1,1,3,2,1,0,1
PT_050204,Cafede,281,125,0,1,27,79,5,0,6,2,2,0,1,1,1,0,0
PT_050205,Castelo Branco,24205,9314,115,260,2775,4910,497,11,435,62,30,8,99,41,23,33,15
