gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD.CDS-PP.PPM,CH,IL,BE,PCP-PEV,L,ADN,PAN,Volt,E,ND,RIR,MAS,MPT,NC,PTP
PT_160624,Vade (São Tomé),381,115,0,2,36,55,4,4,4,0,0,5,2,1,0,1,0,1,0,0,0
PT_160623,Vade (São Pedro),320,116,1,2,35,57,5,7,1,0,3,2,1,0,0,1,0,1,0,0,0
PT_160619,Sampriz,414,119,1,2,31,53,8,10,4,5,1,3,1,0,0,0,0,0,0,0,0
PT_160614,Oleiros,502,213,4,1,50,105,15,13,5,3,12,1,3,1,0,0,0,0,0,0,0
PT_160613,Nogueira,428,134,0,4,45,58,10,10,4,1,1,1,0,0,0,0,0,0,0,0,0
PT_160612,Lindoso,500,232,5,4,66,102,27,8,6,2,3,2,4,1,0,0,1,0,1,0,0
PT_160611,Lavradas,899,326,1,7,109,132,28,20,5,4,4,5,7,1,1,1,0,0,0,0,1
PT_160606,Cuide De Vila Verde,345,110,1,2,27,50,3,9,2,1,5,6,1,0,0,1,1,0,0,0,1
PT_160604,Britelo,532,209,1,4,81,78,24,7,4,4,3,0,0,0,1,2,0,0,0,0,0
PT_160603,Bravães,605,208,2,5,59,92,15,10,9,2,6,3,3,0,0,2,0,0,0,0,0
PT_160602,Boivães,307,129,2,1,37,73,5,3,1,0,3,2,0,0,1,1,0,0,0,0,0
PT_160601,Azias,385,131,1,2,34,74,12,1,0,1,1,4,1,0,0,0,0,0,0,0,0
PT_160526,Paredes de Coura e Resende,1851,742,3,17,307,177,56,40,41,38,28,10,17,2,0,1,0,0,1,2,2
PT_160525,Insalde e Porreiras,442,130,0,1,50,37,12,11,4,1,7,4,1,0,0,0,1,0,0,0,1
PT_160524,Formariz e Ferreira,977,383,4,6,143,124,30,29,14,12,10,3,3,0,1,2,1,0,1,0,0
PT_160523,Cossourado e Linhares,500,167,1,1,73,39,25,9,6,4,5,1,2,0,0,0,1,0,0,0,0
PT_160522,Bico e Cristelo,731,210,1,2,94,50,19,15,13,6,4,3,1,1,0,0,0,1,0,0,0
PT_160521,Vascões,223,86,0,1,15,42,8,4,5,3,3,4,0,0,0,0,0,0,0,0,1
PT_160520,Rubiães,502,212,2,4,68,81,14,17,12,2,7,1,3,0,1,0,0,0,0,0,0
PT_160519,Romarigães,212,101,0,1,38,31,7,3,5,6,3,5,1,0,0,1,0,0,0,0,0
PT_160515,Parada,263,90,1,6,29,31,7,4,3,2,2,0,2,0,0,0,0,0,2,0,1
PT_160514,Padornelo,394,132,1,2,73,24,14,3,6,2,3,3,0,0,0,0,0,1,0,0,0
PT_160513,Mozelos,316,145,2,5,83,36,5,5,1,0,2,2,3,0,1,0,0,0,0,0,0
PT_160510,Infesta,427,148,1,0,49,56,12,9,8,5,3,3,0,0,0,1,0,0,0,1,0
PT_160507,Cunha,435,135,2,3,62,47,10,2,2,1,2,0,2,0,1,0,0,0,1,0,0
PT_160505,Coura,354,104,0,2,33,40,9,3,2,0,7,2,3,0,1,0,1,1,0,0,0
PT_160503,Castanheira,575,164,0,2,69,48,17,7,8,2,3,2,3,0,0,0,0,2,1,0,0
PT_160501,Agualonga,270,158,2,3,66,50,18,7,4,2,2,3,0,0,0,0,0,0,1,0,0
PT_160440,Troporiz e Lapela,504,244,3,4,87,77,34,11,8,4,6,4,4,0,2,0,0,0,0,0,0
PT_160439,"Sago, Lordelo e Parada",475,207,0,2,28,116,33,6,3,4,5,7,1,1,0,0,0,1,0,0,0
PT_160438,Monção e Troviscoso,3287,1208,4,17,396,403,115,106,36,33,37,31,15,1,3,3,3,1,1,2,1
PT_160437,"Messegães, Valadares e Sá",648,259,0,5,102,104,17,10,5,3,2,8,1,0,0,1,1,0,0,0,0
PT_160436,Mazedo e Cortes,3381,897,4,15,284,314,105,93,23,7,24,9,11,0,0,2,2,2,0,1,1
PT_160435,Ceivães e Badim,636,221,4,4,79,77,18,14,9,3,3,7,1,1,0,0,0,0,0,0,1
PT_160434,Anhões e Luzio,249,132,2,1,30,63,14,8,2,2,3,4,0,0,1,2,0,0,0,0,0
PT_160431,Trute,322,98,0,2,31,40,10,4,0,3,4,1,1,0,0,0,1,1,0,0,0
PT_160428,Tangil,691,222,2,5,59,94,23,10,11,6,5,4,1,0,0,0,0,2,0,0,0
PT_160427,Segude,351,144,1,1,39,58,17,17,4,1,1,4,1,0,0,0,0,0,0,0,0
PT_160424,Riba De Mouro,1081,223,3,2,55,119,19,9,0,0,2,9,1,0,0,1,1,2,0,0,0
PT_160423,Portela,210,72,0,0,17,32,3,9,3,0,2,5,0,0,0,0,0,0,1,0,0
PT_160422,Podame,258,97,3,3,35,39,5,5,2,2,0,3,0,0,0,0,0,0,0,0,0
PT_160421,Pinheiros,310,117,0,2,18,51,20,17,2,1,3,0,3,0,0,0,0,0,0,0,0
