gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,FDP,DIE LINKE,GRÜNE,CSU,NPD,REP,FAMILIE,Die Tierschutzpartei,PBC,MLPD,BüSo,BP,PSG,Volksabstimmung,ZENTRUM,ADM,CM,DKP,DVU,DIE VIOLETTEN,FWD,ödp,PIRATEN,RRP,RENTNER
DE_01051080,Norderheistedt,104,81,1,0,9,34,16,11,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
DE_01051081,Norderwöhrden,225,152,7,0,24,65,25,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
DE_01051082,Nordhastedt,2117,1446,47,0,350,519,247,93,135,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,33,0,9
DE_01051083,Odderade,259,193,4,0,42,91,25,13,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2
DE_01051084,Oesterdeichstrich,208,130,2,0,34,47,27,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
DE_01051085,Offenbüttel,240,158,4,0,13,94,28,7,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE_01051086,Osterrade,364,255,10,0,41,102,36,27,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0
DE_01051087,Ostrohe,790,524,6,0,131,173,101,32,58,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,6
DE_01051088,Pahlen,926,617,22,0,141,230,131,37,35,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,3
DE_01051089,Quickborn,167,118,3,0,19,51,20,5,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0
DE_01051090,Ramhusen,122,66,1,0,13,32,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
DE_01051092,Rehm-Flehde-Bargen,444,284,9,0,88,90,50,20,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
DE_01051093,Reinsbüttel,330,222,3,0,66,68,42,21,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
DE_01051096,Sankt Annen,260,166,4,0,39,56,32,8,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
DE_01051097,Sankt Michaelisdonn,2891,1738,50,0,425,616,334,120,120,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,37,0,14
DE_01051098,Sarzbüttel,581,381,8,0,107,135,59,41,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_01051099,Schafstedt,1092,738,20,0,122,302,158,41,57,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4
DE_01051100,Schalkholz,491,324,8,0,35,134,79,29,28,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
DE_01051102,Schlichting,197,137,2,0,23,59,26,10,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_01051103,Schmedeswurth,173,116,4,0,20,55,20,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
DE_01051104,Schrum,71,54,1,0,13,31,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051105,Schülp,360,254,3,0,56,96,48,20,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3
DE_01051107,Stelle-Wittenwurth,389,210,10,0,56,76,39,10,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_01051108,Strübbel,81,69,2,0,16,29,12,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051109,Süderdeich,376,230,2,0,59,83,40,22,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2
DE_01051110,Süderhastedt,666,464,17,0,82,205,92,22,33,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2
DE_01051113,Wöhrden,1078,723,16,0,189,258,126,58,52,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,6
DE_01051114,Tellingstedt,2030,1393,59,0,274,528,301,103,99,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8
DE_01051117,Tielenhemme,135,102,2,0,14,44,18,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
DE_01051118,Trennewurth,226,155,5,0,39,47,29,11,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
DE_01051119,Volsemenhusen,266,167,6,0,30,70,27,11,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
DE_01051120,Wallen,31,21,0,0,1,6,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
DE_01051121,Warwerort,212,134,2,0,25,57,23,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
DE_01051122,Weddingstedt,1861,1214,19,0,285,448,247,75,109,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,11
DE_01051125,Welmbüttel,347,236,0,0,40,105,48,13,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
DE_01051126,Wennbüttel,65,55,1,0,8,29,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051127,Wesselburen,2437,1385,38,0,337,439,278,125,108,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,21
DE_01051128,Wesselburener Deichhausen,119,82,4,0,16,27,14,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051129,Wesselburenerkoog,134,84,1,0,14,35,16,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DE_01051130,Wesseln,1127,788,14,0,216,264,160,51,66,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1
