gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,FDP,DIE LINKE,GRÜNE,CSU,PIRATEN,NPD,Tierschutzpartei,REP,ÖDP,FAMILIE,Bündnis 21/RRP,RENTNER,BP,PBC,BüSo,DIE VIOLETTEN,MLPD,Volksabstimmung,PSG,AfD,BIG,pro Deutschland,DIE RECHTE,DIE FRAUEN,FREIE WÄHLER,Partei der Nichtwähler,PARTEI DER VERNUNFT,Die PARTEI
DE_08335028,Gottmadingen,7463,4085,59,0,1752,877,272,199,407,0,96,41,30,5,14,0,0,11,0,9,0,0,1,13,0,265,2,5,0,0,22,0,5,0
DE_08335035,Hilzingen,6340,3943,68,0,1802,695,461,164,301,0,58,45,31,13,13,0,0,6,0,3,0,0,0,9,0,255,1,0,0,0,15,0,3,0
DE_08335043,Konstanz,60894,29970,335,0,11051,6836,1723,1942,4863,0,859,112,239,18,114,0,0,35,0,14,5,0,18,53,0,1615,10,10,0,0,100,0,18,0
DE_08335055,Moos,2524,1617,24,0,768,261,127,72,189,0,33,16,20,3,6,0,0,3,0,0,1,0,1,3,0,79,1,0,0,0,9,0,1,0
DE_08335057,Mühlingen,1741,1029,23,0,570,141,62,44,84,0,16,13,6,4,2,0,0,3,0,1,0,0,1,3,0,47,2,1,0,0,6,0,0,0
DE_08335061,Öhningen,2804,1703,21,0,796,223,164,99,196,0,36,13,9,1,6,0,0,1,0,4,1,0,1,2,0,126,0,1,0,0,3,0,0,0
DE_08335063,Radolfzell am Bodensee,22716,12371,176,0,5169,2538,815,685,1577,0,262,109,93,13,58,0,0,27,0,34,0,0,5,22,0,714,5,7,0,0,54,0,8,0
DE_08335066,Reichenau,3943,2263,28,0,1130,407,164,89,261,0,37,6,17,2,4,0,0,2,0,3,1,0,1,2,0,93,0,1,0,0,13,0,2,0
DE_08335075,Singen(Hohentwiel),30494,15486,289,0,6961,3488,890,849,1138,0,367,213,116,24,46,0,0,33,0,18,2,0,2,26,0,929,13,18,0,0,50,0,14,0
DE_08335077,Steißlingen,3547,2180,27,0,1051,368,149,98,197,0,46,23,21,8,8,0,0,3,0,8,0,0,0,6,0,143,2,1,0,0,17,0,4,0
DE_08335079,Stockach,12191,6538,83,0,3164,1124,491,308,651,0,132,70,47,19,52,0,0,8,0,7,0,0,1,19,0,328,2,2,0,0,28,0,2,0
DE_08335080,Tengen,3552,2230,45,0,1135,381,186,84,155,0,41,19,19,12,7,0,0,5,0,5,0,0,1,6,0,105,1,5,0,0,15,0,3,0
DE_08335081,Volkertshausen,2149,1356,19,0,560,300,106,64,110,0,41,17,6,1,3,0,0,2,0,5,0,0,0,4,0,105,1,2,0,0,9,0,1,0
DE_08335096,Hohenfels,1478,961,19,0,572,99,53,42,79,0,22,8,7,5,9,0,0,1,0,0,0,0,0,1,0,42,0,0,0,0,1,0,1,0
DE_08335097,Mühlhausen-Ehingen,2800,1716,35,0,862,333,106,67,120,0,40,23,14,1,4,0,0,3,0,2,0,0,0,3,0,97,0,2,0,0,4,0,0,0
DE_08335098,Bodman-Ludwigshafen,3418,1806,11,0,862,314,161,88,169,0,25,12,16,1,21,0,0,5,0,2,0,0,0,5,0,103,2,0,0,0,9,0,0,0
DE_08335099,Orsingen-Nenzingen,2458,1637,15,0,862,287,94,72,147,0,20,19,14,4,8,0,0,4,0,7,0,0,0,1,0,74,0,0,0,0,8,0,1,0
DE_08335100,Rielasingen-Worblingen,8896,5098,69,0,2357,1037,324,213,442,0,92,67,42,7,21,0,0,3,0,14,0,0,0,14,0,366,1,5,0,0,24,0,0,0
DE_08335999,Briefwahl für mehrere Gemeinden,0,38368,212,0,15827,7382,3440,1561,6009,0,713,171,317,33,218,0,0,150,0,64,7,0,7,158,0,1854,5,21,0,0,190,0,29,0
DE_08336004,Aitern,429,256,3,0,166,31,7,5,19,0,1,4,2,1,2,0,0,1,0,0,0,0,0,0,0,12,0,1,0,0,1,0,0,0
DE_08336006,Bad Bellingen,3116,1730,25,0,863,331,88,76,150,0,34,14,10,4,2,0,0,2,0,6,0,0,0,3,0,109,2,2,0,0,8,0,1,0
DE_08336008,Binzen,2229,1345,16,0,624,261,75,52,156,0,27,13,16,3,11,0,0,0,0,5,0,0,0,1,0,80,0,0,0,0,4,0,1,0
DE_08336010,Böllen,77,48,0,0,27,8,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
DE_08336014,Efringen-Kirchen,6546,4004,55,0,1759,825,282,148,458,0,94,62,29,14,5,0,0,10,0,19,0,0,1,17,0,203,4,5,0,0,10,0,4,0
DE_08336019,Eimeldingen,1831,1133,10,0,498,249,63,45,125,0,26,10,7,7,1,0,0,0,0,15,0,0,0,2,0,66,0,0,0,0,7,0,2,0
DE_08336024,Fischingen,549,360,0,0,168,84,31,8,37,0,3,5,0,2,2,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,3,0,0,0
DE_08336025,Fröhnd,378,274,11,0,195,19,6,11,12,0,6,8,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
DE_08336034,Hasel,896,498,9,0,207,108,20,15,66,0,15,15,1,8,1,0,0,0,0,9,0,0,0,1,0,17,0,0,0,0,6,0,0,0
DE_08336036,Hausen im Wiesental,1723,1088,27,0,431,245,62,42,152,0,26,19,7,4,5,0,0,2,0,4,0,0,0,3,0,53,0,0,0,0,6,0,0,0
DE_08336043,Inzlingen,1939,1016,8,0,475,207,67,42,138,0,10,5,8,0,2,0,0,3,0,4,0,0,0,2,0,40,0,0,0,0,4,0,1,0
DE_08336045,Kandern,6023,3599,69,0,1587,726,209,131,500,0,84,25,22,11,6,0,0,13,0,11,2,0,4,8,0,170,0,3,0,0,16,0,2,0
DE_08336050,Lörrach,34320,17734,221,0,7216,3905,856,1077,2248,0,488,160,138,46,50,0,0,37,0,89,1,0,2,43,0,1049,9,10,0,0,76,0,13,0
DE_08336057,Maulburg,3063,1774,26,0,703,455,73,84,211,0,51,17,13,12,4,0,0,3,0,3,0,0,0,8,0,97,0,1,0,0,11,0,2,0
DE_08336069,Rheinfelden(Baden),22868,12121,174,0,5356,2830,572,566,1209,0,295,131,119,53,28,0,0,23,0,11,1,0,6,35,0,591,6,12,0,0,91,0,12,0
DE_08336073,Rümmingen,1272,704,3,0,327,147,34,37,73,0,18,5,4,2,2,0,0,2,0,3,0,0,0,3,0,41,0,0,0,0,3,0,0,0
DE_08336075,Schallbach,574,371,7,0,160,63,30,12,40,0,10,9,4,1,3,0,0,1,0,3,0,0,0,1,0,25,0,0,0,0,1,0,1,0
