gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Ε.Δ.Ε.Κ.-Σ.Κ.,ΔΗ.ΚΟ.,Α.Κ.Ε.Λ.,Κ.Ο.Σ.Π.,ΕΥΡΩ.ΚΟ.,Ματσάκης,Κ.Ε.Κ.,Ε.ΛΑ.Μ.,Κυριακού,Ευστρατίου,Μιχαήλ,Κωνσταντίνου [Κωνσταντίνου Μάριος]
CY_5344,Treis Elies,81,57,0,1,7,9,4,34,1,1,0,0,0,0,0,0,0
CY_5345,Lemithou,128,74,2,0,23,4,20,24,0,1,0,0,0,0,0,0,0
CY_5350,Κάτω Πλάτρες,223,170,8,0,53,25,33,46,1,4,0,0,0,0,0,0,0
CY_5351,Pano Platres,243,175,1,1,67,33,37,18,3,13,0,1,0,0,1,0,0
CY_5352,Φοινί,524,325,3,1,100,67,37,99,6,5,1,1,3,0,2,0,0
CY_5355,Αμίαντος,290,220,1,1,107,5,36,63,0,5,2,0,0,0,0,0,0
CY_5360,Άγιος Θεόδωρος (Λεμεσού),129,79,2,0,45,6,5,16,1,2,1,1,0,0,0,0,0
CY_5361,Άγιος Ιωάννης (Λεμεσού),486,285,10,1,90,20,47,94,2,18,1,0,0,0,1,1,0
CY_5362,Κάτω Μύλος,53,35,2,0,18,1,9,3,1,1,0,0,0,0,0,0,0
CY_5363,Potamitissa,105,81,3,3,30,3,30,7,0,4,0,0,0,1,0,0,0
CY_5364,Δύμες,193,138,3,0,42,11,38,36,2,2,0,3,0,0,1,0,0
CY_5365,Pelendri,1368,973,13,8,261,15,25,638,5,3,3,0,0,0,0,2,0
CY_5366,Agros,717,519,4,1,296,11,87,85,4,27,3,0,0,1,0,0,0
CY_5367,Agridia,211,141,5,1,43,8,62,14,1,2,3,1,1,0,0,0,0
CY_5368,Χανδριά,278,197,2,0,150,18,7,9,0,8,1,1,1,0,0,0,0
CY_5369,Κυπερούντα,1446,996,16,7,503,54,134,199,5,67,4,3,2,1,0,1,0
CY_6001,Πάφος,16808,9396,197,70,2389,2413,1598,2028,118,385,70,9,26,5,87,1,0
CY_6010,Γεροσκήπου,4276,2371,41,21,521,457,327,835,26,69,33,15,5,2,19,0,0
CY_6011,Konia,728,466,7,3,84,123,84,124,10,11,3,3,13,0,1,0,0
CY_6012,Agia Marinouda,144,92,4,0,9,34,7,26,5,4,3,0,0,0,0,0,0
CY_6014,Αχέλεια,97,69,0,1,17,15,16,16,1,1,0,0,0,0,2,0,0
CY_6020,Χλώρακας,1952,1207,17,3,362,173,162,398,12,66,9,1,0,0,4,0,0
CY_6021,Lempa,194,125,2,1,31,20,11,42,2,6,0,0,0,0,10,0,0
CY_6022,Έμπα,2127,1244,14,6,447,236,247,213,9,41,12,0,4,3,12,0,0
CY_6023,Tremithousa,359,244,10,5,58,44,29,59,8,18,1,0,0,0,12,0,0
CY_6024,Μέσα Χωριό,289,218,3,5,22,55,22,96,1,9,2,0,1,0,2,0,0
CY_6025,Μεσόγη,843,542,6,4,103,156,95,150,7,12,2,1,0,0,6,0,0
CY_6026,Τάλα,683,423,7,5,81,118,57,77,31,35,1,0,2,0,9,0,0
