gisco_id,name,registered,turnout,invalid,blank,Α.Κ.Ε.Λ.,ΔΗ.ΣΥ.,Παναγιώτου,ΔΗ.ΚΟ.,Ε.ΛΑ.Μ.,Βολτ,ΔΗ.ΠΑ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Κ.Ο.Σ.Π.,Κ.Ε.Κ.Κ.,Κ.Ζ.Κ.,Κ.Ε.Δ.,Ζερβίδης,ΝΙΚΗ
CY_5140,Dierona,214,171,2,13,44,31,39,3,26,1,0,4,3,4,1,0,0,0
CY_5141,Arakapas,388,353,2,24,67,73,53,23,95,1,0,8,2,2,1,0,0,2
CY_5142,'Αγιος Παύλος,153,82,0,0,15,20,13,21,7,1,0,3,0,1,0,0,1,0
CY_5143,Agios Konstantinos,189,170,1,16,8,58,24,28,18,2,5,2,0,6,1,1,0,0
CY_5144,Συκόπετρα,163,148,2,10,28,12,41,5,20,1,1,23,0,1,0,2,1,1
CY_5145,Λουβαράς,379,337,5,12,118,41,48,15,38,1,4,13,34,4,3,1,0,0
CY_5146,Καλό Χωριό Λεμεσού,401,353,16,34,69,92,51,35,31,4,1,11,4,3,0,2,0,0
CY_5147,Ζωοπηγή,209,189,2,24,9,31,61,21,13,2,2,17,3,2,0,0,0,2
CY_5200,Ακρωτήρι,804,735,20,81,82,199,169,36,99,7,2,24,8,6,0,0,0,2
CY_5201,Ασώματος Λεμεσού,517,434,12,28,98,84,108,24,45,12,1,4,2,8,2,4,2,0
CY_5202,Tserkezoi,35,23,0,2,9,4,2,2,2,2,0,0,0,0,0,0,0,0
CY_5203,Τραχώνι Λεμεσού,3170,2421,42,212,406,560,615,154,216,27,51,70,16,22,10,12,4,4
CY_5210,Kolossi,3766,2670,69,247,421,572,789,114,245,27,28,66,23,36,5,20,3,5
CY_5211,Ερήμη,1463,1066,17,50,204,275,250,79,122,11,11,23,4,4,7,7,1,1
CY_5212,Επισκοπή Λεμεσού,2739,2078,33,174,382,539,479,131,161,47,11,82,10,15,3,8,2,1
CY_5213,Kantou,312,197,2,6,54,44,35,17,24,1,3,7,1,2,1,0,0,0
CY_5214,Σωτήρα Λεμεσού,146,108,2,6,21,29,19,7,16,0,0,2,1,4,0,1,0,0
CY_5220,Πραστιό Αυδήμου,231,221,3,20,33,44,47,9,28,3,0,27,2,1,2,0,1,1
CY_5221,Paramali,146,130,6,3,12,41,22,11,19,4,0,9,3,0,0,0,0,0
CY_5222,Αυδήμου,500,229,4,4,32,68,49,13,46,1,0,6,0,5,1,0,0,0
CY_5223,Platanisteia,145,66,1,0,6,11,17,3,11,2,6,6,2,0,0,1,0,0
CY_5224,Agios Thomas,49,43,1,0,4,9,14,1,6,0,0,0,2,1,0,0,0,5
CY_5226,Ανώγυρα,210,183,2,13,64,29,16,17,31,1,2,1,0,7,0,0,0,0
CY_5227,Pissouri,995,874,8,70,114,194,166,80,135,12,6,61,13,10,4,1,0,0
CY_5300,Souni-Zanakia,534,453,4,32,61,115,126,30,43,9,10,8,4,2,2,4,1,2
CY_5302,Alassa,211,200,2,28,11,50,47,17,29,1,9,1,0,3,0,1,0,1
CY_5304,Πάνω Κιβίδες,667,551,24,34,26,158,121,68,77,4,9,5,4,10,1,5,0,5
CY_5305,Άγιος Αμβρόσιος Λεμεσού,357,320,3,23,12,82,75,30,52,2,0,11,14,10,1,3,0,2
CY_5306,Agios Therapon,199,126,2,0,2,66,7,24,17,1,0,2,4,1,0,0,0,0
CY_5307,Λόφου,310,289,2,25,22,88,71,13,34,5,3,15,6,2,1,1,0,1
CY_5308,Πάχνα,872,421,19,2,42,134,66,42,74,2,16,14,2,3,2,2,0,1
CY_5310,Άγιος Γεώργιος Λεμεσού,241,224,5,37,26,30,60,7,32,2,6,8,2,4,2,3,0,0
CY_5311,Doros,159,130,3,3,3,24,25,29,17,2,9,9,1,1,1,2,0,1
CY_5312,Laneia,172,150,0,18,4,46,8,27,25,7,0,11,1,2,1,0,0,0
CY_5313,Silikou,227,196,9,25,34,39,29,20,15,5,0,4,12,1,0,2,0,1
CY_5314,Monagri,234,197,3,15,17,32,29,8,27,1,0,10,0,52,0,3,0,0
CY_5315,Τριμήκληνη,425,351,4,31,30,73,65,70,40,7,5,10,10,2,0,3,1,0
CY_5316,Agios Mamas,196,165,3,12,12,24,18,35,17,1,3,34,5,0,1,0,0,0
CY_5317,Kouka,59,34,1,1,11,10,3,4,3,0,0,1,0,0,0,0,0,0
CY_5318,Μονιάτης,429,353,7,25,12,109,44,36,33,43,22,11,5,2,3,1,0,0
CY_5320,Dora,209,93,5,1,1,21,9,10,40,0,1,2,2,0,0,0,0,1
CY_5322,Άρσος Λεμεσού,248,212,6,18,54,60,24,19,20,2,0,5,1,1,1,1,0,0
CY_5324,Malia,131,73,4,4,13,8,18,4,13,1,1,4,0,1,0,1,1,0
CY_5325,Βάσα Κοιλανίου,294,261,7,22,49,67,38,19,33,5,3,8,6,1,1,0,1,1
CY_5326,Βουνί,254,139,2,1,14,56,20,21,19,3,0,1,1,0,0,1,0,0
CY_5327,Pera Pedi,157,134,0,16,18,30,15,6,22,6,3,10,6,0,2,0,0,0
CY_5328,Μανδριά Λεμεσού,182,159,8,16,39,22,24,21,18,0,3,4,0,3,0,1,0,0
CY_5329,Potamiou,109,97,1,5,8,28,18,16,16,3,0,1,0,1,0,0,0,0
CY_5330,Omodos,271,172,2,17,5,28,33,33,22,4,19,6,3,0,0,0,0,0
CY_5331,Koilani,457,391,4,31,82,80,78,49,26,3,3,18,3,11,3,0,0,0
CY_5340,'Αγιος Δημήτριος,98,87,2,12,16,17,14,14,3,0,1,2,4,0,0,1,0,1
CY_5341,Παλαιόμυλος,44,24,0,1,11,2,6,0,0,0,2,2,0,0,0,0,0,0
CY_5342,Prodromos,195,76,3,2,2,18,10,14,16,0,4,1,0,6,0,0,0,0
CY_5343,Kaminaria,159,135,1,31,7,22,15,19,16,3,0,4,0,16,0,0,0,1
CY_5344,Treis Elies,126,117,1,14,25,21,13,19,6,7,0,4,2,3,2,0,0,0
