gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Α.Κ.Ε.Λ.,ΔΗ.ΚΟ.,Ε.ΛΑ.Μ.,Αλληλεγγύη,Π.Λ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Σ.Π.,Κ.Ο.Σ.Π.,Ο.Α.Δ.,Κ.Ζ.Κ.,Κ.Κ.Σ.,Σταύρου [Σταύρου Λουκάς],Ευστρατίου,Θεοδούλου,Ο.Σ.Α.,Χριστοφόρου [Χριστοφόρου Γεώργιος],Αγγέλη
CY_5329,Potamiou,113,83,2,0,51,4,17,4,0,0,0,0,3,0,2,0,0,0,0,0,0,0
CY_5330,Omodos,289,204,5,2,58,16,76,6,8,0,10,2,2,0,4,5,10,0,0,0,0,0
CY_5331,Koilani,410,289,3,2,94,97,56,1,13,2,10,5,3,0,2,1,0,0,0,0,0,0
CY_5340,'Αγιος Δημήτριος,63,40,0,1,11,4,7,3,11,0,1,1,0,0,1,0,0,0,0,0,0,0
CY_5341,Παλαιόμυλος,35,29,1,0,3,14,2,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0
CY_5342,Prodromos,226,126,0,2,45,3,37,2,18,0,2,12,2,2,0,0,1,0,0,0,0,0
CY_5343,Kaminaria,117,66,2,1,25,6,11,3,5,0,3,8,0,0,0,2,0,0,0,0,0,0
CY_5344,Treis Elies,86,53,2,0,4,16,8,0,6,1,2,10,3,1,0,0,0,0,0,0,0,0
CY_5345,Lemithou,114,64,3,0,14,12,16,0,5,0,6,7,1,0,0,0,0,0,0,0,0,0
CY_5350,Κάτω Πλάτρες (Toρνάρηδες),180,143,2,1,34,39,29,3,9,3,10,11,2,0,0,0,0,0,0,0,0,0
CY_5351,Pano Platres,218,157,2,0,66,5,37,2,6,0,10,21,6,0,2,0,0,0,0,0,0,0
CY_5352,Φοινί,464,330,7,2,103,57,37,5,27,3,61,10,16,0,0,1,1,0,0,0,0,0
CY_5355,Αμίαντος,284,255,4,0,105,75,20,19,20,0,1,4,2,0,5,0,0,0,0,0,0,0
CY_5360,Άγιος Θεόδωρος Λεμεσού,137,103,1,0,56,12,7,2,5,0,5,2,7,1,0,5,0,0,0,0,0,0
CY_5361,Άγιος Ιωάννης Λεμεσού,457,332,16,0,108,51,90,5,30,0,16,11,4,0,0,1,0,0,0,0,0,0
CY_5362,Κάτω Μύλος,102,81,4,0,32,4,10,1,18,4,1,5,1,0,0,1,0,0,0,0,0,0
CY_5363,Potamitissa,123,85,2,1,26,5,30,3,13,0,2,2,0,0,1,0,0,0,0,0,0,0
CY_5364,Δύμες,172,128,3,2,42,24,27,3,11,0,7,4,1,1,2,1,0,0,0,0,0,0
CY_5365,Pelendri,1287,976,10,6,293,549,41,9,23,3,5,15,12,3,4,3,0,0,0,0,0,0
CY_5366,Agros,669,486,6,4,238,59,93,15,26,1,6,23,8,3,1,3,0,0,0,0,0,0
CY_5367,Agridia,181,142,4,1,31,19,64,1,10,2,5,1,2,1,0,1,0,0,0,0,0,0
CY_5368,Χανδριά,249,178,3,1,128,2,5,19,8,1,4,1,1,2,2,1,0,0,0,0,0,0
CY_5369,Κυπερούντα,1392,1051,17,10,503,157,143,31,64,6,34,45,24,5,5,6,1,0,0,0,0,0
CY_6000,Πάφος,16103,10966,165,102,2694,1648,2494,635,237,39,1590,831,332,12,95,28,0,57,0,0,6,1
CY_6010,Γεροσκήπου,4474,3070,68,22,562,855,540,165,77,11,413,188,108,3,32,9,0,14,0,1,2,0
CY_6011,Konia,808,591,11,3,114,123,128,62,7,1,79,29,13,1,12,1,0,7,0,0,0,0
CY_6012,Agia Marinouda,186,140,3,1,23,22,36,16,2,1,17,12,4,1,0,0,0,2,0,0,0,0
CY_6014,Αχέλεια,188,150,0,0,33,14,53,12,3,0,17,7,2,2,2,0,0,5,0,0,0,0
CY_6020,Χλώρακας,1919,1417,17,12,315,328,385,152,17,4,108,46,11,0,8,3,0,11,0,0,0,0
CY_6021,Lempa,893,572,8,10,135,143,99,38,16,3,55,42,12,0,6,4,0,1,0,0,0,0
CY_6022,Έμπα,2333,1705,14,17,497,209,445,162,37,4,152,102,38,2,10,7,0,9,0,0,0,0
CY_6023,Tremithousa,408,310,7,4,50,50,79,21,1,1,74,13,3,0,1,1,0,5,0,0,0,0
CY_6024,Μέσα Χωριό,273,230,7,2,36,70,49,13,4,0,35,8,4,0,2,0,0,0,0,0,0,0
CY_6025,Μεσόγη,1370,924,13,7,194,214,212,94,21,2,73,59,19,0,7,4,0,4,0,0,1,0
CY_6026,Τάλα,667,483,9,3,116,60,85,47,8,2,91,37,17,0,4,0,0,4,0,0,0,0
CY_6027,Kissonerga,948,733,7,2,117,266,104,45,13,2,95,49,24,1,4,2,0,2,0,0,0,0
CY_6100,Κούκλια Πάφου,489,362,2,1,68,56,85,18,18,0,79,18,5,3,1,0,0,8,0,0,0,0
CY_6101,Μανδριά Πάφου,374,245,2,2,96,61,20,17,10,0,13,12,8,1,1,1,0,0,0,0,1,0
CY_6102,Nikokleia,74,59,2,0,7,7,8,10,1,0,9,3,12,0,0,0,0,0,0,0,0,0
CY_6104,Τίμη,1172,773,7,15,175,184,133,41,35,5,101,43,24,3,4,1,0,2,0,0,0,0
CY_6107,Anarita,338,247,1,1,61,27,57,19,4,0,48,20,9,0,0,0,0,0,0,0,0,0
CY_6110,Marathounta,176,132,1,0,17,43,29,7,3,0,22,5,2,1,0,1,0,1,0,0,0,0
CY_6111,Armou,247,177,2,2,28,41,30,12,5,0,34,9,8,0,3,0,0,3,0,0,0,0
CY_6112,Επισκοπή Πάφου,186,149,4,0,28,40,32,14,1,1,16,8,3,0,0,2,0,0,0,0,0,0
CY_6113,Nata,167,133,3,2,16,32,25,5,32,0,9,4,3,1,1,0,0,0,0,0,0,0
CY_6114,Χολέτρια,242,165,6,1,24,51,34,5,13,0,24,2,5,0,0,0,0,0,0,0,0,0
CY_6122,Stroumpi,397,331,2,4,63,26,165,24,9,1,18,12,4,0,2,0,0,1,0,0,0,0
CY_6120,Tsada,647,478,16,5,106,89,119,34,6,2,43,40,9,0,1,3,0,5,0,0,0,0
CY_6121,Κοίλη,242,201,4,2,48,31,82,9,2,0,13,7,2,0,1,0,0,0,0,0,0,0
CY_6123,Polemi,705,517,21,5,165,27,157,40,10,1,43,32,10,0,0,0,0,6,0,0,0,0
CY_6124,Kallepeia,206,171,2,0,37,57,29,7,6,0,17,12,1,1,1,1,0,0,0,0,0,0
CY_6125,Λετύμβου,268,222,2,2,29,17,71,67,2,0,22,3,1,0,0,3,0,3,0,0,0,0
CY_6128,Lemona,60,44,0,0,15,3,11,8,0,0,5,2,0,0,0,0,0,0,0,0,0,0
CY_6129,Χούλου,288,211,3,0,57,34,37,12,3,1,36,13,7,0,5,1,0,2,0,0,0,0
CY_6132,Kathikas,298,219,8,1,51,39,86,6,1,0,15,10,1,0,1,0,0,0,0,0,0,0
CY_6133,Pegeia,1622,1176,18,9,467,239,228,57,17,1,68,36,19,3,6,3,0,5,0,0,0,0
CY_6200,Πάνω Aρχιμανδρίτα,83,56,0,0,18,3,17,8,0,0,5,2,0,0,1,0,0,2,0,0,0,0
CY_6205,Άγιος Γεώργιος Πάφου,195,149,3,1,13,30,45,4,4,0,43,1,1,1,1,0,0,1,0,0,1,0
CY_6208,Τραχυπέδουλα,135,103,1,0,13,21,23,5,3,1,13,9,3,0,10,0,0,1,0,0,0,0
CY_6210,Kelokedara,226,135,0,0,27,23,42,10,1,0,18,10,1,0,1,1,0,1,0,0,0,0
CY_6211,Salamiou,265,188,1,1,23,46,41,16,1,0,25,16,13,0,1,2,0,2,0,0,0,0
CY_6213,Kedares,49,31,1,0,7,10,8,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
CY_6214,Mesana,99,61,2,0,11,12,14,6,8,0,2,4,2,0,0,0,0,0,0,0,0,0
CY_6215,Praitori,90,60,1,1,20,8,16,0,7,0,2,2,0,0,0,2,0,1,0,0,0,0
CY_6218,Άγιος Νικόλαος Πάφου,57,42,2,1,12,7,5,1,3,0,7,2,1,0,1,0,0,0,0,0,0,0
CY_6220,Αμαργέτη,260,194,5,2,60,37,21,13,5,2,21,17,8,2,1,0,0,0,0,0,0,0
CY_6222,Pentalia,198,131,0,0,14,27,27,8,27,0,17,4,6,0,1,0,0,0,0,0,0,0
CY_6224,Galataria,181,131,4,0,25,14,57,7,2,0,11,7,0,0,4,0,0,0,0,0,0,0
CY_6227,Στατός-'Αγιος Φώτιος,285,208,2,1,38,28,83,11,2,0,34,7,2,0,0,0,0,0,0,0,0,0
CY_6230,Πάνω Παναγιά,502,395,2,2,22,69,62,22,14,0,32,164,3,0,2,0,0,1,0,0,0,0
CY_6231,Asprogia,101,75,0,0,14,5,24,7,4,0,2,17,1,0,0,1,0,0,0,0,0,0
CY_6301,'Αγιος Δημητριανός,100,75,6,1,14,15,8,3,0,0,10,14,0,0,0,0,0,4,0,0,0,0
CY_6302,Κανναβιού,185,148,0,0,19,17,51,15,2,0,18,14,10,0,0,0,0,2,0,0,0,0
CY_6303,Θρίνια (Δρίνια),63,47,1,0,13,12,4,1,1,0,8,3,1,2,0,0,0,1,0,0,0,0
CY_6305,Kritou Marottou,90,58,0,0,5,3,22,5,3,0,5,9,3,1,1,1,0,0,0,0,0,0
CY_6306,Φύτη,153,99,1,0,42,11,31,4,1,0,3,3,2,0,0,1,0,0,0,0,0,0
CY_6307,Lasa,69,49,0,2,21,8,6,1,1,0,3,5,2,0,0,0,0,0,0,0,0,0
CY_6308,Δρύμου,98,74,0,0,20,14,16,9,1,0,9,3,1,0,0,0,0,1,0,0,0,0
CY_6310,Simou,201,155,0,0,30,23,26,5,0,0,52,13,5,0,1,0,0,0,0,0,0,0
CY_6320,Λυσός,161,104,5,3,16,14,34,2,3,0,21,5,1,0,0,0,0,0,0,0,0,0
CY_6321,Περιστερώνα Πάφου,206,155,1,0,34,20,31,7,2,0,57,1,1,0,0,0,0,1,0,0,0,0
CY_6330,Theletra,148,102,1,0,23,9,41,4,1,0,16,1,1,2,1,1,0,1,0,0,0,0
CY_6331,Giolou,602,449,2,6,150,76,91,22,7,0,73,10,7,0,3,0,0,2,0,0,0,0
CY_6333,Μηλιού,72,54,0,1,23,9,6,4,1,0,8,0,2,0,0,0,0,0,0,0,0,0
CY_6334,Kato Akourdaleia,70,53,1,2,5,15,10,3,0,0,14,3,0,0,0,0,0,0,0,0,0,0
CY_6336,Kritou Tera,173,104,0,2,12,5,38,9,0,0,21,9,1,0,2,1,0,4,0,0,0,0
CY_6337,Σκούλλη,108,75,1,1,8,13,14,1,0,0,36,0,0,0,1,0,0,0,0,0,0,0
CY_6341,Χρυσοχού,47,34,0,0,5,4,19,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CY_6343,Polis,1667,1204,10,7,262,268,226,44,25,4,320,16,15,2,1,3,0,1,0,0,0,0
CY_6344,Νέο Χωριό Πάφου,306,208,4,1,42,27,35,2,7,2,76,2,7,0,1,1,0,1,0,0,0,0
CY_6345,Goudi,156,119,0,1,21,16,9,4,0,0,63,3,0,0,0,2,0,0,0,0,0,0
CY_6351,Pano Arodes,110,77,1,1,8,12,44,1,0,0,2,7,1,0,0,0,0,0,0,0,0,0
CY_6352,Ineia,315,273,8,1,29,6,196,9,1,1,6,9,3,0,0,3,0,1,0,0,0,0
CY_6353,Drouseia,284,220,6,1,41,11,113,9,2,0,28,8,1,0,0,0,0,0,0,0,0,0
CY_6361,Κυνούσα,111,65,1,0,10,9,14,3,0,0,27,1,0,0,0,0,0,0,0,0,0,0
CY_6363,Argaka,645,490,10,2,111,100,85,16,3,2,153,6,2,0,0,0,0,0,0,0,0,0
CY_6365,Αγία Μαρίνα Χρυσοχούς,782,604,5,4,71,206,68,12,4,0,227,5,1,0,0,0,0,1,0,0,0,0
CY_6367,Pomos,408,308,4,2,58,85,28,10,4,1,107,7,1,0,0,0,0,1,0,0,0,0
CY_6368,Στενή,125,107,1,1,35,9,26,6,2,0,24,2,0,0,1,0,0,0,0,0,0,0
CY_CYZZGB,Citizens of Cyprus living in United Kingdom,1977,1152,17,11,233,643,67,11,44,4,54,38,24,1,2,2,0,0,0,0,1,0
CY_CYZZEL,Citizens of Cyprus living in Greece,3607,2364,19,12,643,948,218,68,85,13,156,113,58,4,20,2,0,0,0,0,5,0
