gisco_id,name,registered,turnout,invalid,blank,Α.Κ.Ε.Λ.,Ε.ΛΑ.Μ.,ΔΗ.ΣΥ.,Ε.Δ.Ε.Κ.-Σ.Κ.,ΔΗ.ΠΑ.,ΔΗ.ΚΟ.,Ε.Α.Κ.,Κ.Γ.,Κ.Ο.Σ.Π.-Σ.Π.,Κ.Ζ.Κ.,Παρασκευά,Ο.Α.Δ.,Αριστείδου,Μαρδαπήττας,Σ.Κ.Κ.
CY_4100,Kellia,342,175,3,1,44,15,58,10,1,31,0,0,7,5,0,0,0,0,0
CY_6210,Kelokedara,202,84,2,1,8,9,14,16,2,30,0,0,2,0,0,0,0,0,0
CY_4124,Κιβισίλι,195,137,1,2,15,23,77,3,2,10,1,2,0,1,0,0,0,0,0
CY_6361,Κυνούσα,161,72,3,0,13,3,18,31,0,4,0,0,0,0,0,0,0,0,0
CY_6027,Kissonerga,1081,570,7,3,172,59,83,116,10,91,1,4,16,4,2,1,1,0,0
CY_4110,Kiti,2643,1359,27,11,787,67,254,49,45,71,1,8,22,11,2,1,1,2,0
CY_4126,Κλαυδιά,460,270,5,3,46,34,124,4,6,44,0,0,4,0,0,0,0,0,0
CY_1209,Κλήρου,1262,805,5,3,296,67,190,100,17,95,1,1,15,7,3,1,1,2,1
CY_5331,Koilani,449,217,1,1,89,2,57,19,4,36,3,1,2,0,0,0,0,0,2
CY_6121,Κοίλη,262,183,2,2,31,9,31,28,10,68,0,0,0,1,1,0,0,0,0
CY_1243,Kokkinotrimithia,2511,1224,27,8,292,120,391,104,55,168,2,10,31,9,4,2,0,1,0
CY_5210,Kolossi,3470,1378,42,14,405,128,383,132,43,155,32,5,24,13,2,0,0,0,0
CY_6011,Konia,1004,556,6,2,110,99,105,88,11,97,2,6,15,10,3,0,0,1,1
CY_1410,Korakou,558,294,3,1,107,30,59,56,1,28,0,0,7,1,1,0,0,0,0
CY_4215,Kornos,1566,785,12,12,287,53,169,126,11,56,1,2,44,5,4,1,1,1,0
CY_5108,Κορφή,256,117,3,2,11,8,70,6,1,14,0,0,1,0,1,0,0,0,0
CY_1104,Κοτσιάτης,214,137,3,0,28,1,15,8,51,28,0,0,1,0,0,0,1,0,1
CY_5317,Kouka,62,38,0,0,16,1,13,2,0,4,0,0,0,1,0,0,1,0,0
CY_6100,Κούκλια Πάφου,608,342,8,0,61,48,65,85,13,56,0,1,2,2,1,0,0,0,0
CY_4309,Κοφίνου,1022,550,11,3,200,82,168,15,11,47,0,1,5,5,1,1,0,0,0
CY_6305,Kritou Marottou,115,56,2,0,8,6,6,21,4,6,0,0,3,0,0,0,0,0,0
CY_6336,Kritou Tera,188,91,4,1,7,4,13,20,14,19,0,3,5,1,0,0,0,0,0
CY_5369,Κυπερούντα,1431,832,14,5,130,83,405,51,48,72,3,2,17,0,0,2,0,0,0
CY_1305,Lagoudera,170,93,1,0,8,20,41,4,1,15,0,0,3,0,0,0,0,0,0
CY_1021,Lakatameia,22902,11243,190,74,2934,748,2743,1247,538,1873,7,155,504,91,83,23,12,10,11
CY_5312,Laneia,191,116,1,0,11,5,49,15,4,21,1,3,5,1,0,0,0,0,0
CY_4000,Λάρνακα,34296,16852,330,133,5105,1276,5062,1290,432,2112,13,229,534,223,71,10,8,18,6
CY_6307,Lasa,73,33,0,0,7,6,6,0,2,6,0,0,6,0,0,0,0,0,0
CY_1023,Λατσιά ή Λακκιά,10384,5368,100,39,1432,378,1543,487,174,830,6,49,237,34,37,13,5,3,1
CY_4011,Λιβάδια Λάρνακας,10926,2461,40,25,1262,135,519,138,32,176,1,44,50,23,6,3,3,3,1
CY_1307,Λιβάδια Λευκωσίας,76,38,1,0,8,3,18,1,0,5,0,0,2,0,0,0,0,0,0
CY_5000,Λεμεσός,63032,29184,554,158,7121,1882,8415,3492,1134,4512,84,380,957,274,138,22,39,14,8
CY_6128,Lemona,70,42,0,0,2,8,13,11,3,5,0,0,0,0,0,0,0,0,0
CY_6021,Lempa,327,163,1,2,42,23,27,24,4,34,0,1,4,0,1,0,0,0,0
CY_5345,Lemithou,120,50,0,0,11,3,13,5,5,11,0,1,0,0,0,0,1,0,0
CY_6125,Λετύμβου,266,169,6,2,15,23,22,45,7,43,0,2,0,0,3,1,0,0,0
CY_1000,Λευκωσία,56642,20303,338,107,5879,1011,5063,1690,984,2894,8,1063,891,146,112,41,14,15,47
CY_5109,Λιμνάτης,299,193,4,2,35,28,57,16,1,48,0,1,0,1,0,0,0,0,0
CY_1415,Ληνού,195,119,4,0,36,6,20,25,7,15,0,0,2,1,1,0,0,0,2
CY_3104,Liopetri,3417,1458,48,18,284,345,555,42,33,81,1,6,25,6,8,3,1,2,0
CY_5145,Λουβαράς,362,184,2,1,111,13,25,8,7,11,2,0,2,1,1,0,0,0,0
CY_5307,Λόφου,215,126,1,0,21,13,61,15,0,9,0,1,4,0,0,1,0,0,0
CY_1109,Λυθροδόντας,2179,1142,18,10,338,59,285,127,94,165,3,5,22,6,6,2,1,0,1
CY_1108,Λύμπια,2021,1281,21,8,632,81,319,85,29,60,0,7,26,5,4,2,1,0,1
CY_6320,Λυσός,175,96,4,0,26,6,14,18,0,26,0,2,0,0,0,0,0,0,0
CY_4120,Mazotos,646,389,4,6,125,68,119,9,28,25,0,0,2,3,0,0,0,0,0
CY_5104,Μαθικολώνη,146,82,0,0,8,6,29,7,7,17,0,1,4,2,0,0,1,0,0
CY_1101,Μαθιάτης,604,360,16,2,83,31,116,55,9,29,0,1,12,2,0,4,0,0,0
CY_5324,Malia,136,79,6,0,21,14,11,13,0,8,1,0,2,1,1,1,0,0,0
CY_1208,Malounta,308,192,2,2,50,13,73,16,1,25,0,2,5,1,0,1,0,0,1
CY_1244,Μάμμαρη,1226,665,11,12,54,65,355,31,20,85,1,3,23,1,3,0,0,1,0
CY_5328,Μανδριά Λεμεσού,126,77,1,2,29,6,10,19,1,7,0,0,2,0,0,0,0,0,0
CY_6101,Μανδριά Πάφου,487,233,7,2,48,31,76,30,13,16,0,2,6,0,1,1,0,0,0
CY_6110,Marathounta,219,107,2,0,40,12,20,12,1,19,0,0,0,1,0,0,0,0,0
CY_4301,Mari,183,112,4,2,11,10,55,9,15,6,0,0,0,0,0,0,0,0,0
CY_4306,Maroni,469,278,6,1,26,29,94,42,37,32,1,1,6,2,0,1,0,0,0
CY_4316,Μελίνη,85,54,1,0,39,5,5,0,3,0,0,0,0,0,0,0,0,0,1
CY_1368,Meniko,869,412,6,3,89,59,90,34,38,70,0,3,10,1,5,1,3,0,0
CY_5011,Mesa Geitonia,9722,4377,80,24,1208,275,1142,535,212,659,18,39,102,50,17,2,10,4,0
CY_6024,Μέσα Χωριό,348,219,6,2,75,14,33,43,6,29,0,1,8,0,0,0,0,2,0
CY_6214,Mesana,144,76,4,1,15,10,14,5,1,19,0,1,6,0,0,0,0,0,0
CY_6025,Μεσόγη,977,480,7,0,104,43,108,99,8,94,1,4,8,1,2,0,0,1,0
CY_6333,Μηλιού,85,43,0,0,13,3,11,12,0,1,0,1,2,0,0,0,0,0,0
CY_1213,Mitsero,641,389,5,1,186,21,60,34,5,49,1,3,15,5,2,0,0,2,0
CY_5314,Monagri,219,111,3,0,20,16,35,12,4,16,1,0,1,3,0,0,0,0,0
CY_5127,Monagroulli,400,225,10,3,69,20,78,4,11,20,0,3,2,4,1,0,0,0,0
CY_5128,Μονή,383,185,1,1,64,14,49,16,7,25,0,2,3,2,0,0,1,0,0
CY_5318,Μονιάτης,395,205,2,3,13,17,87,20,4,29,19,2,5,3,0,0,1,0,0
CY_4212,Μοσφιλωτή,1031,617,13,5,231,71,158,39,15,58,0,3,11,13,0,0,0,0,0
CY_1422,Moutoullas,269,140,3,1,24,7,38,34,1,25,0,1,4,1,0,1,0,0,0
CY_5120,Mouttagiaka,1816,731,16,4,250,79,178,63,31,69,1,5,23,10,1,0,0,1,0
CY_1421,Μυλικούρι,95,42,3,0,3,3,11,5,5,11,0,0,1,0,0,0,0,0,0
CY_6113,Nata,175,94,3,1,25,15,9,12,6,21,1,0,0,0,1,0,0,0,0
CY_6344,Νέο Χωριό Πάφου,336,182,7,3,18,7,28,79,13,21,1,1,3,0,1,0,0,0,0
CY_1105,Νήσου,1034,607,9,2,332,33,105,41,13,47,0,8,12,3,1,1,0,0,0
CY_1322,Νικητάρι,473,259,9,2,27,28,99,11,22,53,0,1,3,2,0,2,0,0,0
CY_6102,Nikokleia,101,64,0,0,3,11,9,6,1,10,6,0,18,0,0,0,0,0,0
CY_1320,Ξυλιάτος,156,95,1,0,12,7,31,15,7,19,0,0,1,0,0,2,0,0,0
CY_4105,Ξυλοτύμβου,2809,1413,29,11,363,168,449,147,15,170,1,12,25,11,6,0,3,3,0
CY_4107,Ξυλοφάγου,4096,2009,57,38,531,259,824,55,35,119,5,14,27,23,14,1,2,5,0
CY_4317,Odou,141,83,3,2,19,4,36,4,1,11,1,1,1,0,0,0,0,0,0
CY_1423,Oikos,200,111,2,3,4,4,17,63,3,11,0,1,3,0,0,0,0,0,0
CY_5330,Omodos,293,155,2,2,3,13,41,7,25,50,10,0,2,0,0,0,0,0,0
CY_4315,Ora,169,110,0,2,6,13,61,10,5,13,0,0,0,0,0,0,0,0,0
CY_4106,Ormideia,3360,1649,41,7,637,131,566,52,24,142,4,10,22,8,2,0,1,2,0
CY_4102,Bορόκληνη(Ορόκληνη),2346,1301,37,13,398,104,490,50,17,100,1,21,30,30,2,2,1,3,2
CY_1327,Orounta,488,308,4,1,53,35,64,58,14,44,0,3,29,1,0,0,1,1,0
CY_1241,Παλαιομέτοχο,3449,1710,43,11,254,130,588,171,81,338,4,11,58,5,5,5,2,4,0
CY_5341,Παλαιόμυλος,46,24,0,0,12,2,5,2,2,0,0,0,1,0,0,0,0,0,0
CY_1300,Παλαιχώρι Μόρφου,712,434,4,3,113,32,138,51,5,40,1,4,39,1,2,0,1,0,0
CY_1310,Παλαιχώρι Ορεινής,412,223,4,3,37,21,81,12,10,22,0,2,26,2,1,0,2,0,0
CY_5100,Palodeia,827,411,6,3,83,31,123,45,23,54,6,8,19,5,5,0,0,0,0
