gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Α.Κ.Ε.Λ.,ΔΗ.ΚΟ.,Α.ΔΗ.Κ.,Ε.ΔΗ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Ν.Ο.,Κ.Ο.Σ.Π.,Ευστρατίου,Τσαγγαρίδης,Παυλίδης,Γιασεμίδης,Αριστείδης
CY_5144,Sykopetra,107,104,3,1,15,33,34,3,0,12,1,2,0,0,0,0,0
CY_5145,Louvaras,309,296,16,3,57,153,40,4,1,18,1,3,0,0,0,0,0
CY_5146,Kalo Chorio Lemesou,366,342,9,1,150,98,59,1,4,16,3,1,0,0,0,0,0
CY_5147,Zoopigi,172,169,2,0,32,18,91,1,1,21,1,1,0,0,1,0,0
CY_5200,Akrotiri,524,500,10,11,222,103,92,24,6,17,5,10,0,0,0,0,0
CY_5201,Asomatos Lemesou,271,253,8,3,65,99,23,23,6,17,6,3,0,0,0,0,0
CY_5203,Trachoni Lemesou,2308,2204,63,36,708,833,270,80,12,121,59,19,0,0,3,0,0
CY_5210,Kolossi,2268,2122,70,43,770,767,232,73,21,76,41,29,0,0,0,0,0
CY_5211,Erimi,782,718,21,9,258,228,67,89,7,7,23,9,0,0,0,0,0
CY_5212,Episkopi Lemesou,2220,2084,41,42,799,747,261,40,10,94,29,21,0,0,0,0,0
CY_5213,Kantou,325,298,13,1,80,127,55,6,1,11,2,2,0,0,0,0,0
CY_5214,Sotira  Lemesou,64,58,0,1,34,10,9,2,0,2,0,0,0,0,0,0,0
CY_5220,Prastio Avdimou,167,166,3,1,56,32,20,6,4,38,1,5,0,0,0,0,0
CY_5221,Paramali,181,188,2,3,92,52,17,4,2,8,7,1,0,0,0,0,0
CY_5222,Avdimou,476,434,13,5,200,96,67,10,3,9,10,21,0,0,0,0,0
CY_5224,Agios Thomas,53,39,1,0,22,3,7,2,0,1,3,0,0,0,0,0,0
CY_5225,Alektora,67,63,0,3,14,21,12,0,1,11,0,1,0,0,0,0,0
CY_5226,Anogyra,176,169,6,2,42,63,41,6,1,5,3,0,0,0,0,0,0
CY_5227,Pissouri,601,568,9,5,190,233,55,29,2,27,15,2,0,0,1,0,0
CY_5300,Souni-Zanakia,167,159,5,2,77,38,14,12,0,7,2,2,0,0,0,0,0
CY_5302,Alassa,173,167,8,4,75,23,41,6,0,6,3,0,0,0,1,0,0
CY_5304,Pano Kivides,435,408,9,10,206,37,98,23,4,6,9,6,0,0,0,0,0
CY_5305,Agios Amvrosios Lemesou,259,255,1,1,127,27,51,10,3,14,3,18,0,0,0,0,0
CY_5306,Agios Therapon,217,193,4,1,131,8,35,8,2,2,0,2,0,0,0,0,0
CY_5307,Lofou,68,62,3,1,28,10,9,3,0,4,3,1,0,0,0,0,0
CY_5308,Pachna,1005,924,17,7,433,132,141,126,11,28,21,7,0,0,1,0,0
CY_5310,Agios Georgios Lemesou,94,92,2,0,23,28,15,3,1,19,0,1,0,0,0,0,0
CY_5311,Doros,84,81,1,2,28,12,23,5,0,4,5,1,0,0,0,0,0
CY_5312,Laneia,150,139,2,3,53,28,24,7,5,15,1,1,0,0,0,0,0
CY_5313,Silikou,126,117,6,0,41,45,14,9,0,1,1,0,0,0,0,0,0
CY_5314,Monagri,166,157,5,1,49,22,23,43,0,11,1,2,0,0,0,0,0
CY_5315,Trimiklini,306,282,12,4,109,65,53,17,2,7,7,5,0,0,1,0,0
CY_5316,Agios Mamas,235,215,6,2,66,23,50,25,11,27,1,4,0,0,0,0,0
CY_5318,Moniatis,172,171,0,6,83,24,30,7,4,12,4,1,0,0,0,0,0
CY_5320,Dora,286,262,10,5,114,37,71,8,3,5,6,2,0,0,1,0,0
CY_5322,Arsos Lemesou,339,295,8,4,90,99,55,11,9,16,3,0,0,0,0,0,0
CY_5324,Malia,58,58,2,0,21,20,6,3,0,3,3,0,0,0,0,0,0
CY_5325,Vasa Koilaniou,227,203,5,2,70,84,15,7,0,5,12,3,0,0,0,0,0
CY_5326,Vouni,245,214,5,2,67,73,36,9,4,9,5,4,0,0,0,0,0
CY_5327,Pera Pedi,124,108,0,1,38,31,15,7,2,10,4,0,0,0,0,0,0
CY_5328,Mandria Lemesou,108,95,3,1,19,38,26,2,4,1,1,0,0,0,0,0,0
CY_5329,Potamiou,76,63,0,0,30,6,22,3,0,1,0,1,0,0,0,0,0
CY_5330,Omodos,402,326,18,0,80,48,98,45,4,21,8,4,0,0,0,0,0
CY_5331,Koilani,408,373,11,7,62,128,46,85,2,17,10,5,0,0,0,0,0
CY_5340,Agios Dimitrios,66,63,2,1,28,16,7,0,3,4,2,0,0,0,0,0,0
CY_5341,Palaiomylos,58,54,1,0,12,27,7,3,2,2,0,0,0,0,0,0,0
CY_5342,Prodromos,167,148,10,4,40,28,43,0,6,9,5,3,0,0,0,0,0
CY_5343,Kaminaria,120,104,8,5,34,23,18,7,2,4,1,2,0,0,0,0,0
CY_5344,Treis Elies,69,58,2,0,10,37,5,0,1,1,1,1,0,0,0,0,0
CY_5345,Lemithou,151,124,6,2,24,31,35,3,5,14,2,2,0,0,0,0,0
CY_5350,Kato Platres,201,191,9,3,62,51,38,7,2,15,3,1,0,0,0,0,0
CY_5351,Pano Platres,199,177,2,2,68,23,50,4,8,10,4,6,0,0,0,0,0
CY_5352,Foini,539,511,8,3,156,179,83,14,3,54,6,5,0,0,0,0,0
CY_5354,Kato Amiantos,361,349,5,2,126,128,56,4,19,4,4,1,0,0,0,0,0
CY_5360,Agios Theodoros Lemesou,159,137,6,0,67,29,23,1,5,5,1,0,0,0,0,0,0
CY_5361,Agios Ioannis Lemesou,552,521,22,3,176,155,80,12,7,44,19,3,0,0,0,0,0
CY_5362,Kato Mylos,84,79,2,2,38,5,12,11,2,4,3,0,0,0,0,0,0
CY_5363,Potamitissa,141,139,3,1,55,17,39,10,2,8,3,1,0,0,0,0,0
CY_5364,Dymes,204,191,5,2,67,41,58,3,6,7,0,2,0,0,0,0,0
CY_5365,Pelendri,1453,1402,23,12,372,840,72,33,20,14,8,8,0,0,0,0,0
CY_5366,Agros,694,657,16,14,328,92,118,9,8,37,30,4,0,0,1,0,0
CY_5367,Agridia,224,214,3,2,70,23,98,2,1,4,11,0,0,0,0,0,0
CY_5368,Chandria,310,302,8,2,213,5,8,6,1,25,32,1,0,0,1,0,0
