gisco_id,name,registered,turnout,invalid,blank,PD,PRM,PNL,PSD,UDMR,PC,PNT-CD,P.Romilor,P.Verde,PIN,PNG-CD,PLD,PAS,TOKES
RO_045539,Braesti,1973,529,47,0,212,19,30,166,1,3,9,6,0,10,10,13,2,1
RO_096058,Braesti,2495,1095,75,0,528,35,73,304,1,18,2,2,3,9,12,15,12,6
RO_052234,Bragadiru,3696,1236,43,0,107,32,673,175,3,68,9,3,0,25,65,27,2,4
RO_075766,Brahasesti,5496,1525,244,0,165,43,170,173,7,380,10,159,10,24,94,27,10,9
RO_071126,Bralostita,2920,1342,72,0,340,50,111,495,1,56,9,18,3,8,144,24,8,3
RO_040633,Bran,4412,1008,47,0,414,32,121,152,1,26,10,0,3,16,77,99,2,8
RO_052252,Branceni,2506,1097,74,0,185,42,108,551,1,12,11,21,1,11,46,28,3,3
RO_015897,Brancovenesti,3547,1526,50,0,179,127,45,156,705,24,12,28,1,16,31,31,5,116
RO_026022,Brancoveni,2431,1440,74,0,193,48,190,705,1,130,10,13,0,9,39,21,4,3
RO_066009,Brăneşti,3661,1106,48,0,180,34,137,241,2,15,11,4,3,22,39,360,4,6
RO_079237,Branesti,1890,451,23,0,107,48,55,129,3,5,1,2,2,8,35,26,6,1
RO_001298,Branesti,6940,1971,103,0,981,47,137,227,6,13,9,6,6,33,309,71,9,14
RO_088546,Branisca,1409,690,23,0,179,34,178,136,8,16,11,3,0,8,59,26,7,2
RO_032660,Branistea,2839,1500,35,0,81,25,87,190,788,10,16,2,1,4,28,19,8,206
RO_066152,Branistea,3573,1035,75,0,308,42,56,250,6,14,8,16,1,27,106,116,8,2
RO_075711,Branistea,3125,958,64,0,242,45,113,176,4,153,8,6,4,20,80,35,3,5
RO_014060,Braniştea,1700,694,39,0,264,18,108,144,9,7,20,0,1,15,33,29,6,1
RO_025962,Brastavatu,4111,1178,92,0,547,59,63,215,10,17,16,18,5,43,27,53,8,5
RO_027686,Bratca,4266,1555,80,0,488,70,440,244,1,39,23,6,2,22,70,57,10,3
RO_044349,Brateiu,2504,1174,112,0,664,28,112,163,5,5,8,8,0,8,12,29,11,9
RO_064005,Brates,1260,607,15,0,13,3,10,16,191,8,1,4,2,2,4,5,8,325
RO_071199,Bratovoesti,2754,1339,87,0,534,139,82,295,5,27,21,6,6,16,28,79,9,5
RO_030712,Brazi,6784,1492,85,0,429,68,228,218,7,142,14,12,2,34,147,81,11,14
RO_010239,Brazii,1013,474,15,0,129,25,91,102,1,15,8,1,2,8,36,38,2,1
RO_001243,Brazii,1146,383,58,0,55,10,48,129,1,25,8,7,0,2,20,19,0,1
RO_071260,Breasta,3123,1443,64,0,801,77,65,255,5,24,33,15,1,21,15,58,6,3
RO_045619,Breaza,2467,723,36,0,370,29,37,135,0,19,8,5,2,13,31,30,7,1
RO_015851,Breaza,2013,762,39,0,78,41,76,89,290,20,9,4,3,12,10,9,9,73
RO_047205,Breaza,1398,451,24,0,57,16,77,179,0,30,1,1,0,4,21,37,3,1
RO_025999,Brebeni,2145,789,11,0,151,70,161,299,2,15,3,2,0,13,48,11,1,2
RO_051626,Brebu,936,507,15,0,197,19,36,65,9,79,19,2,1,5,42,14,3,1
RO_032404,Brebu,6192,1132,35,0,460,32,81,233,7,63,12,12,5,21,117,44,7,3
RO_051662,Brebu Nou,269,87,2,0,34,1,9,16,5,6,0,1,1,1,2,8,1,0
RO_056151,Brestovat,584,351,22,0,170,19,20,52,0,4,4,3,1,5,3,44,1,3
RO_064096,Bretcu,3079,1139,70,0,84,28,40,69,415,17,1,3,2,10,10,9,6,375
RO_088644,Bretea Romana,2456,1116,40,0,382,74,211,198,23,39,13,1,2,11,38,75,4,5
RO_010740,Breznita-Motru,1342,545,30,0,171,22,142,37,5,27,10,4,4,11,30,50,1,1
RO_010820,Breznita-Ocol,3207,725,23,0,218,67,190,110,7,20,15,1,2,10,34,26,0,2
RO_001341,Brezoaele,3072,791,46,0,246,18,49,143,2,8,4,6,4,12,209,41,1,2
RO_047241,Brodina,2823,736,39,0,155,46,82,159,1,8,3,1,1,8,82,139,6,6
RO_036426,Broscauti,2848,657,42,0,113,58,84,187,3,31,7,6,2,7,77,27,11,2
RO_010875,Brosteni,2244,687,25,0,179,30,179,134,5,25,18,3,0,22,26,37,3,1
RO_075466,Brosteni,1755,557,20,0,102,10,97,190,1,1,2,3,0,5,74,38,8,6
RO_044410,Bruiu,777,245,11,0,73,12,24,93,1,0,5,5,0,3,5,10,0,3
RO_027757,Brusturi,3133,813,38,0,226,68,189,193,18,22,4,4,1,4,29,7,4,6
RO_121938,Brusturi,3225,1184,68,0,342,65,64,450,4,7,5,1,1,16,78,68,7,8
RO_021597,Brusturoasa,2833,993,61,0,328,48,55,395,2,13,16,3,3,6,29,20,9,5
RO_009026,Bucerdea Grânoasă,1867,859,54,0,153,14,331,68,205,1,4,5,0,2,4,8,5,5
RO_088788,Buces,1849,975,34,0,62,37,557,167,11,47,9,6,2,7,13,14,6,3
RO_051699,Buchin,1726,748,13,0,217,49,165,140,2,24,21,3,1,12,36,61,1,3
