gisco_id,name,registered,turnout,invalid,blank,PARTIDUL DEMOCRAT LIBERAL,PARTIDUL MIŞCAREA POPULARĂ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,ALIANŢA ELECTORALĂ PSD-UNPR-PC,PARTIDUL NAŢIONAL LIBERAL,PARTIDUL ROMÂNIA MARE,ALIANŢA NAŢIONALĂ A AGRICULTORILOR,PARTIDUL DREPTĂŢII SOCIALE,PARTIDUL NOUA REPUBLICĂ,PARTIDUL VERDE,FORŢA CIVICĂ,PARTIDUL ECOLOGIST ROMÂN,PARTIDUL ALTERNATIVA SOCIALISTĂ,PARTIDUL NAŢIONAL ŢĂRĂNESC CREŞTIN DEMOCRAT,PARTIDUL POPORULUI - DAN DIACONESCU,UNGUREANU GEORGIANA-CORINA,FILIP CONSTANTIN-TITIAN,LIGA DĂNUŢ,PUREA PAUL,CAPSALI PERICLE-IULIAN,COSTEA PETER,DIACONU MIRCEA,DĂEANU VALENTIN-EUGEN
RO_120316,Voivodeni,1497,535,35,0,37,6,153,229,19,13,3,2,1,3,5,0,2,2,8,1,0,4,1,1,2,8,0
RO_120343,Zagăr,1006,307,30,0,17,15,3,71,124,3,5,1,0,0,8,2,0,14,11,0,0,0,0,2,0,1,0
RO_120370,Zau de Câmpie,2655,754,41,0,44,17,21,110,453,22,1,0,1,0,8,1,1,0,14,0,0,2,0,2,2,13,1
RO_120478,Chibed,1378,430,11,0,3,2,394,8,1,3,4,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0
RO_120487,Corunca,2191,795,33,0,47,28,477,57,48,17,3,1,3,0,17,7,1,1,3,1,0,2,0,0,10,37,2
RO_120496,Sărăţeni,1270,516,14,0,9,1,458,17,4,1,3,0,1,0,3,1,0,0,0,2,0,0,0,0,1,0,1
RO_120502,Madaraş,1275,424,11,0,22,5,356,8,5,2,1,1,1,1,2,1,1,0,0,1,0,0,1,2,0,3,0
RO_120511,Bereni,999,576,12,0,7,1,533,12,5,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
RO_120726,Municipiul Piatra Neamţ,98170,28181,2198,0,1582,3281,32,8706,2529,848,232,96,105,158,1560,937,57,228,716,146,51,67,47,725,198,3613,69
RO_120771,Dumbrava Roşie,6557,1763,192,0,304,96,2,401,215,62,22,4,4,6,53,50,4,8,168,11,2,3,1,28,21,106,0
RO_120824,Săvineşti,5482,1822,191,0,92,102,2,927,121,63,21,12,5,8,41,38,3,4,68,4,2,4,4,22,3,81,4
RO_120860,Municipiul Roman,60095,16953,1376,0,946,3292,20,5356,1357,455,179,36,36,79,676,422,30,85,339,105,24,39,31,121,118,1796,35
RO_120888,Cordun,6228,1439,153,0,111,78,1,589,179,51,15,2,1,8,34,40,6,13,52,5,3,3,6,5,8,75,1
RO_120922,Horia,6023,1411,157,0,104,112,1,453,163,42,29,3,4,5,27,77,3,28,67,11,1,8,5,13,1,93,4
RO_120968,Oraş Bicaz,7294,2263,205,0,321,120,8,800,176,92,31,10,9,7,63,58,2,21,76,11,4,2,2,49,10,182,4
RO_121055,Oraş Târgu Neamţ,18135,6590,518,0,360,313,7,2920,684,162,47,21,17,16,179,88,12,30,268,32,20,16,3,77,22,767,11
RO_121108,Agapia,3634,1205,102,0,90,86,1,409,98,22,13,3,2,4,11,12,2,7,72,1,4,5,3,207,0,49,2
RO_121153,Bahna,2694,1135,114,0,164,27,0,593,114,30,10,4,3,0,4,9,9,4,37,0,0,0,1,1,0,10,1
RO_121242,Bălţăteşti,3484,1150,74,0,54,83,1,458,107,15,11,3,2,4,25,103,4,7,106,1,3,1,4,8,1,75,0
RO_121297,Bicaz-Chei,3626,1226,75,0,101,57,3,675,123,32,17,2,0,3,9,9,1,10,39,2,1,1,1,9,39,17,0
RO_121340,Bicazu Ardelean,3237,531,34,0,103,33,1,112,73,13,13,1,2,1,9,7,0,17,46,4,1,2,0,9,19,30,1
RO_121386,Bira,1543,654,43,0,51,61,0,322,40,14,16,3,1,1,10,16,3,5,24,4,0,8,2,3,2,23,2
