gisco_id,name,registered,turnout,invalid,blank,PP,PUSL,ADU,Şoşoacă,RS,Ştefănuţă,REPER,AUR,PDU,UDMR,PAD,PRM,S.O.S. RO,PSD-PNL,Pîrvănescu,Gheorghe
RO_108106,Fărcaşa,3371,2185,145,0,18,9,121,20,7,36,39,351,33,30,6,10,107,1216,3,32
RO_108151,Giuleşti,2693,1762,110,0,5,11,97,20,4,26,7,210,5,9,3,6,31,1203,2,13
RO_108204,Ieud,3498,1475,89,0,8,9,93,10,4,10,7,156,14,5,2,4,63,978,2,21
RO_108222,Lăpuş,2886,1773,74,0,14,22,55,18,4,19,19,234,18,13,4,15,82,1149,5,28
RO_108240,Leordina,1987,1157,147,0,97,3,83,28,6,7,5,177,8,7,2,13,27,533,2,10
RO_108268,Mireşu Mare,3814,2472,106,0,11,9,72,20,2,17,27,358,36,19,7,8,87,1654,5,34
RO_108348,Moisei,7837,4396,271,0,31,54,127,53,4,87,61,704,35,28,16,18,214,2626,4,63
RO_108366,Oarţa de Jos,921,635,29,0,3,3,55,11,1,7,6,88,10,26,3,4,15,367,0,7
RO_108400,Ocna Şugatag,3493,2104,148,0,9,50,84,19,7,27,41,408,37,155,8,8,83,984,6,30
RO_108455,Petrova,1939,1147,140,0,24,36,20,20,1,8,8,178,10,7,6,7,48,614,3,17
RO_108473,Poienile de Sub Munte,7666,3903,451,0,20,7,78,161,5,15,27,770,36,32,5,12,878,1377,6,23
RO_108491,Remetea Chioarului,2323,1589,109,0,6,16,67,14,6,13,13,167,20,139,13,5,68,903,3,27
RO_108552,Remeţi,2633,1252,141,0,5,7,48,31,4,15,19,170,21,76,4,5,78,612,5,11
RO_108598,Repedea,3703,1766,135,0,17,11,45,77,11,16,10,398,21,23,11,3,213,741,5,27
RO_108614,Rona de Jos,1651,1062,54,0,3,4,29,18,1,4,2,219,2,2,3,2,65,639,1,14
RO_108632,Rona de Sus,3709,1948,180,0,10,9,73,34,5,18,16,216,10,143,1,9,162,1030,9,23
RO_108669,Rozavlea,2684,1610,145,0,10,11,41,10,1,14,16,115,26,9,0,13,27,1152,2,16
RO_108696,Ruscova,4408,1696,154,0,13,7,57,35,3,23,12,249,31,7,1,12,139,929,7,17
RO_108712,Satulung,5054,3512,212,0,37,24,314,28,10,62,64,449,39,48,21,21,99,2035,10,38
RO_108794,Săcălăşeni,2071,1311,58,0,16,9,143,9,6,22,30,327,27,19,5,6,49,566,4,15
RO_108874,Săcel,2727,1883,148,0,50,41,71,37,12,27,3,402,21,3,2,6,123,825,2,32
RO_108892,Oraş Săliştea de Sus,4101,1802,147,0,22,68,128,25,7,27,21,231,13,18,7,23,76,939,5,45
RO_108918,Sălsig,1319,1077,81,0,11,1,31,10,0,25,20,141,16,5,3,0,24,677,1,31
RO_108945,Săpânţa,2654,1668,65,0,14,15,51,15,2,14,14,306,21,7,2,6,62,1045,2,15
RO_108963,Oraş Seini,7938,4063,171,0,18,24,146,42,17,68,76,446,68,516,18,21,181,2146,13,82
RO_109005,Strâmtura,2894,1441,176,0,12,5,47,12,6,16,10,253,11,21,2,7,42,793,5,23
RO_109041,Suciu de Sus,3131,2046,149,0,21,11,178,38,4,33,27,356,38,18,21,12,60,1015,15,50
RO_109096,Şişeşti,4487,2479,123,0,11,16,197,17,10,49,279,431,25,19,30,14,122,1047,10,79
RO_109176,Oraş Şomcuţa Mare,6262,3933,469,0,37,16,204,34,6,52,60,519,45,86,12,10,133,2192,10,48
RO_109265,Oraş Ulmeni,5801,3779,130,0,9,33,73,20,5,37,42,203,35,775,15,13,91,2266,2,30
RO_109354,Valea Chioarului,1634,1477,91,0,7,2,37,12,10,17,28,197,16,18,5,3,34,976,3,21
RO_109425,Vima Mică,1129,867,36,0,3,12,39,7,2,9,14,210,7,8,0,2,36,475,4,3
RO_109504,Vişeu de Jos,4099,2266,152,0,18,45,64,15,0,43,46,301,20,20,5,7,59,1422,9,36
RO_109773,Municipiul Drobeta-Turnu Severin,84224,33336,1376,0,246,377,2244,237,179,740,676,5806,571,299,141,169,1515,17771,356,574
RO_109826,Şimian,8872,4296,119,0,13,7,30,14,5,8,5,357,13,24,1,10,86,3585,5,14
RO_109924,Oraş Baia de Aramă,4449,2735,166,0,13,15,87,23,6,22,41,586,31,19,2,5,137,1515,15,52
RO_110027,Obârşia-Cloşani,790,622,42,0,5,0,13,3,1,2,6,98,0,1,1,0,42,398,0,10
RO_110063,Municipiul Orşova,9921,4678,239,0,22,33,185,50,19,48,77,1262,82,45,9,19,179,2280,49,80
RO_110116,Oraş Strehaia,8750,5052,412,0,9,22,140,19,5,28,32,623,20,28,5,11,195,3436,13,54
RO_110232,Oraş Vânju Mare,4682,2810,134,0,6,16,44,8,5,31,12,302,10,20,2,7,80,2018,16,14
RO_110296,Bala,2943,2128,135,0,5,13,107,19,3,34,5,495,14,21,1,11,87,1144,10,24
RO_110456,Balta,778,922,60,0,5,1,31,8,2,4,9,91,9,13,2,7,33,638,4,5
RO_110535,Bălăciţa,1980,1479,129,0,5,1,28,14,0,1,5,147,6,12,3,1,23,1098,1,5
RO_110571,Bâcleş,1322,1235,45,0,2,5,5,3,0,0,1,32,2,9,0,2,14,1114,0,1
RO_110688,Bâlvăneşti,1039,822,58,0,4,2,8,0,2,4,4,77,0,2,0,0,30,622,5,4
RO_110740,Brezniţa-Motru,1022,863,63,0,2,0,9,5,0,2,1,104,4,11,0,0,28,632,1,1
RO_110820,Brezniţa-Ocol,3239,1816,50,0,3,10,28,19,1,10,5,249,13,3,2,2,52,1352,7,10
RO_110875,Broşteni,2283,1816,78,0,3,2,43,4,0,22,21,506,10,14,3,9,105,974,4,18
RO_110946,Burila Mare,1654,1222,97,0,5,3,22,3,7,8,3,140,8,15,1,4,32,868,3,3
RO_111006,Butoieşti,2547,1997,111,0,11,5,37,19,4,9,14,288,12,7,0,5,151,1303,2,19
RO_111097,Căzăneşti,1699,1440,95,0,9,1,39,7,2,11,6,158,3,27,0,1,32,1034,7,8
RO_111220,Cireşu,383,383,18,0,0,1,10,0,1,0,2,30,2,0,0,5,7,300,2,5
RO_111275,Corcova,4821,3298,209,0,10,4,71,25,1,13,14,430,11,21,1,9,281,2177,4,17
RO_111417,Corlăţel,1052,719,36,0,5,1,11,1,0,0,0,92,0,2,0,0,39,532,0,0
RO_111444,Cujmir,2605,1822,97,0,7,2,60,6,5,14,5,148,5,12,1,4,49,1390,5,12
RO_111480,Devesel,2416,1865,120,0,2,4,22,10,0,3,10,155,20,37,0,3,47,1419,7,6
RO_111550,Dârvari,1957,1351,40,0,40,1,5,0,0,0,0,36,1,5,0,0,8,1215,0,0
RO_111587,Dumbrava,978,853,53,0,0,0,48,0,1,1,2,58,0,2,1,1,10,674,0,2
RO_111685,Floreşti,2144,1416,56,0,3,3,43,14,3,6,6,224,12,4,1,9,58,968,0,6
RO_111783,Gârla Mare,2670,1724,135,0,0,2,7,1,0,8,8,187,2,8,0,3,15,1338,2,8
RO_111818,Godeanu,430,587,24,0,3,2,5,0,0,1,3,59,3,4,1,0,13,467,2,0
RO_111863,Gogoşu,3268,1879,61,0,2,21,28,3,2,8,11,234,6,11,2,6,49,1322,1,3
RO_111916,Greci,921,867,58,0,3,4,8,7,3,3,5,102,5,2,1,2,31,622,2,9
RO_111989,Grozeşti,1518,908,40,0,3,6,65,0,1,3,3,94,5,7,0,4,28,648,0,1
RO_112030,Gruia,2127,1181,77,0,1,0,14,13,0,2,5,97,1,5,1,1,35,925,2,2
RO_112076,Hinova,2411,1878,117,0,5,13,30,15,1,5,10,275,25,10,3,9,59,1275,2,24
RO_112129,Husnicioara,941,1183,71,0,5,19,2,5,0,5,5,118,3,9,0,1,12,923,3,2
RO_112245,Eşelniţa,2406,1418,85,0,10,6,219,21,5,10,15,316,9,15,6,6,59,618,2,16
RO_112263,Ilovăţ,918,931,57,0,0,2,8,4,0,0,2,117,6,16,0,0,27,687,5,0
RO_112334,Iloviţa,1059,787,60,0,1,3,12,9,2,9,2,114,3,5,2,4,23,526,9,3
