gisco_id,name,registered,turnout,invalid,blank,AN,AES,CDS,C's,PA (1971),DN,E-2000,FE de las JONS,IU-LV,LV,PACMA,PCPE,PDAL,FyV,PH (1984),PP,PSD,PSOE,PUM+J,UPyD,FA,PPCR,SAIn,CEB,FE,RCN/NOK,PAMYDE,POSI,CHA,IU,LV-GV,PAR,pCUA,PSD-FIA,Centristas PCTR,AA (1990),CDA,PRE,IU-BA-LV,MFE,PC,PUEDE,ABA,CTD,PIB,UxI,ANC,CC (1993),MUPCA,NC-BC,UP (1998),CDL,CC-PNC,UCIC,aBLA,LVdeE,TC,CTC,UdCa,ixC,CDEs,PRGU,AGRUCI,APB,ICB,IMC,GDEB,PREPAL,UPL (1978),URCL,UCD,CiU,Ei-ADD,EV-AE,ERC,ICV-EUiA,LI,PLCI,PPA,PSC,PPC,PRC [Partit Republicà Català],EV-AV,EEB,PFiV,NS,EU,AVE,BNG,PAIE,PNF,Hache,PLEVE,UPL (2003),NaBai,UPN-PP,Aralar,EA,EAJ/PNV,PR (1982),Bloc-IdPV-LV,CV,ERPV,IU-ERPV,ONV,PRV,IRV
ES_04038,Dalías,3039,2339,16,16,0,0,0,3,9,0,0,4,116,6,3,1,541,0,0,667,1,950,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04041,Enix,401,317,1,1,0,0,0,0,2,0,0,0,8,1,2,0,7,0,0,165,1,126,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04043,Felix,527,458,0,0,0,0,0,0,0,0,0,1,7,0,0,0,24,0,0,234,0,191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04044,Fines,1485,1236,1,6,0,0,0,0,10,1,0,3,46,1,1,1,8,0,0,606,1,549,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04045,Fiñana,1920,1560,5,9,0,0,2,0,16,1,0,0,59,4,4,2,11,0,0,374,5,1064,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04046,Fondón,835,674,2,6,0,0,0,0,0,0,0,0,23,4,0,3,15,0,0,243,1,373,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04047,Gádor,2308,2009,7,7,0,0,1,0,1,0,1,1,29,4,2,1,21,0,0,985,0,946,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04048,"Gallardos, Los",1456,1163,2,9,1,0,0,0,2,0,0,0,64,0,1,0,15,0,1,528,4,534,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04049,Garrucha,4760,3695,20,21,1,1,0,0,6,0,1,1,63,5,2,2,16,1,0,2061,2,1466,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04050,Gergal,906,692,1,4,0,0,0,0,2,0,1,1,37,2,0,0,4,0,1,277,0,358,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
