gisco_id,name,registered,turnout,invalid,blank,EKD,Kesk,ER,EIP,VL,Isamaa,VEE,KE,ERL,SDE,EER,Burmeister,Luus [Koit Luus],Hallik,Kodu,Kambla,Ivinskaja,Stepanova
EE_0483,Mustjala,0,0,0,0,17,100,59,1,0,56,0,0,56,9,8,0,0,0,0,0,0,0
EE_0550,Orissaare,0,0,0,0,42,194,246,0,0,90,0,0,293,119,61,0,0,0,0,0,0,0
EE_0592,Pihtla,0,0,0,0,76,150,175,1,1,95,0,1,101,58,28,0,0,0,0,0,0,0
EE_0634,Pöide,0,0,0,0,3,176,87,1,0,26,0,0,66,44,28,0,0,0,0,0,0,0
EE_0689,Ruhnu,0,0,0,0,5,10,6,0,0,8,0,0,0,7,9,0,0,0,0,0,0,0
EE_MA11,Saare maakond,28979,16017,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0721,Salme,0,0,0,0,33,126,179,2,1,77,0,1,67,35,35,0,0,0,0,0,0,0
EE_0807,Torgu,0,0,0,0,13,61,51,0,0,17,0,0,7,20,16,0,0,0,0,0,0,0
EE_0858,Valjala,0,0,0,0,40,137,176,2,0,110,0,1,102,29,50,0,0,0,0,0,0,0
EE_0784,Tallinn,240841,149344,1161,0,2844,51648,37262,331,185,27717,351,2584,2158,12821,10140,0,107,0,0,0,25,10
EE_0795,Tartu linn,71128,41827,456,0,509,7046,14259,0,88,8758,81,221,1556,5558,3295,0,0,0,0,0,0,0
EE_0126,Alatskivi,0,0,0,0,5,111,123,2,2,77,1,8,195,23,20,0,0,1,1,0,0,0
EE_0170,Elva,0,0,0,0,77,636,1232,4,3,517,1,1,145,175,242,0,0,11,11,0,0,0
EE_0185,Haaslava,0,0,0,0,7,166,251,4,3,137,0,0,113,57,44,0,0,2,0,0,0,0
EE_0279,Kallaste,0,0,0,0,9,224,17,0,0,24,6,100,64,3,2,0,0,0,0,0,0,0
EE_0282,Kambja,0,0,0,0,6,236,269,2,0,197,0,0,382,96,67,0,0,0,2,0,0,0
EE_0331,Konguta,0,0,0,0,10,144,112,1,0,91,0,0,143,63,36,0,0,16,1,0,0,0
EE_0383,Laeva,0,0,0,0,8,96,88,0,1,53,0,0,84,24,24,0,0,0,0,0,0,0
EE_0432,Luunja,0,0,0,0,10,222,341,2,1,239,2,0,127,100,65,0,0,1,0,0,0,0
EE_0454,Meeksi,0,0,0,0,0,176,43,0,0,26,2,5,40,12,19,0,0,1,1,0,0,0
EE_0501,Mäksa,0,0,0,0,3,173,225,5,3,117,0,2,67,40,43,0,0,1,3,0,0,0
EE_0528,Nõo,0,0,0,0,23,303,470,2,3,343,0,0,268,148,168,0,0,1,1,0,0,0
EE_0587,Peipsiääre,0,0,0,0,2,53,11,1,0,8,2,75,269,4,3,0,0,0,0,0,0,0
EE_0595,Piirissaare,0,0,0,0,0,6,1,0,0,3,0,1,57,0,0,0,0,0,0,0,0,0
