gisco_id,name,registered,turnout,invalid,blank,EER,Isamaa,SDE,ER,Kesk,VEE,EIP,ERL,EKD,Helme [Martin Helme],Aasa,Eenpalu,Poolamets,Ibragimov,Helme [Mart Helme],Ergma,Ivinskaja,Meesak,Tšižikov,Vihmar,Rämmel,Ellik,Teesalu,Õun,Veges,Põlluaas,Nurmik,Trapido,Reinberg,Paddar,Hiob,Kunnas,Sisask,Tammeraid,Siir,Luus [Koit Luus],Hirv,Koitla,Soosaar,Merirand,Derbnev
EE_0183,Haapsalu,0,0,0,0,198,692,828,1100,801,25,15,41,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0195,Hanila,0,0,0,0,72,74,145,177,86,2,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0342,Kullamaa,0,0,0,0,42,45,96,147,73,0,2,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0411,Lihula,0,0,0,0,159,105,253,238,99,0,3,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA07,Lääne maakond,20887,9477,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0452,Martna,0,0,0,0,38,26,60,73,45,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0520,Noarootsi,0,0,0,0,28,109,49,70,55,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0531,Nõva,0,0,0,0,11,25,50,64,29,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0552,Oru,0,0,0,0,21,80,69,123,38,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0674,Ridala,0,0,0,0,73,204,210,284,157,1,12,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
