gisco_id,name,registered,turnout,invalid,blank,RÜE,EKRE,ER,Isamaa,EER,VL,EVA,Kesk,SDE,EIP,Hirv,Vackermann,Porroson,Ranne,Pähklemäe,Reinson,Leetna,Ibragimov,Koit,Ivinskaja,Karusoo
EE_0520,Noarootsi,720,440,2,0,1,60,128,80,10,0,49,48,60,2,0,0,0,0,0,0,0,0,0,0,0
EE_0528,Nõo,3054,1936,5,0,15,167,632,337,9,1,189,240,336,5,0,0,0,0,0,0,0,0,0,0,0
EE_0531,Nõva,331,242,0,0,2,29,73,20,6,0,34,39,38,1,0,0,0,0,0,0,0,0,0,0,0
EE_0547,Orava,633,386,6,0,1,119,79,37,2,0,19,72,51,0,0,0,0,0,0,0,0,0,0,0,0
EE_0550,Orissaare,1639,1010,3,0,0,91,317,181,18,1,81,123,195,0,0,0,0,0,0,0,0,0,0,0,0
EE_0636,Otepää,3270,2082,29,0,8,216,658,264,13,1,219,264,397,5,0,0,1,7,0,0,0,0,0,0,0
EE_0562,Padise,1406,910,9,0,17,80,312,124,5,0,113,92,147,6,4,1,0,0,0,0,0,0,0,0,0
EE_0566,Paide linn,6585,4070,29,0,20,358,1063,684,17,0,230,804,845,8,0,0,0,0,0,0,0,0,12,0,0
EE_0565,Paide vald,1364,720,6,0,1,62,223,113,3,0,31,125,151,1,0,0,0,0,0,0,0,0,4,0,0
EE_0568,Paikuse,2779,1717,6,0,3,319,568,217,10,2,134,245,210,3,0,0,0,0,0,0,0,0,0,0,0
EE_0573,Pajusi,1045,567,5,0,2,79,116,85,2,0,47,113,118,0,0,0,0,0,0,0,0,0,0,0,0
EE_0576,Pala,939,545,10,0,2,57,142,133,5,0,31,78,84,3,0,0,0,0,0,0,0,0,0,0,0
EE_0578,Palamuse,1771,1079,9,0,1,133,203,164,20,0,102,247,198,2,0,0,0,0,0,0,0,0,0,0,0
EE_0580,Paldiski,1576,883,13,0,2,40,222,55,5,2,38,419,81,4,1,1,0,0,0,0,0,0,0,0,0
EE_0582,Palupera,880,460,6,0,1,39,124,39,3,0,76,67,102,2,0,0,0,1,0,0,0,0,0,0,0
EE_0587,Peipsiääre,583,378,3,0,0,2,18,28,0,13,2,303,9,0,0,0,0,0,0,0,0,0,0,0,0
EE_0592,Pihtla,1198,741,1,0,2,94,216,99,8,1,62,94,162,2,0,0,0,0,0,0,0,0,0,0,0
EE_0595,Piirissaare,98,63,1,0,0,1,5,0,0,0,1,25,29,1,0,0,0,0,0,0,0,0,0,0,0
EE_0605,Puhja,1776,989,6,0,1,67,347,123,7,1,65,184,188,0,0,0,0,0,0,0,0,0,0,0,0
EE_0608,Puka,1350,770,8,0,5,81,217,83,3,0,65,150,156,0,0,0,0,2,0,0,0,0,0,0,0
EE_0611,Puurmani,1263,719,9,0,2,144,205,89,5,0,36,102,127,0,0,0,0,0,0,0,0,0,0,0,0
EE_0625,Pärnu,30522,18743,136,0,49,3260,5825,2361,98,12,1241,3806,1915,40,0,0,0,0,0,0,0,0,0,0,0
EE_0613,Põdrala,659,351,1,0,1,46,97,22,4,0,35,57,86,0,0,0,1,1,0,0,0,0,0,0,0
EE_0617,Põltsamaa linn,3559,2348,12,0,7,225,486,524,20,1,150,400,517,6,0,0,0,0,0,0,0,0,0,0,0
EE_0616,Põltsamaa vald,2966,1651,22,0,3,181,359,313,8,0,81,324,356,4,0,0,0,0,0,0,0,0,0,0,0
EE_0621,Põlva,7963,4910,24,0,10,372,1175,753,27,6,345,1284,882,17,0,0,6,9,0,0,0,0,0,0,0
EE_0634,Pöide,743,442,2,0,0,53,125,43,8,0,47,62,101,1,0,0,0,0,0,0,0,0,0,0,0
EE_0639,Pühalepa,1388,836,1,0,3,103,307,104,9,0,69,103,134,3,0,0,0,0,0,0,0,0,0,0,0
EE_0651,Raasiku,3459,2352,17,0,14,212,903,311,22,1,268,217,376,4,5,2,0,0,0,0,0,0,0,0,0
EE_0653,Rae,10128,7358,33,0,25,467,3090,1063,50,7,711,743,1142,11,10,6,0,0,0,0,0,0,0,0,0
EE_0654,Raikküla,1305,774,1,0,4,55,231,153,11,0,94,98,123,2,2,0,0,0,0,0,0,0,0,0,0
EE_0660,Rakke,1333,732,13,0,14,47,178,139,12,1,68,153,104,3,0,0,0,0,0,0,0,0,0,0,0
EE_0663,Rakvere linn,12056,7322,47,0,70,630,1996,1565,41,1,556,1296,1096,24,0,0,0,0,0,0,0,0,0,0,0
EE_0662,Rakvere vald,1625,893,5,0,12,95,228,166,2,0,84,129,168,4,0,0,0,0,0,0,0,0,0,0,0
EE_0666,Rannu,1295,792,3,0,4,61,241,96,14,0,46,153,173,1,0,0,0,0,0,0,0,0,0,0,0
EE_0669,Rapla vald,7300,4774,22,0,7,400,1459,768,42,3,853,583,620,6,10,1,0,0,0,0,0,0,0,0,0
EE_0674,Ridala,2433,1442,9,0,5,180,412,201,17,3,245,175,193,2,0,0,0,0,0,0,0,0,0,0,0
EE_0684,Roosna-Alliku,896,539,6,0,2,52,147,74,0,0,24,105,126,2,0,0,0,0,0,0,0,0,1,0,0
EE_0689,Ruhnu,133,85,1,0,0,14,28,7,1,0,6,5,22,1,0,0,0,0,0,0,0,0,0,0,0
EE_0702,Rägavere,715,405,1,0,5,54,88,69,7,0,31,84,66,0,0,0,0,0,0,0,0,0,0,0,0
EE_0707,Räpina vald,3978,2421,25,0,7,211,683,410,13,13,136,476,427,6,0,0,5,9,0,0,0,0,0,0,0
EE_0694,Rõngu,2176,1330,10,0,13,99,395,117,13,1,97,315,264,6,0,0,0,0,0,0,0,0,0,0,0
EE_0697,Rõuge,1814,1209,12,0,2,129,174,129,6,0,85,161,507,3,0,0,0,1,0,0,0,0,0,0,0
EE_0710,Saarde,3426,1991,8,0,13,453,479,210,12,2,140,438,229,7,0,0,0,0,0,0,0,0,0,0,0
EE_0713,Saare,986,596,4,0,2,42,92,74,4,0,29,94,252,3,0,0,0,0,0,0,0,0,0,0,0
EE_0718,Saku,6568,4864,27,0,18,379,1972,795,56,10,603,381,612,6,4,1,0,0,0,0,0,0,0,0,0
EE_0721,Salme,1012,601,3,0,2,44,199,89,5,0,117,74,61,7,0,0,0,0,0,0,0,0,0,0,0
EE_0724,Sangaste,1077,620,4,0,2,57,131,82,4,0,79,93,160,5,0,0,1,2,0,0,0,0,0,0,0
EE_0728,Saue linn,4343,3352,15,0,10,399,1332,554,39,2,319,309,366,4,0,3,0,0,0,0,0,0,0,0,0
EE_0727,Saue vald,7037,5243,16,0,12,415,2063,1006,47,1,547,515,610,2,6,3,0,0,0,0,0,0,0,0,0
EE_0730,Sauga,3083,1836,9,0,10,320,577,225,9,2,128,283,268,5,0,0,0,0,0,0,0,0,0,0,0
EE_0735,Sillamäe,3516,1966,18,0,0,2,44,29,2,0,9,1636,226,0,0,0,0,0,0,0,0,0,0,0,0
EE_0741,Sindi,3016,1810,15,0,10,354,449,149,8,2,95,513,208,7,0,0,0,0,0,0,0,0,0,0,0
EE_0751,Sonda,645,416,6,0,5,23,97,115,2,0,23,101,44,0,0,0,0,0,0,0,0,0,0,0,0
EE_0756,Surju,775,444,5,0,2,85,84,44,1,0,32,52,138,1,0,0,0,0,0,0,0,0,0,0,0
