gisco_id,name,registered,turnout,invalid,blank,Движение за права и свободи – ДПС,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,БНО,ПП Национално движение Единство,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,Коалиция Справедлива България,ПРЯКА ДЕМОКРАЦИЯ,НФСБ,Продължаваме Промяната,МИР,КОД /Консервативно Обединение на Десницата/,БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,ПП КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ,ВЪЗРАЖДАНЕ,БЪЛГАРСКИ ВЪЗХОД,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,ПП ИЗПРАВИ СЕ БЪЛГАРИЯ,ДВИЖЕНИЕ НА НЕПАРТИЙНИТЕ КАНДИДАТИ,ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,ПРАВОТО,НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ГЕРБ-СДС,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)",БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,АТАКА,БСП ЗА БЪЛГАРИЯ,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,ИК за издигане на Цветан Христов Атанасов като независим кандидат-Цветан Христов Атанасов,Луна Йорданова Йорданова-Луна Йорданова Йорданова
BG_VAR08,Ветрино,4650,1903,19,44,385,8,5,6,12,4,4,5,191,4,3,1,4,190,61,3,14,6,50,2,0,6,680,37,4,6,145,3,1,0
BG_VID01,Белоградчик,5208,2094,19,55,494,9,2,3,6,1,1,5,286,2,5,3,3,115,74,1,20,8,58,5,3,1,527,145,10,5,223,5,0,0
BG_PDV25,Раковски,22240,5772,8,207,68,12,8,22,52,14,11,22,980,9,6,8,16,660,183,3,40,15,204,6,3,9,2396,180,13,16,589,12,0,0
BG_SHU30,Шумен,85856,28449,47,1199,1777,42,14,54,331,104,40,32,6213,41,37,39,66,3374,1329,14,297,96,1169,71,20,35,7312,1301,58,95,3135,107,0,0
BG_TGV22,Омуртаг,25126,7617,62,151,5065,44,3,17,19,18,12,5,487,7,7,8,10,163,56,5,16,17,94,4,2,2,765,265,7,4,294,8,0,0
BG_VID33,Ружинци,3043,1576,22,17,353,6,1,5,6,2,3,7,157,3,0,1,2,47,25,1,16,3,32,0,5,2,669,78,5,6,99,3,0,0
BG_HKV11,Ивайловград,6195,2637,19,52,355,5,2,5,23,10,3,1,403,2,1,1,1,174,255,1,13,13,59,1,3,3,868,97,7,3,251,6,0,0
BG_VAR04,Белослав,8977,2691,0,101,131,9,7,10,15,17,8,8,505,3,3,3,8,372,97,1,51,5,154,7,2,8,828,88,3,11,226,4,6,0
BG_RSE37,Ценово,4436,1871,14,35,33,4,2,8,16,9,10,7,299,2,4,4,4,113,42,0,22,2,64,1,2,3,882,29,8,7,240,5,0,0
BG_PDV17,Марица,24776,8096,3,378,354,28,3,23,50,43,19,15,1480,11,14,12,25,1059,459,4,52,24,392,14,6,8,2456,325,29,36,756,18,0,0
BG_SFO56,Мирково,1764,625,12,39,9,0,0,0,3,3,0,3,81,5,8,3,2,67,46,1,11,3,31,2,0,1,169,43,0,3,78,2,0,0
BG_BGS23,Сунгурларе,9706,3421,52,59,1533,22,6,8,9,9,11,5,345,3,1,1,4,153,44,4,14,12,84,1,1,5,645,78,2,6,295,9,0,0
BG_SLV20,Сливен,107542,31824,88,976,1268,80,27,0,161,125,59,141,6636,66,44,40,73,3436,1443,51,695,128,1267,50,17,58,9127,1545,104,124,3917,78,0,0
BG_BGS18,Руен,27716,13705,1,90,12002,69,12,15,6,12,10,10,277,6,5,2,2,73,78,6,9,11,42,5,2,1,693,59,5,4,189,9,0,0
BG_HKV33,Харманли,21108,7383,55,193,791,18,13,17,64,37,20,8,1380,11,4,7,22,648,354,10,57,33,248,11,10,15,2291,218,20,31,781,16,0,0
BG_RSE04,Бяла,11374,3724,51,106,305,16,2,11,21,14,7,9,600,6,1,12,5,338,133,3,43,13,149,9,7,10,1347,97,12,17,373,7,0,0
BG_PER19,Земен,2015,1044,15,29,124,1,1,2,3,0,3,0,171,3,4,1,6,72,62,0,2,2,31,1,0,1,347,28,5,4,122,4,0,0
BG_PAZ32,Стрелча,4065,1613,9,45,320,9,2,2,3,8,1,1,235,2,3,2,5,133,114,1,13,8,55,2,1,4,409,31,4,4,184,3,0,0
BG_BGS12,Малко Търново,2485,906,5,22,15,5,0,4,1,4,1,11,187,0,1,2,4,80,76,1,4,5,21,0,3,0,261,27,3,2,158,3,0,0
BG_SLV24,Твърдица,11703,2816,6,101,305,25,4,0,17,10,5,11,444,11,3,8,13,257,96,12,40,17,81,4,6,6,869,92,16,9,336,12,0,0
BG_VAR24,Провадия,18942,5917,50,177,1007,28,14,19,51,15,7,15,806,13,7,11,8,622,205,5,72,28,195,12,2,10,1633,162,9,15,704,9,6,0
BG_SFO17,Елин Пелин,17900,6609,9,351,166,11,2,13,152,33,8,7,1190,11,11,14,14,807,337,4,77,22,330,35,10,4,1923,431,15,23,584,15,0,0
BG_PER32,Перник,78375,30282,42,1252,802,69,11,32,214,85,51,24,5589,48,336,46,59,3303,1823,19,431,130,1262,67,16,30,10189,1502,68,122,2568,92,0,0
BG_RAZ29,Самуил,9012,3418,11,25,2834,15,5,5,3,3,4,1,59,3,0,1,3,21,7,0,7,2,20,0,0,0,160,194,5,2,27,1,0,0
BG_BLG42,Сатовча,15061,6208,2,65,3896,17,1,10,70,6,1,1,397,3,4,3,5,87,62,2,10,5,81,1,3,0,1073,29,7,1,364,2,0,0
BG_SML38,Чепеларе,5779,2171,8,83,284,4,1,7,7,3,7,1,420,4,6,3,8,160,80,2,13,7,80,1,2,0,570,85,4,51,261,9,0,0
