gisco_id,name,registered,turnout,invalid,blank,"ПП ""Нова Алтернатива""","ПП ""Демократическа Партия""","ПП ""Национален Фронт за Спасение на България""","КП ""Коалиция за България""","КП ""Център - Свобода и Достойнство""","ПП ""Национал-Демократична Партия""","КП ""Гражданска Листа - Модерна България""","КП ""Съюз на Демократичните Сили""","ПП ""Либерален Алианс""","ПП ""Християн-Социален Съюз""","ПП ""Атака""","ПП ""ГЕРБ""","ПП ""Ред, Законност и Справедливост""","ПП ""ВМРО - Българско Национално Движение""","ПП ""Демократична Гражданска Инициатива""","ПП ""Християндемократическа Партия на България""","ПП ""Средна Европейска Класа""","ПП ""Национално Патриотично Обединение""","ПП ""Лидер""","ПП ""Зелените""","КП ""Демократи за Силна България и Български Демократически Форум (ДСБ, БДФ)""","ПП ""Социалдемократическа Партия""","ПП ""Другата България""","ПП ""Българската Левица""","ПП ""Кауза България""","ПП ""Движение България на Гражданите""","ПП ""Демократична Алтернатива за Национално Обединение""","КП ""Българска Пролет""","КП ""Горда България""","ПП ""Глас Народен""","ПП ""Български Земеделски Народен Съюз""","ПП ""Движение за Права и Свободи""","ПП ""Национално Движение Единство""","ПП ""Партия на Българските Жени""","ПП ""Единна Народна Партия""","ПП ""Съюз на Комунистите в България""",Инициативен Комитет Жоро Петров НиЧев
BG_14218,Габрово,62244,32043,568,0,61,23,1047,7632,130,36,93,316,54,12,3111,12977,759,579,125,52,106,47,604,160,806,0,42,59,31,1181,34,30,157,485,52,492,0,84,38,60,0
BG_68850,Стара Загора,145475,79517,1522,0,689,72,2853,23579,285,64,665,938,288,32,6780,26671,1390,1471,362,60,58,176,1085,442,2189,0,65,52,53,2404,61,93,397,1264,227,2846,25,158,53,147,0
BG_21097,Димово,5818,3231,127,0,4,0,66,1394,81,6,34,64,4,7,178,843,138,16,14,3,0,2,73,3,22,0,2,3,2,63,2,1,18,3,0,46,0,0,2,10,0
BG_00702,Асеновград,59774,33300,746,0,336,21,784,7719,290,20,65,545,143,12,2547,10026,351,351,90,35,37,15,263,124,420,0,16,35,9,753,16,24,44,387,38,6868,15,44,57,54,0
BG_51809,Нова Загора,34587,16318,478,0,70,0,996,4552,87,14,35,150,68,66,1426,5069,462,347,46,13,13,5,223,36,175,0,6,39,7,358,4,0,65,78,26,1258,12,33,52,49,0
BG_69633,Стражица,11645,5692,193,0,8,5,195,2088,87,4,13,39,9,0,367,1532,123,74,16,3,1,4,89,12,60,0,0,11,3,83,8,7,74,24,9,515,1,8,6,21,0
BG_51723,Никопол,9376,5357,230,0,9,6,235,1751,101,6,13,12,4,0,296,894,76,101,5,3,2,1,40,69,42,0,1,14,1,42,0,0,11,11,28,1315,7,3,7,6,15
BG_JAM25,Тунджа,20607,12028,330,0,69,0,1060,4708,75,12,26,76,13,9,653,3230,1058,78,0,9,7,6,26,21,112,0,3,16,5,129,1,8,73,25,52,95,3,0,11,29,0
BG_43236,Левски,19307,9575,281,0,40,13,482,3363,50,11,28,60,12,0,622,2240,138,141,31,11,1,7,98,18,439,0,3,34,2,170,3,8,39,56,85,1021,15,14,15,13,11
BG_36525,Карнобат,22764,11134,297,0,18,12,763,4381,281,10,47,83,23,7,601,2742,210,167,56,7,5,3,175,34,91,7,6,8,15,223,6,16,29,76,20,656,0,24,12,23,0
