gisco_id,name,registered,turnout,invalid,blank,БСП ЗА БЪЛГАРИЯ,ГЕРБ-СДС,ВЪЗРАЖДАНЕ,ПП ИМА ТАКЪВ НАРОД,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,"КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ)",Българско Национално Обединение,ЗАЕДНО,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,НДСВ,КОД /Консервативно Обединение на Десницата/,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,Движение за права и свободи – ДПС,ЛЕВИЦАТА!,ПП БЪЛГАРСКИ ВЪЗХОД,МИР,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,ПП Глас Народен,Социалистическа партия Български път,ВЪН от ЕС и НАТО,ИК за издигане на Веселин Найденов Марешки за независим кандидат за народен представител-Веселин Найденов Марешки,Милен Ганев Милев-Милен Ганев Милев
BG_MON36,Чипровци,2988,1722,48,76,144,774,252,39,6,7,2,3,2,1,2,276,52,16,13,1,3,0,1,0,4,0,0
BG_RAZ14,Исперих,25550,8909,188,221,317,2407,351,118,9,10,2,5,0,2,5,811,4324,45,53,6,12,0,5,1,14,0,0
BG_GAB35,Трявна,9646,3290,33,148,335,830,600,142,14,26,1,9,2,6,10,840,32,123,110,8,3,2,6,0,10,0,0
BG_PDV15,Лъки,2199,806,17,31,97,210,102,20,1,0,0,2,1,0,0,175,64,6,74,0,3,1,1,0,1,0,0
BG_HKV17,Любимец,7730,3753,100,88,381,1997,330,141,7,7,3,5,1,2,3,540,40,31,64,0,3,2,2,1,5,0,0
BG_RAZ16,Кубрат,18072,6350,151,167,351,957,347,103,20,7,4,11,4,4,4,824,3073,56,233,3,7,5,2,4,11,0,0
BG_PDV37,Хисаря,10116,3942,85,166,614,864,691,169,14,25,0,8,1,8,2,966,103,75,119,6,3,8,6,4,5,0,0
BG_VAR08,Ветрино,4675,2004,60,54,161,786,264,50,2,6,0,5,0,2,3,202,329,37,34,1,3,1,2,0,2,0,0
BG_VID01,Белоградчик,5159,2071,53,72,245,337,208,61,0,2,2,5,3,2,4,332,630,33,77,0,2,1,0,0,2,0,0
BG_PDV25,Раковски,22119,5862,148,243,620,2431,880,227,21,14,6,11,2,11,8,981,41,46,123,6,7,4,7,2,14,0,0
BG_SHU30,Шумен,85922,28216,344,1294,2856,7316,4721,1179,124,176,28,59,14,61,54,6442,1845,489,1002,32,17,17,69,8,69,0,0
BG_TGV22,Омуртаг,25032,6412,210,303,1352,1105,243,57,7,13,6,8,4,7,8,796,2164,36,66,4,7,4,4,0,8,0,0
BG_VID33,Ружинци,3053,1575,59,28,95,744,98,16,1,3,1,1,1,1,1,186,298,14,18,2,0,2,0,2,4,0,0
BG_HKV11,Ивайловград,5702,2714,50,72,228,1014,257,55,7,7,2,6,1,2,5,469,357,69,100,3,3,2,1,0,4,0,0
BG_VAR04,Белослав,8946,2962,52,137,247,788,520,188,13,10,5,8,3,6,2,567,244,60,66,4,2,19,3,1,11,4,0
BG_RSE37,Ценово,4357,2000,80,50,292,873,180,66,2,6,0,5,1,2,5,335,41,20,27,2,8,0,1,2,2,0,0
BG_PDV17,Марица,25296,8607,145,411,913,2584,1571,447,36,39,5,20,7,6,20,1593,235,109,385,9,5,23,15,5,22,0,0
BG_SFO56,Мирково,1757,618,14,50,98,165,87,23,4,2,0,3,2,0,16,105,7,14,20,5,0,0,1,1,1,0,0
BG_BGS23,Сунгурларе,10223,3589,106,61,262,677,254,59,11,13,2,2,5,4,4,340,1677,43,56,2,3,5,1,0,2,0,0
BG_SLV20,Сливен,108206,33559,765,1238,3506,9701,5085,1461,169,126,42,134,13,89,151,7159,1223,1187,1257,57,36,15,58,12,75,0,0
BG_BGS18,Руен,27065,13726,254,159,222,904,157,49,4,9,8,6,4,5,6,421,11300,56,126,9,14,2,2,3,6,0,0
BG_HKV33,Харманли,21118,7312,137,257,713,2374,965,241,28,20,6,10,11,6,5,1337,720,252,176,2,9,4,15,5,18,0,0
BG_RSE04,Бяла,11316,3950,106,141,375,1395,530,180,18,23,4,9,4,14,4,648,308,57,97,3,5,0,8,2,19,0,0
BG_PER19,Земен,1907,1091,28,21,202,319,97,33,3,3,0,0,1,1,2,143,122,16,98,0,0,0,0,0,2,0,0
BG_PAZ32,Стрелча,4026,1663,41,57,172,435,209,50,3,11,0,1,2,1,3,255,293,55,58,13,0,2,0,0,2,0,0
BG_BGS12,Малко Търново,2437,956,40,35,132,268,103,28,7,4,2,5,3,1,3,181,28,51,55,0,4,1,1,2,2,0,0
BG_SLV24,Твърдица,11718,3353,125,94,350,1088,351,80,14,19,6,9,3,4,3,549,412,85,139,1,4,1,6,2,8,0,0
BG_VAR24,Провадия,18989,6608,208,186,671,2152,871,244,19,21,6,41,3,5,3,914,1004,106,102,6,8,5,9,0,8,18,0
BG_SFO17,Елин Пелин,17884,6824,72,441,639,1957,1206,394,20,31,9,24,6,12,12,1385,158,126,245,9,18,5,32,0,23,0,0
BG_PER32,Перник,77829,31607,473,1623,2398,10742,4733,1450,92,134,29,112,27,68,312,6130,608,1199,1191,34,47,34,58,19,94,0,0
BG_RAZ29,Самуил,9010,3515,49,35,43,186,36,20,1,2,2,1,1,1,2,334,2779,8,4,1,4,0,1,0,2,0,0
BG_BLG42,Сатовча,15207,6987,44,83,342,1137,165,70,12,0,3,1,4,3,0,453,4564,36,51,3,2,4,6,1,2,0,0
BG_SML38,Чепеларе,5748,2435,35,100,262,609,299,81,7,22,2,5,1,8,9,571,330,34,53,0,0,2,2,1,2,0,0
BG_VRC27,Мездра,16607,6727,112,265,879,2241,825,244,16,25,6,9,8,14,6,940,680,150,264,3,13,4,8,1,14,0,0
BG_SFO20,Ихтиман,14095,5888,198,193,337,2162,602,181,14,37,4,47,16,16,12,876,983,68,93,6,3,6,8,3,23,0,0
BG_HKV09,Димитровград,44149,15911,203,753,1507,4340,3131,701,58,53,20,31,17,27,27,3792,440,302,371,10,17,12,34,13,53,0,0
BG_SFO07,Ботевград,27305,10369,182,550,1169,3072,1487,588,49,25,9,36,4,25,59,1951,452,192,375,88,14,4,19,2,17,0,0
BG_RSE13,Иваново,7289,2919,68,110,459,877,344,102,9,12,5,7,3,11,6,568,222,31,66,2,0,4,5,1,7,0,0
BG_SFO06,Божурище,6429,2996,38,170,257,914,464,137,10,6,5,15,0,3,6,714,64,66,141,6,0,0,10,3,15,0,0
BG_SHU10,Върбица,11348,4224,22,18,125,302,40,23,2,2,1,1,0,1,0,91,3570,9,9,1,2,0,1,0,4,0,0
BG_SLS10,Дулово,28510,10047,219,124,276,3204,303,113,15,10,4,3,1,9,3,504,5111,54,55,6,6,10,10,2,5,0,0
BG_SFO18,Етрополе,10062,4202,81,178,693,1041,517,181,8,4,1,23,3,6,11,750,396,180,94,3,17,2,5,1,7,0,0
BG_VID03,Бойница,711,414,18,9,40,222,27,6,1,2,0,0,0,1,0,57,18,3,10,0,0,0,0,0,0,0,0
BG_JAM03,Болярово,2607,1582,48,43,765,245,157,28,4,4,2,1,2,0,0,166,49,11,50,0,2,0,0,2,3,0,0
BG_SML27,Рудозем,8393,4377,74,169,176,683,165,80,7,5,3,12,1,3,4,580,2157,13,228,3,3,3,5,1,2,0,0
BG_PAZ14,Лесичово,3915,1658,58,45,241,453,161,72,4,11,0,3,0,7,1,184,349,20,44,0,1,1,1,0,2,0,0
BG_SML05,Борино,3154,1621,15,33,78,119,29,19,2,1,0,4,0,1,0,166,1127,4,16,2,1,1,2,0,1,0,0
BG_SML16,Мадан,10181,5312,60,198,246,670,190,119,17,2,9,8,1,8,1,620,3086,18,41,3,0,2,5,0,8,0,0
BG_PVN27,Пордим,4212,1589,38,61,217,556,186,63,3,9,0,10,0,0,2,190,135,80,30,1,5,1,1,1,0,0,0
BG_HKV18,Маджарово,3064,1227,25,10,44,143,63,10,4,0,0,1,0,1,0,103,797,6,14,1,0,0,0,1,1,0,0
BG_JAM07,Елхово,12489,4082,85,120,652,1295,532,141,18,23,0,6,1,3,6,719,79,64,303,5,6,5,4,3,11,0,0
BG_VRC05,Борован,4344,2132,73,59,232,312,141,45,7,6,3,0,2,1,4,152,857,16,210,2,2,0,2,1,5,0,0
BG_SHU07,Венец,10524,3551,138,41,51,919,25,11,2,2,2,2,2,1,3,216,2094,9,17,4,3,3,2,1,3,0,0
BG_SLS32,Ситово,4975,2005,57,38,166,292,122,25,4,3,2,4,1,3,3,178,1031,17,41,3,6,2,0,3,4,0,0
BG_VRC35,Хайредин,3555,1419,26,35,188,254,153,31,7,9,0,1,1,2,0,176,335,36,157,2,2,1,1,0,2,0,0
BG_MON11,Вълчедръм,7064,3370,51,47,265,774,235,57,6,16,1,4,1,1,1,191,1625,56,20,3,4,0,2,0,10,0,0
BG_PAZ29,Септември,21290,8147,251,229,875,2095,807,229,21,26,3,11,6,5,8,933,2371,77,131,8,13,6,9,3,18,0,0
BG_VAR09,Вълчи дол,7813,3240,107,67,319,1404,377,67,8,7,2,7,4,6,7,312,419,59,46,5,1,2,3,0,3,8,0
BG_SFO09,Годеч,4260,1776,33,77,146,795,222,43,5,7,1,25,0,2,3,302,40,24,41,1,1,1,2,1,4,0,0
BG_SHU18,Каолиново,17711,5542,185,44,107,907,80,22,2,2,10,7,2,7,3,282,3820,14,31,2,3,6,1,1,4,0,0
BG_VID15,Грамада,1349,734,15,19,84,103,52,13,1,1,1,2,0,4,0,360,43,10,23,0,0,0,1,0,2,0,0
BG_BGS04,Бургас,180571,73160,826,3749,5456,20386,11686,3675,200,305,60,333,32,127,592,18552,1283,1574,3620,170,32,114,160,14,216,0,0
BG_SZR04,Братя Даскалови,5675,2331,61,26,351,492,231,56,6,7,6,2,1,1,0,273,715,45,51,1,1,1,1,2,1,0,0
BG_PAZ06,Брацигово,7406,2362,48,85,313,890,342,77,4,5,4,4,0,4,2,438,64,39,33,2,1,1,3,0,3,0,0
BG_BLG44,Симитли,12401,7426,174,154,220,5442,400,148,22,14,1,9,7,3,2,647,68,48,45,3,4,4,4,0,7,0,0
BG_PVN39,Кнежа,11180,4452,114,147,298,1753,490,170,13,20,1,4,3,3,0,643,518,91,160,6,5,0,3,2,5,0,0
BG_PVN08,Гулянци,9441,2586,45,88,401,628,444,121,17,15,3,77,9,6,4,347,69,235,64,6,2,4,1,0,0,0,0
BG_PVN37,Червен бряг,24132,7584,194,260,765,1765,889,513,30,35,4,29,5,18,7,1337,1070,334,285,9,6,7,6,0,19,0,0
BG_RAZ11,Завет,10949,3703,74,67,77,484,93,22,5,0,1,4,0,4,2,797,2041,13,7,4,1,2,1,0,2,0,0
BG_MON07,Брусарци,3802,2211,96,28,128,844,139,26,6,9,0,2,0,0,4,162,716,29,12,1,2,0,1,0,3,0,0
BG_PDV23,Първомай,22388,6830,101,266,947,1596,1175,199,21,27,6,55,4,21,8,1235,732,99,282,8,11,4,13,3,17,0,0
BG_SZR12,Казанлък,63956,24683,403,1039,2203,6553,4146,1177,75,126,19,67,13,35,52,4613,2920,490,562,25,29,17,44,6,62,0,0
BG_VAR13,Долни чифлик,15832,5589,169,100,427,2540,573,92,22,9,3,7,4,7,6,473,957,46,84,9,3,40,3,2,8,5,0
BG_PER51,Трън,3209,1325,36,66,236,521,137,40,5,4,0,2,1,2,2,162,34,24,39,3,1,1,0,2,7,0,0
BG_VRC20,Козлодуй,16196,6212,85,316,684,1599,1149,319,24,36,3,20,7,7,6,1083,407,105,317,8,3,2,14,1,17,0,0
BG_HKV32,Тополовград,8402,3231,62,69,442,1029,365,86,11,10,3,2,1,3,1,646,201,224,60,1,2,2,1,2,8,0,0
BG_LOV33,Тетевен,17039,7043,209,188,712,2916,543,155,17,26,8,10,3,6,6,993,786,103,83,10,4,3,7,1,8,0,251
BG_PVN11,Долни Дъбник,11665,2857,76,106,463,726,337,121,6,10,2,35,3,2,6,490,291,101,54,5,3,3,7,1,9,0,0
BG_VAR05,Бяла,2580,1106,25,39,86,318,237,52,5,8,0,1,1,4,2,221,61,15,24,0,1,3,1,0,1,1,0
BG_VTR32,Сухиндол,1991,808,30,35,159,151,86,22,1,1,1,0,0,9,1,92,161,20,34,0,0,3,2,0,0,0,0
BG_SML18,Неделино,5211,1688,37,29,258,475,165,37,7,2,1,0,1,1,0,377,197,30,61,0,3,1,1,1,4,0,0
BG_DOB29,Шабла,3803,1327,20,60,186,315,297,62,4,3,1,2,0,2,4,263,14,38,42,1,5,0,2,1,5,0,0
BG_KNL31,Невестино,1626,795,19,19,187,198,118,9,1,5,0,1,2,3,4,127,25,19,51,0,1,3,1,2,0,0,0
BG_VAR06,Варна,295127,127061,1380,5830,8017,34743,22561,6342,313,487,111,570,65,406,408,33867,3905,3003,3218,203,78,224,343,28,333,563,0
