gisco_id,name,registered,turnout,invalid,blank,Движение 21,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД,ПП НОВОТО ВРЕМЕ,ОБЕДИНЕНА БЪЛГАРИЯ,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ,"РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС",ПП Нова България,ПП ГЕРБ,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,АТАКА,НДСВ,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА,Коалиция АБВ – (Алтернатива за българско възраждане),ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА АЛТЕРНАТИВА,КП ДЕСНИТЕ,ДПС – Движение за права и свободи,ПП Глас Народен,ПАРТИЯ НА ЗЕЛЕНИТЕ,НОВА СИЛА,БСП лява България,ЗЕЛЕНИТЕ,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО,РЕПУБЛИКА БГ,Инициативен Комитет Никола Николов Вапцаров,Ик Октай Хасанов Енимехмедов,Господин Тончев Тонев
BG_BGZZGR,Greece,4690,4690,215,0,44,22,27,11,47,11,310,43,2574,23,175,9,161,165,8,14,3,42,35,19,13,276,37,385,21,0,0,0
BG_BGZZDK,Denmark,1174,1174,51,0,13,5,0,2,1,2,197,13,435,3,21,1,19,44,5,10,9,101,86,12,3,29,51,54,7,0,0,0
BG_BGZZEG,Egypt,32,32,1,0,0,0,0,0,0,0,5,0,8,0,3,0,1,4,1,0,0,0,1,0,0,4,2,2,0,0,0,0
BG_BGZZIR,Iran,48,48,1,0,0,0,0,0,1,0,8,0,16,2,6,0,0,4,0,1,0,0,0,0,0,5,0,4,0,0,0,0
BG_BGZZIL,Israel,225,225,16,0,2,0,0,0,2,1,35,0,125,0,4,1,0,4,0,0,0,1,2,0,0,21,3,8,0,0,0,0
BG_BGZZIE,Ireland,524,524,12,0,2,2,4,0,0,0,103,3,271,2,15,2,12,15,1,0,0,3,15,4,0,17,6,34,1,0,0,0
BG_BGZZES,Spain,12931,12931,497,0,84,43,23,13,92,14,889,103,7653,36,422,19,384,384,26,33,21,430,149,38,21,331,123,1050,51,0,0,0
BG_BGZZIT,Italy,2667,2667,88,0,18,16,13,3,13,5,335,17,1394,15,122,6,87,96,11,14,5,8,45,9,2,119,48,167,10,0,0,0
BG_BGZZJO,Jordan,38,38,0,0,1,0,0,0,0,0,3,0,19,0,2,1,0,3,0,0,0,0,0,0,0,7,1,1,0,0,0,0
BG_BGZZKZ,Kazakhstan,29,29,0,0,2,0,0,0,1,0,3,0,7,0,0,0,1,5,0,0,0,0,0,0,1,9,0,0,0,0,0,0
BG_BGZZQA,Qatar,60,60,2,0,0,0,0,0,0,0,8,0,34,0,5,0,2,2,0,0,0,0,0,1,0,1,4,1,0,0,0,0
BG_BGZZCA,Canada,1639,1639,38,0,9,7,10,2,5,2,390,15,791,5,77,3,25,17,3,6,5,1,21,9,2,55,25,111,5,0,0,0
BG_BGZZCN,China,77,77,0,0,4,2,0,0,0,0,16,0,16,0,3,0,3,7,0,0,0,1,3,0,0,19,3,0,0,0,0,0
BG_BGZZCY,Cyprus,2697,2697,84,0,18,5,3,3,14,4,140,22,1729,12,93,5,131,75,4,3,5,34,35,9,2,71,8,185,3,0,0,0
BG_BGZZKR,South Korea,51,51,0,0,1,2,0,0,0,0,18,1,16,0,1,0,0,2,0,1,0,0,1,0,0,2,4,2,0,0,0,0
