gisco_id,name,registered,turnout,invalid,blank,ФСБСБ,ДНБ,КзБ,Гранит,КнЕ,НДСВ,КДБ,ДСБ,НКДЖБ,Евророма,КнР,БНС,НВ,Атака,ФАГО,ОППБ,ДПС,БХК,ОДС,НЗПНП,ПСД,РК,Петко Илиев Пенев,Радослав Николов Коев,Неделчо Михайлов Димов,Стефчо Иванов Събчев,Илия Замфиров Илиев - Независим,Любомир Христов Василев,Ивайло Манчев Петров,Жоро Петров Ничев,Георги Николаев Мумджиев,Веселина Минчева Бозукова,Асен Фиданов Чаушев,Илия Кирилов Велчев - Независим,Юлий Григоров Абаджиев - Независим
BG_VID2546245,Макреш,2015,1363,72,0,2,5,665,3,3,186,6,56,3,5,14,34,13,25,71,6,140,3,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID3052180,Ново село,3265,2337,71,0,1,6,1077,9,4,526,4,73,2,0,23,76,27,46,6,5,179,7,194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID3363255,Ружинци,4464,2919,133,0,1,10,1213,4,5,238,6,65,8,32,26,91,28,64,55,3,839,17,73,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID3781757,Чупрене,2180,1401,53,0,2,3,646,5,2,202,6,32,1,11,7,74,46,42,36,5,189,2,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC0505548,Борован,5416,3629,160,0,3,26,1577,4,5,848,9,71,9,153,61,295,22,125,134,8,21,7,88,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC0807702,Бяла Слатина,23885,12812,446,0,16,151,4840,21,13,2696,23,289,32,780,97,462,125,819,423,77,166,18,1296,12,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC1012259,Враца,74081,35649,774,0,105,424,12646,51,33,8470,105,1992,78,714,400,2425,1176,2713,464,108,377,119,2390,31,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC2037798,Козлодуй,17969,9679,251,0,8,38,3805,15,6,1938,23,299,24,144,67,551,159,1184,61,23,320,46,703,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC2139846,Криводол,9435,5854,236,0,9,70,3372,18,10,860,18,162,15,170,69,321,47,149,30,36,44,42,165,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC2747714,Мездра,20785,11400,309,0,18,44,4730,16,9,1582,20,349,40,163,277,1324,261,846,146,19,71,56,1088,13,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC2848043,Мизия,7617,4139,183,0,6,9,2011,7,5,975,21,122,18,36,35,145,42,269,31,13,6,3,195,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC3154020,Оряхово,12329,6562,187,0,9,72,3115,12,9,1314,15,188,27,89,94,383,91,435,61,31,104,40,275,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC3262997,Роман,6263,3918,171,0,8,125,1465,6,2,628,6,96,5,35,38,402,396,107,34,9,39,13,323,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VRC3577102,Хайредин,5365,3116,119,0,4,13,1435,8,1,368,9,117,13,137,39,207,27,161,125,7,65,3,248,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_GAB0514218,Габрово,64587,34250,606,0,91,158,9649,34,27,9946,0,2507,97,239,321,2109,1351,2563,98,156,606,185,3429,16,43,19,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_GAB1223947,Дряново,9450,5756,131,0,16,16,1936,7,8,1117,0,248,16,17,37,137,88,518,20,39,288,18,1091,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_GAB2965927,Севлиево,33861,20695,652,0,35,49,6271,34,35,3795,0,927,74,138,174,1047,476,2262,25,95,3067,147,1353,14,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0
