gisco_id,name,registered,turnout,invalid,blank,M11,SKP,PP,KaL,PS,KA,KD,SR,Vas,VIHR,SFP,Kesk.,Kok,SDP,Ilmarinen
FI_097,Hirvensalmi,2000,735,2,0,5,3,4,0,90,4,44,0,17,24,5,304,141,92,0
FI_171,Joroinen,4310,1395,8,0,1,2,3,4,191,1,92,0,81,56,10,531,171,244,0
FI_178,Juva,5621,2054,13,0,3,2,3,8,245,0,135,1,53,79,5,1049,245,213,0
FI_213,Kangasniemi,5035,1857,18,0,3,6,2,6,265,4,125,0,57,86,5,874,204,202,0
FI_491,Mikkeli,45269,16629,140,0,32,39,108,28,2077,33,1031,16,640,1231,90,5757,3376,2025,6
FI_507,Mäntyharju,5369,2052,20,0,2,9,7,6,282,2,123,1,49,61,10,575,720,185,0
FI_588,Pertunmaa,1571,549,6,0,1,1,1,1,69,1,40,0,29,17,1,239,107,36,0
FI_593,Pieksämäki,16415,4885,24,0,7,11,18,12,741,11,370,3,320,243,17,1615,699,791,3
FI_623,Puumala,2092,874,6,0,0,0,2,5,102,1,48,2,25,41,5,410,142,85,0
FI_681,Rantasalmi,3296,1161,7,0,2,5,2,5,127,1,61,0,62,45,2,550,142,149,1
FI_740,Savonlinna,30615,10416,104,0,27,31,35,24,1230,23,840,6,513,659,48,3186,1726,1962,2
FI_768,Sulkava,2431,857,4,0,1,2,0,1,88,1,57,0,34,20,1,424,102,121,1
FI_140,Iisalmi,18382,6081,20,0,14,72,20,13,852,12,564,3,688,259,23,2225,783,533,0
FI_174,Juankoski,4239,1381,9,0,1,13,4,4,231,1,97,1,135,43,3,561,121,156,1
FI_204,Kaavi,2773,739,3,0,4,4,1,1,118,2,49,0,45,21,1,353,63,74,0
FI_239,Keitele,2113,847,10,0,1,2,3,1,153,2,48,3,59,15,2,405,62,80,1
FI_263,Kiuruvesi,7432,2411,18,0,2,19,5,4,345,4,94,2,217,56,14,1315,228,87,1
FI_297,Kuopio,87832,31287,136,0,69,124,202,88,4304,36,2303,13,2684,3122,195,8025,6461,3519,6
FI_402,Lapinlahti,8327,2867,17,0,8,13,5,4,380,6,567,2,230,84,14,1178,175,183,1
FI_420,Leppävirta,8454,3031,14,0,8,12,11,7,450,3,219,1,232,107,8,1259,373,327,0
FI_476,Maaninka,3024,1036,10,0,0,6,2,6,179,3,37,1,63,38,4,527,92,68,0
FI_595,Pielavesi,4121,1609,13,0,2,8,3,4,244,1,77,1,130,22,8,926,79,91,0
FI_686,Rautalampi,2869,991,5,0,5,2,2,2,127,2,54,2,77,46,0,427,123,117,0
FI_687,Rautavaara,1582,430,2,0,0,3,2,2,84,4,27,0,64,14,0,166,25,37,0
FI_749,Siilinjärvi,16391,5743,25,0,5,25,21,20,863,6,380,7,453,372,29,2135,841,558,3
FI_762,Sonkajärvi,3778,1286,5,0,3,18,5,1,204,2,102,0,122,34,0,606,84,100,0
FI_778,Suonenjoki,6306,1910,13,0,4,7,5,6,268,8,128,0,198,79,8,762,220,204,0
FI_844,Tervo,1482,571,2,0,0,2,3,2,94,0,26,1,35,25,5,292,38,46,0
FI_857,Tuusniemi,2405,805,5,0,1,12,2,3,126,1,38,1,70,30,6,354,83,73,0
FI_915,Varkaus,18699,5393,32,0,17,13,17,21,769,6,416,6,592,249,27,1029,1085,1112,2
FI_921,Vesanto,1978,767,4,0,1,2,4,0,108,0,33,0,42,14,3,410,60,84,2
FI_925,Vieremä,3217,1081,4,0,3,22,2,2,168,1,39,1,88,14,6,632,55,43,1
FI_146,Ilomantsi,4925,1453,15,0,5,12,4,1,223,4,104,2,85,65,11,488,116,317,1
FI_167,Joensuu,61268,20622,120,0,56,81,210,57,2466,32,1288,18,1687,3156,118,4407,2956,3963,7
FI_176,Juuka,4504,1321,7,0,5,11,2,6,230,4,98,0,67,60,2,524,86,218,1
FI_260,Kitee,9390,2686,15,0,9,6,8,12,355,4,227,4,114,148,8,995,333,448,0
FI_276,Kontiolahti,10660,3500,13,0,12,7,16,2,541,4,185,2,187,452,13,983,457,626,0
FI_422,Lieksa,10818,3290,21,0,11,14,9,12,643,4,210,2,184,170,11,837,295,866,1
FI_426,Liperi,9655,3186,19,0,4,5,17,8,514,8,185,1,135,268,7,1151,359,503,2
FI_541,Nurmes,7067,2139,15,0,7,9,4,9,342,5,116,3,148,120,6,753,185,416,1
FI_309,Outokumpu,6090,1670,11,0,2,5,14,4,242,3,101,1,164,124,4,502,164,329,0
FI_607,Polvijärvi,3911,1250,7,0,4,5,0,8,190,3,74,1,38,125,6,532,84,173,0
FI_707,Rääkkylä,2109,692,7,0,0,3,5,0,99,3,48,0,29,37,2,327,45,87,0
FI_848,Tohmajärvi,4099,1229,9,0,1,2,2,4,209,0,79,1,54,57,4,469,140,198,0
FI_911,Valtimo,2041,679,4,0,1,4,1,3,90,3,26,0,63,29,1,306,28,119,1
FI_005,Alajärvi,8185,2782,16,0,6,1,8,76,384,3,243,4,48,30,5,1580,262,116,0
FI_010,Alavus,9985,3396,14,0,7,6,5,46,468,4,188,1,99,64,10,1743,468,273,0
FI_052,Evijärvi,2243,786,3,0,0,1,2,8,84,0,68,2,32,10,8,466,59,43,0
FI_074,Halsua,1110,407,1,0,1,0,2,5,69,1,43,0,3,6,0,257,9,10,0
FI_145,Ilmajoki,9507,3731,17,0,27,1,2,18,542,3,152,0,87,62,8,1734,733,344,1
FI_151,Isojoki,2084,652,3,0,5,4,0,8,85,3,34,1,11,12,4,359,94,29,0
FI_152,Isokyrö,4099,1656,4,0,6,5,6,4,238,0,93,0,29,28,8,755,318,162,0
FI_164,Jalasjärvi,6695,2326,13,0,8,3,4,12,325,3,94,3,67,44,12,1189,411,137,1
FI_217,Kannus,4747,1442,6,0,1,4,3,6,181,3,91,1,37,41,5,820,124,119,0
FI_218,Karijoki,1409,513,1,0,1,0,0,2,75,1,21,0,7,10,7,265,101,22,0
FI_231,Kaskinen,1338,585,4,0,2,2,3,2,115,0,11,0,40,25,187,36,44,114,0
FI_232,Kauhajoki,11747,3705,30,0,25,8,10,13,501,7,174,3,143,70,17,1763,690,251,0
FI_233,Kauhava,14009,5209,21,0,13,6,10,44,696,7,311,5,96,59,29,2891,717,304,0
FI_236,Kaustinen,3427,1277,6,0,2,1,4,1,366,2,61,0,17,33,17,634,79,54,0
FI_272,Kokkola,38731,13767,71,0,30,26,61,83,1725,12,1435,8,850,533,1855,4031,1655,1390,2
FI_280,Korsnäs,2055,1075,5,0,0,0,2,4,6,0,18,0,9,3,995,7,6,20,0
FI_287,Kristiinankaupunki,7089,2868,14,0,5,4,5,7,179,2,113,1,67,49,1698,320,265,138,1
FI_288,Kruunupyy,5675,2819,11,0,1,2,12,8,70,0,172,3,27,21,2200,141,99,52,0
FI_300,Kuortane,3208,1295,12,0,3,3,1,4,159,2,84,0,19,25,3,668,245,67,0
FI_301,Kurikka,11930,4131,26,0,14,5,8,17,627,2,183,1,215,72,16,1805,710,429,1
FI_399,Laihia,6304,2471,10,0,9,7,5,9,461,3,126,1,97,66,14,922,467,274,0
FI_403,Lappajärvi,2857,1173,10,0,3,1,1,11,113,2,66,2,10,25,2,756,107,64,0
FI_408,Lapua,11542,5039,21,0,6,3,9,22,524,4,289,1,109,96,11,2347,1350,247,0
FI_421,Lestijärvi,744,288,3,0,1,0,0,0,32,1,17,0,33,6,0,164,13,18,0
FI_440,Luoto,3507,2214,7,0,3,0,2,3,26,0,1059,2,7,14,916,23,45,107,0
FI_475,Maalahti,5029,2530,14,0,2,1,9,4,32,0,60,1,13,21,2126,52,43,152,0
FI_499,Mustasaari,15816,7929,52,0,10,5,30,15,358,2,281,3,159,99,5715,252,434,514,0
FI_545,Närpiö,8902,4073,29,0,5,4,7,9,44,2,105,0,44,19,3654,55,35,61,0
FI_599,Pedersören kunta,8409,5116,13,0,4,2,9,6,84,1,1345,1,30,33,3247,92,103,146,0
