gisco_id,name,registered,turnout,invalid,blank,VIHR,KTP,SKP,Vas,Kok,SDP,M11,PS,SFP,PP,KD,KA,Kesk.,SSP,STP,SR,Helminen,Korhonen,Laajola,Lönnroth,Marttunen,Nikoskinen,Salminen,YS,Alliansen,ÅS,Valjakka,Kotajärvi,Simonen,Toivanen,Niskanen
FI_319,Köyliö,2313,1569,10,0,29,0,2,82,143,334,3,382,0,0,21,0,562,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_413,Lavia,1717,1188,9,0,21,1,1,114,205,69,1,345,0,0,41,0,380,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_442,Luvia,2633,1946,8,0,102,0,2,150,440,388,2,381,0,0,51,0,421,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_484,Merikarvia,2985,1930,7,0,32,3,1,117,217,358,2,457,0,0,50,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_531,Nakkila,4649,3270,15,0,105,2,2,718,519,575,3,627,0,0,103,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_608,Pomarkku,2044,1421,6,0,12,1,5,195,189,194,1,348,0,0,74,0,395,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_609,Pori,69702,46774,242,0,2592,15,66,6519,9422,10714,84,11708,0,0,1369,0,4013,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_684,Rauma,32924,22021,131,0,740,6,20,1296,4359,8315,20,3876,0,0,1134,0,2114,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_747,Siikainen,1449,909,6,0,12,0,0,39,49,120,0,280,0,0,50,0,352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_783,Säkylä,3916,2637,12,0,89,1,3,232,538,620,1,583,0,0,27,0,529,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_886,Ulvila,10778,7670,30,0,326,3,5,906,1484,1672,9,1963,0,0,238,0,1028,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_035,Brändö,493,231,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,172,0,0,0,0,0
FI_043,Eckerö,909,397,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,341,0,0,0,0,0
FI_060,Finström,2198,883,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,737,0,0,0,0,0
FI_062,Föglö,596,262,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,225,0,0,0,0,0
FI_065,Geta,449,182,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,157,0,0,0,0,0
FI_076,Hammarland,1363,499,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,439,0,0,0,0,0
FI_170,Jomala,3451,1442,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,1144,0,0,0,0,0
FI_295,Kumlinge,412,183,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,163,0,0,0,0,0
FI_318,Kökar,292,118,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,102,0,0,0,0,0
FI_417,Lemland,1569,680,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,504,0,0,0,0,0
FI_438,Lumparland,368,187,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,150,0,0,0,0,0
FI_478,Maarianhamina,10815,4300,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,3210,0,0,0,0,0
FI_736,Saltvik,1689,688,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,592,0,0,0,0,0
FI_766,Sottunga,125,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,0,0
FI_771,Sund,986,424,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,366,0,0,0,0,0
FI_941,Vårdö,399,218,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,190,0,0,0,0,0
FI_016,Asikkala,7008,4969,40,0,183,2,12,197,1011,751,2,1321,0,16,398,0,1026,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FI_061,Forssa,14917,10120,76,0,312,22,23,1079,1579,2225,10,1776,0,48,381,0,2579,5,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FI_081,Hartola,2846,1801,18,0,29,2,6,89,410,330,5,320,0,6,112,0,467,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FI_082,Hattula,7627,5246,38,0,207,5,5,218,1376,1424,8,1055,0,41,244,0,618,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_086,Hausjärvi,6813,4571,49,0,191,10,9,335,799,979,11,953,0,26,334,0,866,3,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FI_111,Heinola,17106,10973,99,0,370,5,180,638,1927,3427,12,1938,0,30,792,0,1504,22,3,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
FI_098,Hollola,16865,12097,86,0,499,1,25,599,2753,1898,19,3232,0,39,961,0,1955,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_103,Humppila,2028,1409,7,0,33,2,4,97,126,265,1,244,0,4,46,0,577,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FI_283,Hämeenkoski,1754,1254,10,0,44,0,2,39,310,175,3,287,0,4,60,0,312,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_109,Hämeenlinna,54556,37423,281,0,1960,32,57,1866,9477,11133,67,6404,0,211,2172,0,3717,21,6,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FI_165,Janakkala,13100,8906,68,0,370,7,24,580,1507,2889,25,1738,0,46,460,0,1177,6,3,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
FI_169,Jokioinen,4426,3166,32,0,87,4,5,350,345,578,6,554,0,19,102,0,1079,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_316,Kärkölä,3905,2546,18,0,77,3,4,118,558,535,3,631,0,21,103,0,465,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
FI_398,Lahti,85194,54470,432,0,3101,25,218,4079,13803,12798,114,11512,0,333,4485,0,3367,162,18,11,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
FI_433,Loppi,6359,4466,52,0,128,1,15,317,1149,818,10,953,0,19,187,0,806,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_532,Nastola,11863,7757,60,0,225,2,17,366,1491,1836,17,2149,0,37,635,0,896,16,5,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
FI_560,Orimattila,12865,8342,72,0,292,7,22,331,2055,1306,17,2393,0,35,338,0,1452,7,9,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FI_576,Padasjoki,2913,1933,13,0,67,13,10,104,408,399,4,443,0,8,177,0,286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_694,Riihimäki,23031,15285,163,0,776,10,44,2136,3146,3689,25,2718,0,96,1399,0,1007,18,7,48,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FI_781,Sysmä,3690,2376,17,0,37,2,5,47,447,446,4,428,0,3,117,0,817,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_834,Tammela,5193,3867,33,0,132,3,14,256,626,673,9,618,0,17,151,0,1324,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_981,Ypäjä,2141,1392,16,0,45,1,3,97,215,189,3,233,0,15,48,0,522,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_020,Akaa,13432,8924,57,0,406,7,35,794,1874,2372,34,2094,0,43,370,0,778,10,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_108,Hämeenkyrö,8344,5606,39,0,159,5,28,452,939,1067,12,1337,0,20,225,0,1297,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_143,Ikaalinen,6214,4339,24,0,155,16,18,217,593,689,17,1059,0,23,258,0,1226,28,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_177,Juupajoki,1715,1165,10,0,47,1,4,70,170,247,1,261,0,6,45,0,290,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_211,Kangasala,22860,16171,80,0,1048,5,71,919,3925,3362,61,3315,0,86,1635,0,1546,48,3,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_250,Kihniö,1917,1334,4,0,15,0,30,6,86,78,0,707,0,6,192,0,206,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_418,Lempäälä,15283,11090,55,0,784,0,46,722,2712,2094,26,2299,0,74,868,0,1315,38,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
