gisco_id,name,registered,turnout,invalid,blank,Kesk.,SDP,Kok,Vas,VIHR,KD,SFP,PS,SKP,LKP,SSP,SKS,KTP,KA,STP,IPU,Basic,Hänninen,Syväoja,Varje,IKL,YA,OY,YS,BA,S,YVP,Aaltonen,Flinkman
FI_241,Keminmaa,7068,4514,0,0,2242,664,372,967,101,31,0,79,7,0,0,0,12,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_261,Kittilä,5044,3086,0,0,1356,259,343,969,43,24,0,38,8,0,0,0,6,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_273,Kolari,3642,2237,0,0,1079,247,143,659,41,4,0,26,8,0,0,0,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_498,Muonio,2137,1298,0,0,473,264,353,151,27,5,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_583,Pelkosenniemi,1149,664,0,0,290,27,47,265,8,4,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_854,Pello,4223,2721,0,0,1446,354,219,591,29,16,0,36,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_614,Posio,3823,2353,0,0,1594,135,135,333,13,31,0,76,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_683,Ranua,3719,2179,0,0,1513,186,140,212,32,15,0,59,2,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_698,Rovaniemi,48314,29427,0,0,10607,5162,5430,4915,1954,436,0,562,78,0,0,0,42,59,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_732,Salla,4691,2645,0,0,1312,173,158,892,29,16,0,32,2,0,0,0,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_742,Savukoski,1118,805,0,0,292,25,93,342,20,2,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_751,Simo,2916,1875,0,0,985,240,106,420,24,14,0,55,4,0,0,0,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_758,Sodankylä,7866,4821,0,0,2522,433,569,996,68,34,0,140,8,0,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_845,Tervola,3295,2002,0,0,948,118,78,759,9,24,0,40,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_851,Tornio / Torneå,19585,11066,0,0,5469,1757,1141,2079,230,73,0,167,23,0,0,0,40,18,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_890,Utsjoki,1329,783,0,0,421,56,114,140,19,6,0,11,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_976,Ylitornio / Övertorneå,5197,3090,0,0,1683,340,162,804,21,17,0,32,2,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
