gisco_id,name,registered,turnout,invalid,blank,SKE,Kesk.,FP,Kok,KD,SDP,LPVV,PP,SKP,Korj,PS,Vas,EjOP,STL,VIHR,SFP,Lokka
FI_837,Tampere / Tammerfors,198251,87578,219,0,151,4811,393,21892,3922,12909,268,1087,308,248,10720,8275,172,485,20221,1272,225
FI_887,Urjala,4012,1435,10,0,2,468,0,246,34,224,0,4,5,4,243,62,0,19,102,11,1
FI_908,Valkeakoski,17260,6469,25,0,12,826,13,1357,297,1545,9,12,22,25,1032,474,6,48,712,40,14
FI_922,Vesilahti,3273,1429,2,0,0,291,4,338,82,157,0,5,7,3,275,59,3,9,170,16,8
FI_936,Virrat / Virdois,5782,2225,6,0,3,711,1,301,141,414,0,3,13,3,331,111,4,28,147,8,0
FI_980,Ylöjärvi,24863,9732,25,0,15,1094,10,2278,515,1607,8,44,60,24,1893,637,13,77,1340,78,14
FI_046,Enonkoski,1213,468,2,0,2,165,1,24,42,113,0,0,2,3,67,12,0,6,28,0,1
FI_075,Hamina / Fredrikshamn,16839,5661,20,0,13,828,11,1208,299,1141,3,18,19,5,1158,195,7,49,622,50,15
FI_090,Heinävesi,2912,1058,2,0,2,333,1,187,63,211,0,2,1,5,128,44,5,7,65,1,1
FI_097,Hirvensalmi,1914,736,3,0,1,285,0,126,34,117,1,2,2,1,88,18,2,4,50,1,1
FI_142,Iitti,5737,2138,9,0,4,413,2,428,98,427,4,5,6,4,391,75,4,33,191,39,5
FI_153,Imatra,23021,7444,25,0,11,647,9,1426,380,2283,15,28,23,35,1168,294,11,74,927,59,29
FI_171,Joroinen / Jorois,4021,1364,7,0,3,410,0,146,94,310,1,1,2,7,210,47,1,7,105,9,4
FI_178,Juva,5334,1809,8,0,2,670,3,250,149,303,1,4,0,2,208,46,2,23,122,11,5
FI_213,Kangasniemi,4762,1759,11,0,3,595,1,224,154,294,0,1,2,4,244,43,0,22,158,2,1
FI_285,Kotka,43947,15323,58,0,26,799,33,3164,780,3757,16,75,133,44,2863,1197,28,104,2000,208,38
