gisco_id,name,registered,turnout,invalid,blank,ÖVP,SPÖ,FPÖ,GRÜNE,BZÖ,NEOS,REKOS,ANDERS,EUSTOP
AT_20724,Treffen am Ossiachersee,3566,1181,40,0,218,331,229,163,23,107,15,17,38
AT_20725,Velden am Wörther See,6975,2434,98,0,450,709,485,303,33,191,30,29,106
AT_20726,Weißenstein,2496,962,36,0,117,404,218,71,18,43,7,8,40
AT_20727,Wernberg,4331,1515,48,0,188,516,374,167,26,83,11,13,89
AT_20799,Briefwahlkarten - Villach Land,0,2121,51,0,321,676,353,332,43,190,28,44,83
AT_20801,Bleiburg,3074,1029,34,0,235,342,163,103,11,77,10,18,36
AT_20802,Diex,654,306,14,0,115,80,51,18,3,13,3,0,9
AT_20803,Eberndorf,4780,1564,51,0,248,657,252,150,24,83,8,21,70
AT_20804,Eisenkappel-Vellach,1921,812,26,0,111,412,81,73,7,45,4,17,36
AT_20805,Feistritz ob Bleiburg,1680,632,11,0,77,225,90,103,5,77,6,6,32
AT_20806,Gallizien,1471,510,16,0,98,180,89,55,4,32,8,2,26
AT_20807,Globasnitz,1327,465,8,0,69,177,59,73,5,46,2,4,22
AT_20808,Griffen,2831,976,29,0,330,251,179,81,16,38,4,8,40
AT_20810,Neuhaus,900,311,6,0,80,105,52,18,11,13,3,5,18
AT_20812,Ruden,1261,464,20,0,104,185,84,32,6,14,2,3,14
AT_20813,Sankt Kanzian am Klopeiner See,3403,1355,47,0,234,576,212,134,16,65,5,18,48
AT_20815,Sittersdorf,1726,636,21,0,124,234,92,62,9,63,0,5,26
AT_20817,Völkermarkt,8798,3026,132,0,618,1149,535,255,36,136,22,35,108
AT_20899,Briefwahlkarten - Völkermarkt,0,1262,21,0,318,400,133,174,12,109,10,19,66
AT_20901,Bad Sankt Leonhard im Lavanttal,3628,1075,28,0,328,327,202,76,6,44,30,11,23
AT_20905,Frantschach-Sankt Gertraud,2168,812,35,0,232,267,158,32,8,25,7,7,41
AT_20909,Lavamünd,2569,726,29,0,189,269,148,28,7,20,6,6,24
AT_20911,Preitenegg,830,305,7,0,120,74,64,14,3,12,7,0,4
