gisco_id,name,registered,turnout,invalid,blank,SPÖ,ÖVP,FPÖ,GRÜNE,NEOS,JETZT,GILT,FPS,KPÖ,WEIßE,SLP,EUAUS,M,CPÖ,NBZ,DU
AT_20306,Kirchbach,2160,1478,22,0,324,552,483,16,41,19,16,0,4,1,0,0,0,0,0,0
AT_20307,Kötschach-Mauthen,2746,1864,44,0,494,699,472,32,56,46,13,3,3,2,0,0,0,0,0,0
AT_20316,Sankt Stefan im Gailtal,1308,934,13,0,335,282,247,10,19,19,5,0,0,4,0,0,0,0,0,0
AT_20320,Gitschtal,992,695,15,0,181,199,226,15,35,12,11,0,1,0,0,0,0,0,0,0
AT_20321,Lesachtal,1112,783,20,0,128,458,128,11,17,12,5,0,2,2,0,0,0,0,0,0
AT_20399,Briefwahlkarten - Hermagor,0,1902,23,0,541,672,358,91,109,61,19,3,18,7,0,0,0,0,0,0
AT_20402,Ebenthal in Kärnten,6287,4409,64,0,1411,985,1520,69,148,139,44,5,17,7,0,0,0,0,0,0
AT_20403,Feistritz im Rosental,1998,1342,19,0,507,316,337,28,52,55,13,1,11,3,0,0,0,0,0,0
AT_20405,Ferlach,5601,3901,66,0,1336,791,1265,92,134,157,35,1,15,9,0,0,0,0,0,0
AT_20409,Grafenstein,2323,1602,28,0,344,528,544,23,68,42,14,0,6,5,0,0,0,0,0,0
AT_20412,Keutschach am See,1960,1351,15,0,400,375,345,42,79,66,18,2,6,3,0,0,0,0,0,0
AT_20414,Köttmannsdorf,2336,1758,29,0,495,505,512,44,68,74,10,2,12,7,0,0,0,0,0,0
AT_20415,Krumpendorf am Wörther See,2686,1790,19,0,386,638,374,83,164,92,15,2,15,2,0,0,0,0,0,0
AT_20416,Ludmannsdorf,1481,1056,5,0,347,271,291,35,38,47,12,0,8,2,0,0,0,0,0,0
AT_20417,Maria Rain,1969,1393,25,0,325,411,401,36,91,72,17,7,5,3,0,0,0,0,0,0
AT_20418,Maria Saal,3140,2214,32,0,583,660,620,67,108,112,15,4,10,3,0,0,0,0,0,0
AT_20419,Maria Wörth,1272,770,6,0,162,289,158,29,59,47,12,0,6,2,0,0,0,0,0,0
AT_20421,Moosburg,3627,2411,27,0,596,687,820,57,118,76,16,2,7,5,0,0,0,0,0,0
AT_20424,Pörtschach am Wörther See,2150,1374,21,0,265,521,346,31,105,61,16,1,4,3,0,0,0,0,0,0
AT_20425,Poggersdorf,2545,1986,29,0,527,580,667,34,74,44,15,4,10,2,0,0,0,0,0,0
AT_20428,Sankt Margareten im Rosental,884,612,7,0,198,191,177,7,15,10,4,0,3,0,0,0,0,0,0,0
AT_20432,Schiefling am Wörthersee,1941,1339,18,0,352,393,425,19,47,62,15,0,6,2,0,0,0,0,0,0
AT_20435,Techelsberg am Wörther See,1757,1172,26,0,343,296,399,22,32,32,12,4,6,0,0,0,0,0,0,0
AT_20441,Zell,511,337,4,0,169,75,26,11,19,29,1,1,2,0,0,0,0,0,0,0
