gisco_id,name,registered,turnout,invalid,blank,Eestimaa Ühendatud Vasakpartei,Sotsiaaldemokraatlik Erakond,Erakond Eestimaa Rohelised,Erakond Isamaa ja Res Publica Liit,Eesti Keskerakond,Eesti Konservatiivne Rahvaerakond,Eesti Reformierakond,Eesti Iseseisvuspartei,IMRE MÜRK,KRISTIINA OJULAND,KRISTA MULENOK,ROMAN UBAKIVI,TAIRA AASA,DMITRI SILBER,OLGA SÕTNIK,JEVGENI KRIŠTAFOVITŠ,LANCE GARETH EDWARD BOXALL,RENE KUULMANN,INDREK TARAND,TANEL TALVE,SVETLANA IVNITSKAJA,ANDRES INN,SILVER MEIKAR,JOERI WIERSMA
EE_0856,Valgjärve,1174,0,0,0,0,50,6,30,57,15,98,2,0,1,4,0,0,0,0,1,0,0,63,19,0,0,5,0
EE_0858,Valjala,1114,0,0,0,1,49,2,57,26,16,68,4,0,4,3,0,0,0,0,0,0,0,53,23,0,0,3,0
EE_0861,Vara,1504,0,0,0,0,61,1,74,62,18,107,4,0,1,1,0,0,0,0,0,0,0,72,41,1,0,8,0
EE_0863,Varbla,760,0,0,0,0,33,1,26,46,36,56,3,0,1,0,0,0,0,0,1,0,0,58,10,0,0,2,0
EE_0865,Varstu,929,0,0,0,0,48,0,61,24,12,51,5,0,3,1,0,0,0,0,0,1,0,32,16,0,0,2,0
EE_0868,Vasalemma,1451,0,0,0,0,74,1,25,94,11,84,10,0,2,2,0,0,1,0,0,0,0,60,10,0,0,7,0
EE_0872,Vastse-Kuuste,987,0,0,0,0,50,1,49,40,16,88,5,0,3,0,0,0,0,1,0,0,1,42,11,0,0,1,0
EE_0874,Vastseliina,1709,0,0,0,0,101,1,40,65,28,113,8,1,3,1,0,0,0,0,0,0,4,74,32,1,0,9,0
EE_0879,Veriora,1194,0,0,0,0,52,0,56,42,21,72,3,0,2,2,0,0,0,0,0,0,0,38,15,0,0,3,0
EE_0884,Vigala,1105,0,0,0,0,41,0,37,55,29,82,8,2,3,0,0,0,0,0,1,0,0,92,37,0,2,6,0
EE_0887,Vihula,1690,0,0,0,0,99,4,117,63,27,167,10,0,11,4,1,1,0,0,1,0,2,91,27,0,0,13,0
EE_0890,Viimsi,12388,0,0,0,3,754,12,1114,488,211,1966,67,4,51,47,1,3,0,5,19,0,37,724,86,4,2,113,0
EE_0897,Viljandi linn,14576,0,0,0,2,821,9,777,579,214,1335,70,5,31,26,2,1,0,3,3,0,6,763,156,1,1,89,0
EE_0898,Viljandi vald,7618,0,0,0,0,345,3,343,238,104,553,26,4,29,11,2,0,0,2,3,0,2,416,122,2,2,34,0
EE_0900,Vinni,3914,0,0,0,0,178,0,147,216,58,269,30,2,21,10,0,0,0,1,4,0,3,247,90,1,1,17,0
EE_0902,Viru-Nigula,1032,0,0,0,0,61,0,29,35,15,64,6,0,3,1,0,0,0,0,0,0,0,50,20,0,0,5,0
EE_0907,Vormsi,369,0,0,0,0,22,0,28,17,13,46,4,0,1,0,0,0,0,0,0,0,0,31,9,0,0,3,0
EE_0926,Väike-Maarja,3738,0,0,0,0,140,2,114,151,49,278,9,0,19,3,0,0,0,0,1,1,2,195,45,1,0,21,0
EE_EEZZ99,Välisriigid,1657,0,0,0,3,293,36,358,144,62,391,32,4,25,8,2,1,0,2,5,0,6,220,25,1,0,35,2
EE_0929,Vändra,2229,0,0,0,0,93,3,74,71,29,124,14,0,9,3,0,0,0,0,2,0,0,139,54,0,0,6,0
EE_0931,Vändra (alev),1938,0,0,0,0,58,0,66,65,17,198,8,0,12,1,0,0,0,0,0,0,1,123,42,0,0,13,1
EE_0934,Värska,1175,0,0,0,0,86,3,31,52,16,62,5,0,3,2,0,0,0,0,4,0,1,53,11,0,0,14,0
EE_0937,Väätsa,1106,0,0,0,0,96,2,33,33,10,89,3,0,3,5,0,0,0,0,0,1,0,46,21,0,0,3,0
EE_0912,Võhma,1118,0,0,0,0,56,2,40,55,10,105,5,0,10,1,1,0,0,0,0,0,0,50,22,1,2,6,0
EE_0915,Võnnu,846,0,0,0,0,46,0,40,32,16,56,8,0,4,3,0,0,0,0,0,0,0,52,15,0,0,8,0
EE_0919,Võru linn,10357,0,0,0,0,745,8,392,539,174,703,40,1,40,14,2,0,0,2,7,0,4,393,126,1,2,52,0
EE_0918,Võru vald,3868,0,0,0,0,283,0,123,121,99,214,20,6,21,2,0,0,0,0,1,0,0,148,47,0,0,19,0
EE_0943,Õru,334,0,0,0,0,4,1,4,31,3,20,1,0,0,1,0,0,0,0,0,0,1,11,9,0,0,1,1
EE_0949,Ülenurme,4856,0,0,0,1,256,6,286,122,71,647,25,5,22,12,0,0,0,0,3,0,4,264,67,0,1,39,0
EE_MA01,Harju maakond,0,40201,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA02,Hiiu maakond,0,2760,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA03,Ida-Viru maakond,0,19678,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA04,Järva maakond,0,8287,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA05,Jõgeva maakond,0,8334,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA07,Lääne maakond,0,6690,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA06,Lääne-Viru maakond,0,13845,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA08,Pärnu maakond,0,21037,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA09,Põlva maakond,0,7056,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA10,Rapla maakond,0,9075,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA11,Saare maakond,0,8359,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA12,Tartu maakond,0,13066,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA13,Valga maakond,0,7157,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA14,Viljandi maakond,0,12599,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA15,Võru maakond,0,8658,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
