gisco_id,name,registered,turnout,invalid,blank,Eesti Keskerakond,Indrek Tarand,Eesti Reformierakond,Erakond Isamaa ja Res Publica Liit,Sotsiaaldemokraatlik Erakond,Erakond Eestimaa Rohelised,Martin Helme,Eestimaa Rahvaliit,Dimitri Klenski,Eestimaa Ühendatud Vasakpartei,Libertas Eesti Erakond,Erakond Eesti Kristlikud Demokraadid,Vene Erakond Eestis,Põllumeeste Kogu,Juri Žuravljov,Märt Õigus,Taira Aasa
EE_0872,Vastse-Kuuste,0,0,0,0,77,101,50,33,43,16,6,1,1,0,0,2,0,1,0,1,0
EE_0874,Vastseliina,0,0,0,0,95,136,82,41,116,21,9,30,0,0,6,7,0,3,0,0,0
EE_0879,Veriora,0,0,0,0,57,101,44,17,31,17,1,44,1,0,2,4,1,1,0,1,0
EE_0884,Vigala,0,0,0,0,57,158,81,48,46,10,14,15,0,1,4,3,0,1,0,0,0
EE_0887,Vihula,0,0,0,0,81,230,99,87,57,27,18,15,0,0,3,4,0,2,0,0,0
EE_0890,Viimsi,0,0,0,0,481,1386,1057,1058,364,175,172,46,40,14,42,14,4,3,2,5,3
EE_0892,Viiratsi,0,0,0,0,138,335,168,99,104,36,13,76,2,15,3,10,2,2,0,0,0
EE_0897,Viljandi linn,0,0,0,0,734,1832,964,687,542,187,147,178,9,27,77,18,7,2,4,2,3
EE_MA14,Viljandimaa,43096,16327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0900,Vinni,0,0,0,0,315,471,228,137,126,38,29,120,1,5,1,14,3,1,0,2,2
EE_0902,Viru-Nigula,0,0,0,0,59,108,50,22,47,7,9,9,0,0,2,2,0,3,0,2,1
EE_0907,Vormsi,0,0,0,0,19,30,10,10,7,2,6,0,0,0,0,0,0,0,0,0,0
EE_0926,Väike-Maarja,0,0,0,0,294,374,197,117,113,35,27,87,1,0,4,3,1,2,0,1,0
EE_EEZZ99,Välisriigid,0,0,0,0,79,83,121,481,81,47,17,19,5,5,17,21,11,8,3,2,0
EE_0930,Vändra,0,0,0,0,73,209,87,46,60,13,19,30,1,0,1,3,0,1,0,0,0
EE_0931,Vändra (alev),0,0,0,0,91,299,146,73,61,18,20,16,1,0,3,0,0,1,0,0,0
EE_0934,Värska,0,0,0,0,99,73,44,24,94,7,11,34,0,3,3,2,0,2,0,0,0
EE_0937,Väätsa,0,0,0,0,59,105,62,31,55,12,6,13,0,0,3,1,0,0,1,0,1
EE_0912,Võhma,0,0,0,0,85,133,67,38,30,8,12,81,0,5,5,3,1,0,0,0,0
EE_0915,Võnnu,0,0,0,0,35,100,47,17,41,10,12,9,0,0,2,1,0,0,0,1,0
EE_0919,Võru linn,0,0,0,0,675,850,495,346,810,74,69,111,4,11,24,45,2,6,0,0,2
EE_0918,Võru vald,0,0,0,0,143,309,151,108,349,32,25,69,0,0,5,7,0,2,1,2,0
EE_MA15,Võrumaa,30366,10629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0943,Õru,0,0,0,0,48,33,12,3,8,1,1,1,0,0,1,0,2,0,1,0,0
EE_0949,Ülenurme,0,0,0,0,140,508,391,202,185,42,36,63,2,2,3,8,1,4,1,2,2
