gisco_id,name,registered,turnout,invalid,blank,PiS,PJN,SLD,Ruch PL,PSL,PPP,PO,Samoobrona,NP (2011),PR (2007),MN
PL_430612403,Kaźmierz,6048,2764,181,0,394,35,237,328,341,20,1228,0,0,0,0
PL_430612404,Obrzycko,3413,1242,94,0,192,34,158,155,139,5,465,0,0,0,0
PL_430612405,Ostroróg,3855,1574,130,0,224,27,200,182,197,5,609,0,0,0,0
PL_430612406,Pniewy,9707,4562,384,0,861,64,336,411,413,21,2072,0,0,0,0
PL_430612407,Szamotuły,23200,11362,639,0,1779,213,1101,1303,1107,70,5150,0,0,0,0
PL_430612408,Wronki,16350,7967,591,0,1000,109,1303,799,493,47,3625,0,0,0,0
PL_430612501,Dominowo,2274,934,90,0,168,15,84,104,225,5,212,0,17,14,0
PL_430612502,Krzykosy,5209,2087,176,0,458,32,175,190,503,10,513,0,22,8,0
PL_430612503,Nowe Miasto nad Wartą,7121,2771,224,0,588,47,221,324,396,12,887,0,52,20,0
PL_430612504,Środa Wielkopolska,24739,12406,879,0,2424,242,1307,1654,810,61,4281,0,509,239,0
PL_430612505,Zaniemyśl,5140,2472,191,0,350,48,192,304,346,13,938,0,61,29,0
PL_430612601,Brodnica,3840,1510,107,0,214,21,177,173,180,14,561,0,56,7,0
PL_430612602,Dolsk,4579,1720,151,0,373,33,177,174,346,9,431,0,21,5,0
PL_430612603,Książ Wielkopolski,6613,2515,250,0,589,32,251,264,478,16,606,0,25,4,0
PL_430612604,Śrem,32190,16075,1022,0,3309,278,1489,1894,1486,76,6196,0,286,39,0
PL_430582701,Turek,23808,12043,590,0,3353,211,2170,1178,640,56,3646,0,187,12,0
PL_430582702,Brudzew,4787,1864,138,0,745,27,164,120,322,9,320,0,16,3,0
PL_430582704,Kawęczyn,4212,1640,105,0,669,19,138,122,333,9,224,0,16,5,0
PL_430582705,Malanów,5008,1743,138,0,478,18,177,154,325,12,416,0,21,4,0
PL_430582706,Przykona,3395,1394,91,0,524,19,150,116,262,9,200,0,20,3,0
PL_430582707,Tuliszków,8307,3310,274,0,1088,38,238,309,606,25,670,0,57,5,0
PL_430582708,Turek,6490,2577,151,0,851,43,241,227,427,17,577,0,40,3,0
PL_430582709,Władysławów,6312,2877,256,0,1330,48,291,167,274,13,440,0,54,4,0
PL_430602801,Wągrowiec,19969,9805,437,0,1716,261,990,1153,548,78,4622,0,0,0,0
PL_430602802,Damasławek,4419,1944,194,0,313,21,124,178,737,4,373,0,0,0,0
PL_430602803,Gołańcz,6592,2563,225,0,357,38,235,257,675,31,745,0,0,0,0
PL_430602804,Mieścisko,4686,1725,144,0,348,32,167,174,230,56,574,0,0,0,0
PL_430602805,Skoki,6990,2839,191,0,497,54,255,300,250,18,1274,0,0,0,0
PL_430602806,Wapno,2464,859,63,0,130,10,101,89,190,6,270,0,0,0,0
PL_430602807,Wągrowiec,8889,3395,252,0,511,48,310,370,920,60,924,0,0,0,0
PL_430592901,Przemęt,10804,4226,340,0,779,57,308,384,1185,25,1148,0,0,0,0
PL_430592902,Siedlec,9467,4297,404,0,541,63,1112,337,887,16,937,0,0,0,0
PL_430592903,Wolsztyn,23491,11759,837,0,1953,218,1217,1204,1055,62,5213,0,0,0,0
PL_430583001,Kołaczkowo,4754,1996,145,0,480,25,360,167,358,9,426,0,17,9,0
PL_430583002,Miłosław,8324,3542,235,0,737,57,412,389,449,11,1193,0,45,14,0
PL_430583003,Nekla,5552,2514,160,0,560,40,244,272,292,10,854,0,75,7,0
PL_430583004,Pyzdry,5763,2285,207,0,568,46,217,216,391,16,591,0,29,4,0
PL_430583005,Września,35617,17413,819,0,3863,292,1929,1961,1000,64,7049,0,370,66,0
PL_430603101,Złotów,15132,7648,429,0,1555,91,1495,553,200,33,3292,0,0,0,0
PL_430603102,Jastrowie,9197,3447,312,0,643,43,293,348,535,17,1256,0,0,0,0
PL_430603103,Krajenka,5809,2581,206,0,494,60,303,274,261,21,962,0,0,0,0
PL_430603104,Lipka,4389,1729,136,0,358,23,189,160,314,9,540,0,0,0,0
PL_430603105,Okonek,7133,2482,217,0,457,38,353,294,198,18,907,0,0,0,0
PL_430603106,Tarnówka,2487,942,105,0,199,8,141,115,89,5,280,0,0,0,0
PL_430603107,Zakrzewo,3841,1727,116,0,437,25,163,136,231,5,614,0,0,0,0
PL_430603108,Złotów,7194,2626,220,0,478,22,360,199,378,11,958,0,0,0,0
PL_430576101,Kalisz,84285,45695,1607,0,10741,1041,5601,5645,1507,245,18521,0,787,0,0
PL_430586201,Konin,63744,34194,1498,0,8617,707,4647,4151,1248,153,12338,0,751,84,0
PL_430596301,Leszno,50865,26939,1025,0,4682,417,3716,2646,635,86,13225,0,507,0,0
PL_430626401,Poznań,432413,269718,7309,0,51827,5184,22200,30885,5191,1263,145859,0,0,0,0
PL_432630101,Białogard,19475,8979,619,0,2500,87,916,864,310,60,3623,0,0,0,0
PL_432630102,Białogard,6206,1812,184,0,389,18,150,185,231,14,641,0,0,0,0
PL_432630103,Karlino,7162,2554,237,0,490,24,134,181,70,54,1364,0,0,0,0
PL_432630104,Tychowo,6007,2288,223,0,452,27,184,254,108,21,1019,0,0,0,0
PL_432640201,Bierzwnik,3999,1256,116,0,211,28,151,123,146,6,475,0,0,0,0
PL_432640202,Choszczno,18237,7265,444,0,1343,175,867,918,610,47,2861,0,0,0,0
PL_432640203,Drawno,4387,1630,133,0,308,32,151,149,392,5,460,0,0,0,0
PL_432640204,Krzęcin,3131,843,57,0,115,14,89,99,169,4,296,0,0,0,0
PL_432640205,Pełczyce,6395,2286,184,0,325,34,146,223,920,11,443,0,0,0,0
