gisco_id,name,registered,turnout,invalid,blank,KE,Razem,POLEXIT,JN,PiS,RPE,Wiosna,Konf,K’15,PO
PL_1004281561402,Biskupiec,14881,5305,71,0,2798,42,0,0,1886,0,212,190,106,0
PL_1004281561403,Dobre Miasto,12511,4538,22,0,1771,65,0,0,1917,0,295,292,176,0
PL_1004281561404,Dywity,9254,4216,31,0,2090,53,0,0,1240,0,434,190,177,0
PL_1004281561405,Gietrzwałd,5209,2263,17,0,1111,52,0,0,657,0,215,143,68,0
PL_1004281561406,Jeziorany,6234,1773,17,0,702,25,0,0,803,0,100,80,46,0
PL_1004281561407,Jonkowo,5795,2321,24,0,1068,33,0,0,670,0,230,121,175,0
PL_1004281561408,Kolno,2600,764,9,0,297,7,0,0,369,0,28,17,37,0
PL_1004281561409,Olsztynek,10882,3663,31,0,1465,68,0,0,1477,0,273,231,118,0
PL_1004281561410,Purda,6886,2507,20,0,1166,33,0,0,848,0,240,99,101,0
PL_1004281561411,Stawiguda,7839,3811,32,0,2049,65,0,0,915,0,404,182,164,0
PL_1004281561412,Świątki,3183,869,12,0,310,6,0,0,403,0,59,44,35,0
PL_1004281541501,Ostróda,25818,10931,76,0,5151,200,0,0,3597,0,1014,461,432,0
PL_1004281541502,Dąbrówno,3340,927,13,0,258,22,0,0,520,0,45,30,39,0
PL_1004281541503,Grunwald,4329,1048,18,0,357,25,0,0,515,0,59,31,43,0
PL_1004281541504,Łukta,3612,1048,17,0,476,18,0,0,373,0,80,43,41,0
PL_1004281541505,Małdyty,4959,1335,6,0,546,22,0,0,570,0,83,54,54,0
PL_1004281541506,Miłakowo,4330,1224,15,0,458,27,0,0,587,0,49,54,34,0
PL_1004281541507,Miłomłyn,4017,1234,24,0,431,36,0,0,458,0,114,50,121,0
PL_1004281541508,Morąg,19099,6691,67,0,2992,98,0,0,2604,0,428,283,219,0
PL_1004281541509,Ostróda,12451,3990,57,0,1505,69,0,0,1625,0,305,237,192,0
PL_1004281551601,Biała Piska,9204,2635,27,0,764,48,0,0,1520,0,83,120,73,0
PL_1004281551602,Orzysz,7242,2372,21,0,889,34,0,0,1102,0,130,117,79,0
PL_1004281551603,Pisz,21698,7544,84,0,2361,103,0,0,4003,0,338,375,280,0
PL_1004281551604,Ruciane-Nida,6724,2710,25,0,913,35,0,0,1353,0,152,151,81,0
PL_1004281561701,Szczytno,18757,7995,61,0,3539,111,0,0,3220,0,487,335,241,0
PL_1004281561702,Dźwierzuty,5389,1448,21,0,507,27,0,0,721,0,86,46,40,0
PL_1004281561703,Jedwabno,3126,1012,10,0,389,14,0,0,482,0,54,38,25,0
PL_1004281561704,Pasym,4363,1413,12,0,467,20,0,0,683,0,103,70,58,0
PL_1004281561705,Rozogi,4492,1427,28,0,313,11,0,0,931,0,36,73,35,0
PL_1004281561706,Szczytno,9905,3394,40,0,1310,42,0,0,1544,0,185,137,136,0
PL_1004281561707,Świętajno,4891,1702,11,0,591,21,0,0,893,0,80,61,45,0
PL_1004281561708,Wielbark,5128,1466,18,0,449,19,0,0,819,0,60,55,46,0
PL_1004281551801,Banie Mazurskie,3097,866,12,0,340,22,0,0,375,0,70,29,18,0
PL_1004281551802,Dubeninki,2358,693,11,0,168,15,0,0,409,0,33,31,26,0
PL_1004281551803,Gołdap,15811,5303,38,0,2415,63,0,0,2065,0,345,222,155,0
PL_1004281551901,Budry,2361,692,8,0,218,13,0,0,382,0,27,17,27,0
PL_1004281551902,Pozezdrze,2696,868,12,0,335,19,0,0,407,0,44,24,27,0
PL_1004281551903,Węgorzewo,13354,4706,48,0,2232,64,0,0,1652,0,318,192,200,0
PL_1004281546101,Elbląg,91714,39851,278,0,18269,645,0,0,14451,0,3281,1592,1333,0
PL_1004281566201,Olsztyn,129907,64868,373,0,31379,1156,0,0,19825,0,6669,3182,2279,0
PL_1002301600101,Chodzież,14984,7022,70,0,3631,139,0,0,1961,0,662,275,284,0
PL_1002301600102,Budzyń,6573,2428,44,0,983,49,0,0,920,0,195,109,128,0
PL_1002301600103,Chodzież,4608,1909,30,0,842,50,0,0,638,0,179,67,103,0
