gisco_id,name,registered,turnout,invalid,blank,PiS,PO,Razem,NN,PSL,ZL,K’15,.N,JOW,SPP,RS RP,ZdŚ,Samoobrona,SB!,KNP,MN,OdP
PL_212231809,Wadowice,30577,16440,412,0,7406,3562,504,689,566,829,1377,1095,0,0,0,0,0,0,0,0,0
PL_212231810,Wieprz,9374,5095,171,0,2784,752,124,127,264,115,549,209,0,0,0,0,0,0,0,0,0
PL_212201901,Biskupice,7495,3965,130,0,2083,502,108,208,231,75,415,189,0,0,0,0,0,17,7,0,0
PL_212201902,Gdów,13643,7006,233,0,3460,937,171,369,482,191,810,328,0,0,0,0,0,15,10,0,0
PL_212201903,Kłaj,8398,4482,127,0,1882,915,162,254,214,145,484,279,0,0,0,0,0,11,9,0,0
PL_212201904,Niepołomice,20353,11416,246,0,4932,2269,388,667,614,397,1031,803,0,0,0,0,0,45,24,0,0
PL_212201905,Wieliczka,43225,24332,498,0,10293,5417,661,1456,919,825,2120,1993,0,0,0,0,0,100,50,0,0
PL_212216101,Kraków,594326,369789,4561,0,128275,100760,15669,24802,5195,24458,23220,41137,0,0,0,0,0,900,812,0,0
PL_212226201,Nowy Sącz,65857,38901,698,0,19176,7921,931,2487,764,1522,2898,2239,0,161,0,0,0,0,104,0,0
PL_212246301,Tarnów,90581,49488,765,0,20503,11308,1392,2318,1961,3421,4578,3024,0,0,0,0,0,125,93,0,0
PL_114270101,Białobrzegi,8414,4322,151,0,2036,735,97,147,392,196,260,279,0,20,0,0,0,0,9,0,0
PL_114270102,Promna,4529,2054,82,0,978,151,30,69,511,44,136,45,0,7,0,0,0,0,1,0,0
PL_114270103,Radzanów,3010,1468,49,0,758,72,15,30,407,23,86,7,0,18,0,0,0,0,3,0,0
PL_114270104,Stara Błotnica,4113,1859,75,0,1073,107,37,53,285,50,126,37,0,16,0,0,0,0,0,0,0
PL_114270105,Stromiec,4481,1832,108,0,1078,142,40,65,145,57,139,39,0,11,0,0,0,0,8,0,0
PL_114270106,Wyśmierzyce,2385,1125,33,0,707,63,18,26,162,27,49,25,0,14,0,0,0,0,1,0,0
PL_114250201,Ciechanów,36182,17858,395,0,6809,3538,533,757,1100,1922,1852,952,0,0,0,0,0,0,0,0,0
