gisco_id,name,registered,turnout,invalid,blank,ΠΑ.ΣΟ.Κ.,Ν.Δ. (1974),ΛΑ.Ο.Σ.,Κ.Κ.Ε.,ΣΥ.ΡΙΖ.Α.,Ο.Π.,Κ.Ε.Κ.Α.,ΠΑ.Μ.ΜΕ.,Ο.Ε.,Ε.Ο. (1986),ΦΙ.ΣΥ.,Χ.Α.,Μ.-Λ. Κ.Κ.Ε.,ΑΝΤ.ΑΡ.ΣΥ.Α.,Ε.Κ.,Α.Σ.Κ.Ε.,Ε.Κ.Α.Δ.,Κ.Φ.,Ε.Ε.Κ.,ΕΛ.ΕΝ.,Ο.Τ.,Κ.Π.Σ.Κ.,Ο.Α.Κ.Κ.Ε.,Λ.Ε.Υ.Κ.Ο.,ΠΑ.ΝΑ.Κ,Κ.Ν.
EL_220309,Τσαρίτσανης,2305,1462,13,5,352,375,62,506,73,19,7,12,5,5,4,9,5,1,1,0,2,0,3,1,0,0,2,0,0,0
EL_220202,Ευρυμενών (Θεσσαλιας),3202,1639,18,21,636,486,83,230,63,22,15,9,6,10,3,5,6,4,2,3,4,1,7,2,0,1,1,0,0,1
EL_220703,Ναρθακίου,2140,1265,14,12,328,677,102,35,18,27,7,10,7,2,2,4,0,6,4,1,3,1,1,2,0,1,1,0,0,0
EL_530202,Αγίας Παρασκευής (Βορειου Αιγαιου),3560,1562,21,17,479,503,84,273,57,35,13,3,11,12,8,6,11,3,7,1,5,2,5,0,1,0,5,0,0,0
EL_530104,Ευεργέτουλα,4020,2273,56,32,822,657,101,336,76,60,41,12,19,18,6,5,5,8,2,2,5,1,5,0,1,1,1,0,0,1
EL_550101,Μύρινας,9495,3782,67,73,1173,1060,238,523,221,152,56,17,42,32,19,25,13,17,6,5,5,5,5,4,4,18,2,0,0,0
EL_530102,Αγιάσου,4067,1778,32,25,513,377,77,471,159,23,34,11,10,8,7,1,9,9,6,0,1,0,3,0,0,0,2,0,0,0
EL_530201,Καλλονής,15321,5236,68,52,1952,1465,278,799,209,114,90,17,24,44,18,9,30,17,7,2,9,6,13,1,5,4,3,0,0,0
EL_530101,Μυτιλήνης,38269,15735,339,221,5087,4423,937,2011,829,703,284,105,150,142,111,76,66,53,41,10,23,22,36,7,10,37,6,0,0,6
EL_550200,Αγίου Ευστρατίου,850,211,2,4,50,73,9,48,9,4,0,0,2,0,0,3,3,0,2,0,2,0,0,0,0,0,0,0,0,0
EL_530105,Λουτροπόλεως Θερμής,3806,2086,53,14,699,686,89,332,65,48,25,4,7,15,5,10,9,2,4,1,4,2,2,0,1,6,3,0,0,0
EL_550104,Νέας Κούταλης,5225,1815,66,34,722,516,97,113,52,66,38,12,20,21,5,21,5,4,5,2,2,1,5,0,1,5,2,0,0,0
EL_550102,Ατσικής,5508,1846,37,29,763,593,72,132,56,43,22,10,14,18,7,9,5,3,9,1,6,1,3,1,1,10,0,0,1,0
EL_530204,Μανταμάδου,3831,2017,27,25,570,371,72,674,132,40,19,11,10,8,10,6,7,13,4,3,4,2,4,0,0,1,2,0,0,2
EL_530206,Πέτρας (Βορειου Αιγαιου),5168,2296,34,19,899,601,153,280,127,55,13,13,16,16,5,8,9,15,5,4,7,3,7,2,1,2,1,0,0,1
EL_530103,Γέρας,8288,4303,76,52,1589,1184,191,677,156,109,97,10,24,23,22,9,23,9,8,6,5,3,11,1,3,7,3,0,0,5
EL_530205,Μήθυμνας,3108,1421,14,15,502,355,64,161,160,71,11,5,11,8,5,3,9,1,2,1,4,4,7,0,3,2,3,0,0,0
EL_530106,Πλωμαρίου,9786,3507,43,44,1396,974,152,445,122,95,71,14,30,21,10,3,23,11,11,2,11,2,11,6,1,6,1,0,0,2
EL_530203,Ερεσού - Αντίσσης,8067,3187,56,42,1141,851,102,637,123,84,16,11,23,19,10,3,13,24,2,5,7,3,8,2,0,2,2,0,0,1
EL_550103,Μούδρου,6331,2548,54,42,1177,589,129,203,97,53,54,9,20,18,15,14,11,16,6,5,12,3,2,4,2,8,3,0,0,2
EL_530207,Πολιχνίτου,7284,3077,51,41,1169,823,153,429,144,92,36,8,28,28,10,4,12,4,9,1,9,7,11,1,2,1,4,0,0,0
EL_430202,Ανατολικής Μάνης,2536,922,9,5,181,456,83,77,24,12,6,11,2,3,3,35,1,0,0,1,3,1,3,1,1,0,2,0,0,2
