gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,SPI,JL,SJVP,ÖVR
SE_2034,Orsa,5417,4350,0,97,894,664,178,234,1481,295,217,138,28,33,12,42,30,7
SE_2039,Älvdalen,5947,4562,2,141,778,640,179,233,1874,206,118,147,20,29,18,63,79,35
SE_2061,Smedjebacken,8554,6982,2,141,1104,502,219,236,3672,523,195,148,30,45,24,72,51,18
SE_2062,Mora,15871,12335,2,280,2808,1640,592,579,4374,627,573,222,73,121,160,101,167,16
SE_2080,Falun,42717,35126,11,673,8775,3615,2157,2037,11633,2027,2106,845,262,215,440,205,29,96
SE_2081,Borlänge,35866,28947,12,602,5318,2065,1608,1255,12894,2025,1240,1012,155,271,148,176,87,79
SE_2082,Säter,8524,6919,0,180,1347,1047,330,379,2517,454,256,167,60,35,35,58,30,24
SE_2083,Hedemora,11945,9352,3,172,1794,1115,374,482,3744,683,427,284,52,50,32,67,46,27
SE_2084,Avesta,17454,14062,6,322,2646,1154,672,607,6335,914,469,553,61,98,29,66,110,20
SE_2085,Ludvika,20317,16086,7,423,2602,949,683,631,7695,1566,501,461,74,137,47,151,124,35
SE_2101,Ockelbo,4838,3785,1,98,549,621,113,148,1642,339,119,74,4,15,9,25,20,8
SE_2104,Hofors,7799,6132,2,125,821,352,325,171,3065,685,190,239,26,31,6,57,36,1
SE_2121,Ovanåker,9432,7538,1,160,968,1690,327,839,2728,304,198,145,5,38,11,27,84,13
SE_2132,Nordanstig,7743,5976,4,148,829,1133,289,302,2230,415,201,213,36,29,8,67,22,50
SE_2161,Ljusdal,15222,11459,5,278,2147,1623,491,553,4340,938,434,351,53,49,15,92,72,18
SE_2180,Gävle,71543,57821,26,1029,12600,3524,4036,2773,23058,4230,3055,1888,362,425,61,402,232,120
SE_2181,Sandviken,28700,23190,4,364,4000,1781,1144,1023,10835,2021,759,547,83,162,20,222,163,62
SE_2182,Söderhamn,20891,16553,6,329,2455,1774,661,800,7386,1456,554,584,69,91,148,85,130,25
SE_2183,Bollnäs,20839,16038,6,331,2671,2664,752,893,6046,1051,589,476,65,91,11,86,267,39
SE_2184,Hudiksvall,28968,22680,20,507,3883,3513,809,1098,8629,1875,1176,500,177,126,16,208,53,90
SE_2260,Ånge,8381,6579,8,116,901,784,220,324,3135,551,170,211,14,42,9,55,32,7
SE_2262,Timrå,13584,10992,5,176,1365,937,497,475,5772,835,303,379,30,60,10,73,55,20
SE_2280,Härnösand,19682,16110,7,198,3033,1824,800,777,6267,1115,913,343,66,132,15,32,541,47
SE_2281,Sundsvall,73576,60180,30,978,12436,4871,4300,3002,24921,3927,2639,1667,290,395,61,377,192,94
SE_2282,Kramfors,15973,12903,1,185,1629,1832,379,527,6380,1179,383,172,35,59,11,32,87,12
