gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,OVR
SE_0184,Solna,55144,32711,268,0,5227,1567,4294,1581,5283,2127,6480,2010,2427,1114,333
SE_0180,Stockholm,680617,414572,2826,0,66893,16935,50561,16795,62274,29659,89616,21803,43404,10209,3597
SE_0183,Sundbyberg,31084,16652,118,0,2361,714,1699,619,3539,1344,3290,1209,1070,539,150
SE_0181,Södertälje,61656,25577,273,0,2997,1146,2080,1460,7198,1591,4350,2559,1176,505,242
SE_0138,Tyresö,32076,18189,187,0,3355,769,2232,942,3631,891,3390,1365,832,408,187
SE_0160,Täby,49070,30541,245,0,8337,1799,6324,2040,2862,658,4571,1750,992,716,247
SE_0114,Upplands-Väsby,29773,14316,124,0,2134,644,1557,846,3335,803,2390,1277,658,411,137
SE_0139,Upplands-Bro,17626,8796,110,0,1291,389,968,600,2022,533,1374,911,303,210,85
SE_0115,Vallentuna,22697,12468,103,0,2286,972,1730,616,1852,450,2358,1091,518,333,159
SE_0187,Vaxholm,8199,4705,39,0,1008,343,843,214,517,166,1010,249,206,68,42
SE_0120,Värmdö,28563,15413,163,0,3022,760,1860,695,2482,674,3162,1286,856,312,141
SE_0117,Österåker,29510,15293,126,0,2970,891,2237,945,2550,615,2690,1105,638,353,173
SE_0484,Eskilstuna,73933,32538,462,0,3863,1623,2962,1677,9555,2038,4368,3996,1180,624,190
SE_0482,Flen,12012,5580,63,0,620,514,478,266,1640,413,591,729,166,66,34
SE_0461,Gnesta,7979,4108,44,0,473,379,296,168,996,277,793,379,206,73,24
SE_0483,Katrineholm,25082,11124,149,0,1155,781,851,538,3586,631,1556,1228,393,211,45
SE_0480,Nyköping,41275,21135,265,0,2764,1437,2023,1148,5892,1175,3262,1868,811,368,122
SE_0481,Oxelösund,9021,4386,46,0,411,150,338,176,1664,437,506,422,133,86,17
SE_0486,Strängnäs,25389,12762,202,0,2252,774,1427,762,2613,672,1909,1306,487,270,88
SE_0488,Trosa,8988,4885,46,0,936,290,528,285,1070,208,780,441,186,81,34
SE_0428,Vingåker,6723,3024,52,0,316,223,191,161,988,165,327,438,108,39,16
SE_0381,Enköping,31421,14299,179,0,2467,1567,1310,679,3286,601,1806,1424,501,385,94
SE_0331,Heby,10572,4436,60,0,321,665,283,344,1212,267,402,595,159,96,32
SE_0330,Knivsta,10987,6042,55,0,896,499,852,483,912,238,1175,509,247,137,39
SE_0360,Tierp,15790,6963,77,0,515,746,469,272,2475,445,790,775,235,120,44
SE_0380,Uppsala,157740,94494,813,0,10311,5354,12225,5675,16927,6334,19927,5400,7864,3060,604
SE_0319,Älvkarleby,7059,3159,38,0,229,99,188,103,1311,225,324,458,90,67,27
SE_0382,Östhammar,17047,6898,72,0,738,785,642,323,2105,375,734,687,239,134,64
SE_1784,Arvika,20230,9019,126,0,807,741,712,509,3043,645,1086,831,347,123,49
SE_1730,Eda,5572,1974,38,0,167,243,123,114,716,122,125,251,47,10,18
SE_1782,Filipstad,8135,3164,44,0,234,139,160,115,1260,296,215,527,88,56,30
SE_1763,Forshaga,8779,4130,39,0,320,333,262,221,1664,235,433,401,144,51,27
SE_1764,Grums,7136,3082,42,0,251,254,182,143,1280,194,219,375,71,47,24
SE_1783,Hagfors,9644,3894,56,0,247,223,207,132,1767,374,243,488,95,46,16
SE_1761,Hammarö,11493,6453,60,0,886,384,592,431,2116,303,946,391,204,111,29
SE_1780,Karlstad,70640,38257,359,0,5031,2368,3597,2234,10357,2482,6270,2662,1866,845,186
SE_1715,Kil,9217,4507,58,0,471,464,385,253,1349,305,492,523,124,55,28
SE_1781,Kristinehamn,19024,8838,88,0,995,641,928,516,2798,633,989,723,315,144,68
SE_1762,Munkfors,2949,1298,16,0,67,87,75,31,660,86,75,129,55,11,6
SE_1760,Storfors,3121,1402,13,0,95,118,64,71,591,111,94,189,33,13,10
