gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,JL,SD,PP,FI,ÖVR
SE_1284,Höganäs,18942,9182,200,0,2758,373,1715,476,1585,203,708,166,373,531,89,5
SE_1266,Hörby,11316,4120,141,0,679,487,386,216,894,127,286,138,448,250,64,4
SE_1267,Höör,11395,4565,118,0,973,303,501,197,887,173,499,123,349,334,102,6
SE_1282,Landskrona,29937,12429,267,0,2164,304,2098,211,3797,475,737,215,1078,913,156,14
SE_1214,Svalöv,9807,3895,103,0,675,515,361,108,971,108,296,78,345,279,53,3
SE_0180,Stockholm,625813,337223,3732,0,78128,9420,58274,10228,50188,19791,56001,7082,5337,23129,15102,811
SE_0127,Botkyrka,52779,22968,302,0,3485,481,3589,849,7138,1365,2181,561,695,1759,475,88
SE_0162,Danderyd,22749,14660,116,0,6890,511,3309,842,626,110,929,316,147,664,194,6
SE_0125,Ekerö,17694,9498,112,0,2715,375,2040,427,1049,265,1262,298,160,583,205,7
SE_0136,Haninge,53231,22824,347,0,4301,517,3353,829,5888,1145,2442,723,605,2094,421,159
SE_0126,Huddinge,64332,29882,419,0,6643,746,4767,1127,6305,1467,3472,809,771,2410,868,78
SE_0123,Järfälla,47187,23773,269,0,5089,558,4219,1060,4892,1260,2732,679,617,1895,466,37
SE_0186,Lidingö,32372,19714,145,0,7939,677,4754,920,1302,340,1754,394,292,817,368,12
SE_0182,Nacka,61677,34321,420,0,10468,967,6834,1216,4367,1124,4601,767,508,2095,917,37
SE_0188,Norrtälje,43511,17151,327,0,3632,1148,2485,680,3710,807,1811,667,408,1147,298,31
SE_0140,Nykvarn,6429,2664,57,0,573,130,410,100,619,107,260,100,108,137,37,26
SE_0192,Nynäshamn,19271,8216,173,0,1506,272,1156,291,2042,509,948,258,207,684,153,17
SE_0128,Salem,10581,5472,82,0,1188,210,1070,228,952,195,663,164,127,447,130,16
SE_0191,Sigtuna,27773,11802,155,0,2743,388,1992,530,2647,443,1117,339,287,906,224,31
SE_0163,Sollentuna,44509,24866,315,0,6926,809,5315,1291,3377,803,2604,626,349,1935,487,29
SE_0184,Solna,51434,26847,335,0,6475,722,4865,951,4195,1295,3714,699,441,2169,911,75
SE_0183,Sundbyberg,27550,12659,182,0,2504,345,1888,353,2573,820,1865,353,265,1108,362,41
SE_0181,Södertälje,58368,24686,342,0,4016,832,3996,966,6610,1185,2952,624,795,1628,537,203
SE_0138,Tyresö,30075,15286,219,0,3823,412,2782,559,2839,592,1907,410,279,1062,374,28
SE_0160,Täby,46285,27112,263,0,10112,858,6605,1257,2237,460,2117,743,321,1662,463,14
SE_0114,Upplands-Väsby,27719,12155,175,0,2503,304,2012,563,2617,548,1352,356,300,1127,269,29
SE_0139,Upplands-Bro,16221,7384,109,0,1559,195,1109,443,1555,355,793,249,205,655,144,13
SE_0115,Vallentuna,20644,10546,147,0,2803,481,1934,465,1499,331,1238,375,191,835,238,9
SE_0187,Vaxholm,7858,4180,58,0,1320,157,874,170,444,133,536,111,52,234,85,6
SE_0120,Värmdö,26330,12070,127,0,3302,341,2123,393,1823,489,1723,428,219,708,373,21
SE_0117,Österåker,28046,13467,197,0,3840,375,2730,497,2009,454,1517,469,205,884,269,21
SE_0484,Eskilstuna,71028,29582,686,0,4787,1179,3588,1136,9134,1505,3194,833,966,2074,384,116
SE_0482,Flen,12230,5420,94,0,824,420,556,192,1780,310,512,214,173,267,73,5
SE_0461,Gnesta,7735,3332,83,0,531,290,343,110,836,184,492,134,86,183,60,0
SE_0483,Katrineholm,24781,10663,270,0,1509,674,1396,414,3286,533,1116,339,312,688,108,18
SE_0480,Nyköping,39834,19216,499,0,3245,1176,2375,937,5434,807,1973,721,407,1155,477,10
SE_0481,Oxelösund,8861,3813,109,0,499,127,399,106,1255,374,354,135,83,272,97,3
SE_0486,Strängnäs,24080,10992,215,0,2596,585,1773,509,2221,416,1099,364,245,791,164,14
SE_0488,Trosa,8562,4219,57,0,1114,165,616,156,854,122,446,210,103,254,121,1
SE_0428,Vingåker,6876,2806,72,0,325,206,274,121,938,140,290,130,79,191,38,2
SE_0381,Enköping,29959,12252,278,0,2805,1226,1340,427,2859,541,1027,525,286,793,136,9
