gisco_id,name,registered,turnout,invalid,blank,VVD,PvdA,D66,SP,CDA,PVV,GL,PvdD,50PLUS,CU-SGP,Artikel50,PPNL,AeuP,DG,Ikkiesvooreerlijk.eu,AeE,LDP,Jezus Leeft,IQ
NL_0796,s-Hertogenbosch,111343,43495,128,193,5525,3792,8685,4751,4622,6025,3801,1934,2322,546,218,416,89,182,57,45,99,52,13
NL_0965,Simpelveld,8622,3036,8,22,168,302,373,308,778,687,104,97,119,14,19,23,3,4,2,2,2,2,0
NL_1702,Sint Anthonis,9124,3722,10,33,471,158,348,523,1284,358,137,111,210,30,10,13,4,9,8,4,0,4,0
NL_NLZZSE,Sint Eustatius,1950,145,6,9,3,12,50,11,5,5,15,4,0,2,0,2,0,2,20,0,0,0,0
NL_0845,Sint-Michielsgestel,21862,7754,17,20,1070,583,1442,839,1597,940,372,262,424,53,29,43,10,16,7,4,10,8,8
NL_0846,Sint-Oedenrode,13857,4973,5,9,763,323,644,563,1254,561,192,141,405,35,13,34,9,3,7,2,5,4,2
NL_1883,Sittard-Geleen,74936,25169,65,107,2003,1978,3204,2865,5095,5468,1475,1103,1056,228,129,152,58,53,40,13,35,26,16
NL_0610,Sliedrecht,18702,7653,22,26,559,531,434,585,901,1014,158,226,222,2809,34,49,22,6,5,4,4,36,6
NL_0040,Slochteren,12071,4543,21,14,459,516,484,582,591,399,250,231,172,737,17,36,11,8,2,2,2,10,0
NL_1714,Sluis,18254,6916,27,13,1103,637,732,683,1444,1061,256,229,273,218,26,34,23,17,9,9,104,14,4
NL_0090,Smallingerland,42714,17077,34,55,1278,2443,1614,2047,3409,1564,729,498,575,2456,79,107,55,35,24,5,10,51,9
NL_0342,Soest,34568,15356,36,35,2599,1036,3027,959,2146,1920,945,677,472,1179,94,83,38,37,19,9,16,23,6
NL_0847,Someren,14547,5051,15,30,591,270,409,439,968,762,122,96,1241,17,22,22,16,12,5,0,5,5,4
NL_0848,Son en Breugel,12410,5034,7,19,932,322,857,403,816,514,249,174,584,77,24,22,6,11,6,3,4,4,0
NL_0612,Spijkenisse,56993,19231,73,52,1688,1713,2001,2690,1364,5434,625,1119,1124,792,114,206,88,17,20,20,28,55,8
NL_0037,Stadskanaal,25931,8545,18,30,530,933,526,1265,1668,1193,199,225,338,1479,29,28,22,9,5,6,12,28,2
NL_0180,Staphorst,11554,6044,13,5,274,182,210,125,978,539,62,73,48,3460,14,14,9,3,4,2,2,26,2
NL_0532,Stede Broec,16342,5570,6,22,764,407,736,744,924,972,243,231,258,119,20,42,16,15,8,4,25,11,3
NL_0851,Steenbergen,18458,5671,17,19,870,387,664,504,880,1288,155,243,273,226,31,37,24,7,6,5,11,23,5
NL_1708,Steenwijkerland,33809,13726,36,35,1648,1431,1491,1269,3003,1600,552,556,380,1434,62,66,46,22,14,9,26,39,7
NL_0971,Stein,20703,7093,30,41,584,615,807,825,1206,1770,241,327,418,63,43,58,15,14,12,9,5,7,3
NL_1904,Stichtse Vecht,48743,20309,50,56,3132,1666,3935,1451,2731,2625,1197,837,655,1469,141,138,61,32,28,6,40,52,7
NL_0617,Strijen,6994,2792,4,5,390,232,260,190,505,467,135,112,94,344,5,12,10,3,5,3,3,15,0
NL_1900,Súdwest Fryslân,64921,25545,38,73,2997,3188,2900,2613,6490,2424,1342,885,796,1299,126,159,59,47,22,15,21,46,5
NL_0009,Ten Boer,5605,2521,9,9,132,280,247,247,501,164,254,90,64,480,8,17,3,3,5,2,2,4,2
NL_0715,Terneuzen,41888,14437,45,41,1421,1493,1492,1392,2291,2496,466,466,576,1896,63,73,42,43,15,7,71,45,3
NL_0093,Terschelling,3893,1879,6,3,311,300,224,136,270,188,150,102,73,51,20,19,6,7,4,2,2,6,0
NL_0448,Texel,10707,5137,18,38,856,535,677,515,796,537,478,221,184,181,20,34,8,16,2,2,6,13,2
NL_1525,Teylingen,26774,11470,18,41,2173,797,2153,652,2205,1340,578,449,442,336,66,103,41,17,16,8,20,14,8
NL_0716,Tholen,18974,7678,13,8,657,436,346,740,830,1095,107,218,150,2931,30,25,38,6,7,0,6,30,5
NL_0281,Tiel,31177,9930,20,40,1351,1069,1394,952,1120,1909,520,481,431,385,71,71,32,25,10,6,14,23,6
NL_0855,Tilburg,160263,46108,112,188,5048,3989,9151,5832,5856,6426,4375,1758,1673,484,247,490,123,123,64,40,67,42,20
NL_0183,Tubbergen,16076,5942,19,12,508,215,291,226,3669,566,113,98,122,53,18,20,3,5,2,0,0,2,0
NL_1700,Twenterand,25612,9088,13,24,475,381,421,567,3679,1055,218,138,200,1762,22,42,21,5,5,6,8,45,5
NL_1730,Tynaarlo,25371,11358,22,40,1633,1732,2137,922,1309,868,1043,482,321,622,49,89,24,24,14,2,12,11,2
NL_0737,Tytsjerksteradiel,24584,9892,20,14,794,1479,834,974,2654,821,611,285,365,858,36,53,14,22,18,9,9,20,2
NL_0282,Ubbergen,7479,3514,6,7,402,362,616,381,516,264,446,229,175,28,18,22,4,17,12,5,2,2,2
NL_0856,Uden,31555,11143,23,61,1906,753,1410,1784,2174,1478,418,353,500,91,46,60,28,21,11,9,8,9,0
NL_0450,Uitgeest,9995,3914,8,13,600,460,700,346,511,513,298,172,149,32,23,39,14,4,6,4,11,10,4
NL_0451,Uithoorn,21121,8301,31,29,1514,679,1353,669,1097,1225,490,414,372,177,55,105,33,16,11,6,9,11,5
NL_0184,Urk,12606,5597,11,10,37,13,27,67,581,585,7,10,10,4114,14,33,6,0,0,0,0,70,2
NL_0344,Utrecht,244499,100478,198,505,9950,11421,26325,7449,6949,7085,18616,4534,1157,3407,459,1524,116,320,152,47,156,85,23
NL_1581,Utrechtse Heuvelrug,37106,18332,28,43,2793,1268,3539,1280,2692,1711,1517,845,482,1728,105,92,49,67,9,17,29,36,2
NL_0981,Vaals,6608,2435,12,17,144,232,481,246,368,506,146,108,96,17,11,22,6,18,2,2,0,2,2
NL_0994,Valkenburg aan de Geul,14028,5155,7,30,594,338,767,527,1105,901,304,186,265,51,10,32,8,9,8,4,3,6,0
NL_0858,Valkenswaard,24393,8158,20,47,1007,609,1033,956,1485,1284,306,297,819,106,45,41,31,16,33,5,11,4,3
NL_0047,Veendam,21919,7047,22,41,712,1164,750,1161,819,1033,233,286,321,367,28,34,28,12,9,7,2,17,2
NL_0345,Veenendaal,47162,19772,61,47,1774,1011,1786,1137,2833,2447,635,421,511,6689,102,96,66,19,16,9,13,95,4
NL_0717,Veere,17194,8518,18,8,1085,637,785,477,1689,663,344,321,241,2093,26,30,18,12,7,3,40,19,2
NL_0860,Veghel,28227,9775,21,25,1427,611,1161,1157,2781,1217,287,301,543,87,40,55,14,12,10,6,10,4,6
NL_0861,Veldhoven,34334,11759,18,58,1671,834,1833,1454,1880,1665,517,439,948,182,52,99,28,27,18,7,11,15,3
NL_0453,Velsen,51834,18408,47,66,2211,1855,3056,1958,1832,3309,1077,1018,877,619,132,168,58,30,20,16,28,25,6
NL_0983,Venlo,76019,24474,46,132,2739,1852,2474,2865,4418,5758,1034,696,1777,226,109,161,53,40,18,19,17,25,15
NL_0984,Venray,32873,11179,22,59,1268,738,1494,1552,2844,1631,407,236,648,88,31,62,35,15,16,8,10,10,5
NL_0620,Vianen,15048,5671,8,28,632,509,757,535,898,918,254,229,234,542,26,22,25,10,6,3,10,22,3
NL_0622,Vlaardingen,54292,18125,40,82,1669,1707,2185,2232,2073,3802,1019,862,759,1304,106,111,52,23,17,16,16,40,10
NL_0048,Vlagtwedde,12761,4283,14,15,324,462,292,547,814,822,185,238,192,268,29,29,26,6,3,3,0,16,0
NL_0096,Vlieland,877,502,3,4,98,58,89,22,47,50,44,41,19,16,2,2,2,3,2,0,2,2,0
NL_0718,Vlissingen,34281,11205,25,52,1210,1147,1377,1693,1244,1759,537,587,434,845,49,86,45,20,18,4,28,38,7
NL_0623,Vlist,7537,3690,3,6,467,232,403,184,678,473,118,118,87,868,7,18,11,3,3,3,3,9,0
NL_0986,Voerendaal,10135,3848,9,16,386,305,561,493,824,661,181,148,169,29,10,19,3,11,5,2,3,9,4
NL_0626,Voorschoten,18595,9039,20,45,1760,697,1975,508,1285,890,781,439,241,221,45,71,17,13,6,3,17,3,2
NL_0285,Voorst,18903,7349,17,34,1094,724,1049,543,1815,647,375,241,284,390,26,33,18,22,13,9,7,8,0
NL_0865,Vught,19834,7969,12,34,1399,638,1719,733,1052,743,768,289,355,90,19,48,15,23,6,5,19,5,5
NL_0866,Waalre,12885,5612,13,30,1063,365,1225,429,787,618,323,186,347,98,29,49,10,11,11,3,11,3,3
NL_0867,Waalwijk,36081,11570,29,54,1565,713,1330,1197,1950,2041,460,372,722,884,65,84,26,12,11,10,14,27,4
NL_0627,Waddinxveen,19650,8684,11,27,1021,562,1067,448,1225,1176,305,271,258,2134,41,43,33,10,7,6,14,23,2
NL_0289,Wageningen,27493,13946,29,67,1160,1700,3164,1131,1277,673,2774,541,214,832,59,175,12,42,29,11,26,26,4
NL_0629,Wassenaar,17851,8622,22,26,2358,375,1615,333,1422,1091,379,368,288,180,49,44,27,12,2,2,21,6,2
NL_0852,Waterland,13512,6314,9,29,848,638,951,548,1042,873,589,321,173,148,50,44,20,15,5,4,2,5,0
NL_0988,Weert,38386,13391,34,70,1383,778,1421,1681,3726,2529,411,389,607,114,75,79,31,15,11,7,7,17,6
NL_0457,Weesp,13956,5495,24,27,696,591,956,503,678,629,592,253,220,139,69,49,23,15,10,3,10,5,3
NL_0870,Werkendam,20257,7797,13,15,741,401,536,460,1632,1177,214,171,251,2076,14,24,23,9,7,2,2,30,0
NL_0668,West Maas en Waal,14514,5077,15,14,920,317,563,699,934,843,186,147,313,48,13,21,7,12,5,4,10,2,4
NL_1701,Westerveld,15237,6927,21,24,1228,970,878,608,1041,636,464,390,265,274,14,35,25,27,6,2,13,5,2
NL_0293,Westervoort,11934,3984,8,24,386,387,535,623,603,578,278,172,158,135,24,30,10,16,4,4,4,4,4
NL_1783,Westland,77218,29827,45,131,5261,1318,3112,1426,7618,5777,720,894,918,2014,171,172,54,33,35,25,23,68,12
NL_0098,Weststellingwerf,20232,7532,21,17,1243,1021,637,798,1381,1004,390,321,250,265,41,49,28,14,11,7,12,19,3
NL_0614,Westvoorne,11272,4735,11,18,1057,385,696,326,565,898,143,267,159,133,24,14,18,8,2,3,3,3,2
NL_0189,Wierden,18424,7993,12,13,699,320,565,364,3489,751,187,119,208,1165,15,29,16,6,4,2,3,26,0
NL_0296,Wijchen,31650,11477,20,41,1655,1049,1870,1476,1870,1621,550,407,534,147,58,94,23,14,23,5,10,7,3
NL_1696,Wijdemeren,18184,7594,17,12,1413,562,1412,454,1292,937,380,395,269,294,41,59,18,14,8,3,9,4,3
NL_0352,Wijk bij Duurstede,17902,7276,14,29,984,565,1077,842,957,1052,620,285,184,532,37,37,23,8,9,5,6,7,3
NL_0053,Winsum,10596,5022,13,25,414,705,539,470,904,304,509,262,118,680,16,36,5,8,2,2,4,6,2
NL_0294,Winterswijk,22274,8158,24,31,1351,1060,988,950,1792,700,398,278,294,174,25,35,4,14,10,5,5,15,5
NL_0873,Woensdrecht,16550,5209,16,9,708,350,630,511,869,1202,135,225,379,59,26,32,18,8,6,2,7,14,3
NL_0632,Woerden,38012,16974,34,47,2140,1320,2917,913,3512,1764,928,557,443,2025,93,109,41,30,18,12,15,50,6
NL_0880,Wormerland,12312,4680,17,22,652,538,656,564,501,643,385,287,193,126,17,44,12,5,2,2,5,8,2
NL_0351,Woudenberg,9198,4585,6,9,498,239,382,212,767,434,116,93,126,1621,23,20,8,2,5,2,4,19,0
NL_0874,Woudrichem,11202,4184,8,8,420,237,304,299,998,475,139,117,113,982,14,14,12,2,4,2,3,33,2
NL_0479,Zaanstad,112780,36358,109,129,3726,4321,5217,4859,3188,5859,2725,2336,1713,1138,192,418,112,77,54,37,68,67,13
NL_0297,Zaltbommel,19974,8367,24,25,859,571,951,606,973,897,395,243,226,2394,48,42,23,14,4,6,45,19,2
NL_0473,Zandvoort,13281,5020,18,15,943,378,781,309,457,998,196,374,354,49,44,30,29,13,5,4,15,4,4
NL_0707,Zederik,10422,5132,5,10,485,361,276,210,1164,492,110,93,99,1775,8,15,9,5,3,3,3,10,0
NL_0478,Zeevang,4906,2210,8,10,418,220,333,169,227,361,170,127,82,32,10,11,12,6,2,2,4,5,2
NL_0050,Zeewolde,15222,6393,13,18,1018,364,869,447,1032,870,242,230,163,959,36,51,14,15,6,2,12,30,2
NL_0355,Zeist,45992,21079,32,54,3342,1767,4222,1396,2397,2154,2076,990,499,1643,138,165,42,71,28,11,28,21,3
NL_0299,Zevenaar,25751,8808,18,22,1056,957,1289,1064,1744,1162,391,316,441,139,32,67,28,43,9,6,7,6,11
NL_0637,Zoetermeer,94847,33729,59,128,4186,3151,5824,3309,3281,6303,1589,1663,1266,1944,269,321,115,55,32,106,34,85,9
NL_0638,Zoeterwoude,6397,2796,5,12,331,241,442,185,669,313,187,130,128,97,4,31,4,9,2,0,2,2,3
NL_0056,Zuidhorn,14033,7076,6,33,532,702,804,557,1401,371,675,238,116,1516,24,39,10,19,6,2,6,18,2
NL_1892,Zuidplas,31077,12615,16,38,1837,756,1666,1072,1642,1633,390,486,337,2468,62,85,20,13,15,7,15,56,7
NL_0879,Zundert,16439,5013,15,9,879,263,535,417,1357,818,135,163,290,41,28,18,11,7,2,2,6,17,2
