gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,SP,CDA,GL,PVV,CU,D66,PvdD,EénNL,LPF,SGP,PVN,Lijst 14,LDP,NVT,VSP,ABC,CDDP,ID,GVIP,TOP,LRVP,SMP
NL_0860,Veghel,27167,22244,0,17,3109,2993,4421,9085,509,1083,203,414,207,70,49,16,16,5,6,6,34,0,5,0,0,0,0,0
NL_0861,Veldhoven,32881,26312,0,32,4218,4035,5547,8651,769,1655,439,316,342,132,79,18,12,3,12,13,38,0,3,0,0,0,0,0
NL_0453,Velsen,50678,40610,0,57,8643,7022,7185,9241,1725,2979,1305,837,970,247,81,52,30,17,14,11,80,66,11,0,35,12,0,0
NL_0983,Venlo,68437,51505,0,88,9381,5989,9482,13154,1763,9179,555,799,707,142,63,35,31,11,0,9,64,53,0,0,0,0,0,0
NL_0984,Venray,28922,22862,0,42,3941,2572,4418,8523,612,1767,214,344,230,79,47,20,5,2,0,6,27,13,0,0,0,0,0,0
NL_0620,Vianen,14775,11951,0,12,2294,1861,1846,3619,372,741,455,158,196,46,27,284,3,3,4,3,14,7,3,9,0,0,0,0
NL_0622,Vlaardingen,54868,43204,0,60,9811,5401,8356,9027,1502,4039,1613,884,824,638,123,670,24,7,13,5,77,38,3,89,0,0,0,0
NL_0048,Vlagtwedde,12976,10276,0,19,3371,1061,1855,2387,288,507,416,74,194,39,13,23,4,3,2,2,11,7,0,0,0,0,0,0
NL_0096,Vlieland,845,769,0,3,188,193,116,148,38,24,15,20,17,0,4,4,0,0,0,0,4,0,0,0,4,0,0,0
NL_0718,Vlissingen,34363,26049,0,34,5800,3359,5369,5861,846,1970,1013,302,746,152,76,426,22,6,0,11,56,0,0,0,0,0,0,0
NL_0623,Vlist,7380,6549,0,15,907,1121,672,2224,161,346,353,64,84,49,10,540,10,0,10,0,0,10,0,0,0,0,0,0
NL_0986,Voerendaal,10190,8607,0,8,1688,971,1500,2867,293,849,120,90,145,23,12,5,4,2,0,2,20,9,0,0,0,0,0,0
NL_0626,Voorschoten,16609,14337,0,24,2233,3285,1571,4340,847,651,402,417,367,94,22,55,5,2,5,2,0,4,2,11,0,0,0,0
NL_0285,Voorst,18068,15140,0,19,3085,2321,1952,5600,475,634,299,233,194,42,27,213,9,2,3,0,18,8,0,2,5,0,0,0
NL_0865,Vught,18997,15523,0,18,2817,2921,2847,4586,787,674,187,302,232,83,21,8,13,4,2,6,15,0,0,0,0,0,0,0
NL_0866,Waalre,12275,10544,0,10,1524,2173,1585,3607,431,520,167,219,171,60,18,12,5,0,9,0,33,0,0,0,0,0,0,0
NL_0867,Waalwijk,35200,27562,0,48,4620,3928,4949,9027,663,1770,916,451,343,200,55,492,0,2,2,4,43,21,2,13,14,0,0,0
NL_0627,Waddinxveen,19481,16335,0,38,2551,2505,1681,5006,458,965,1473,271,198,118,41,999,6,2,2,8,0,10,0,3,0,0,0,0
NL_0289,Wageningen,25055,21007,0,42,5244,2246,3496,4121,2481,521,1116,1046,337,74,13,225,3,4,9,2,8,6,0,2,12,0,0,0
NL_0629,Wassenaar,17448,14899,0,21,1506,5076,1094,4832,442,777,251,300,401,107,30,36,5,3,7,3,0,9,0,3,0,0,0,0
NL_0852,Waterland,13193,11613,0,14,2151,2428,1444,3257,664,709,240,238,318,55,23,20,6,2,2,3,23,6,2,0,10,0,0,0
NL_0988,Weert,36941,29219,0,45,5296,4532,5750,8486,776,3036,366,289,357,120,54,15,8,7,0,6,53,23,0,0,0,0,0,0
NL_0457,Weesp,13425,10957,0,15,2445,1926,1907,2523,654,552,220,249,288,63,17,34,4,2,2,4,26,13,2,0,12,2,0,0
NL_0870,Werkendam,20022,16639,0,17,2267,1937,1752,6357,296,839,1112,76,200,68,19,1663,0,0,0,7,11,14,2,2,2,0,0,0
NL_0459,Wervershoof,6286,5213,0,5,629,906,689,2293,156,277,60,37,83,33,13,5,2,2,2,2,14,6,0,0,2,0,0,0
NL_0668,West Maas en Waal,14103,11880,0,8,1970,1816,2197,4409,293,598,84,98,160,175,24,13,6,3,3,3,15,9,0,0,0,0,0,0
