gisco_id,name,registered,turnout,invalid,blank,VVD,D66,GL-PvdA,PVV,CDA,BBB,JA21,FvD,SP,PvdD,50PLUS,CU,Volt,SGP,NSC,DENK,BVNL,VvD,BIJ1,LP,FNP,PPNL,NVPLAN,VV,PvdR,DE LINIE,ELLECT
NL_1992,Voorne aan Zee,58699,45891,91,164,8206,5946,3425,10517,4536,910,4364,3182,714,586,1342,361,279,215,165,471,130,90,63,39,8,43,0,4,0,40,0
NL_0626,Voorschoten,19165,16386,34,66,3030,3824,2387,1883,2042,246,910,458,239,314,179,151,227,50,47,188,32,25,20,8,0,15,4,4,0,3,0
NL_0285,Voorst,20242,17248,32,59,2979,2745,1608,2286,2808,1358,1071,781,182,194,246,217,129,326,48,81,25,28,21,9,4,5,0,6,0,0,0
NL_0865,Vught,25290,20921,39,68,4194,5149,2575,2459,2759,378,1121,606,381,292,228,122,270,18,62,67,23,32,32,13,3,13,7,3,0,9,0
NL_1949,Waadhoeke,36849,29669,46,96,3567,3501,3475,5075,5085,1671,1759,2160,562,333,405,565,185,211,148,59,87,49,30,27,550,19,0,2,2,0,0
NL_0866,Waalre,13184,11207,26,32,2225,2659,1325,1285,1631,143,598,341,154,196,201,43,178,14,38,38,16,16,14,11,3,17,3,3,0,3,0
NL_0867,Waalwijk,37788,29228,64,123,5105,4159,2104,6628,3757,565,2076,1312,440,312,589,318,169,578,86,633,53,32,39,20,6,22,12,2,0,24,0
NL_0627,Waddinxveen,25574,21083,35,79,3067,2870,1540,3508,2623,344,1465,1001,224,230,298,1165,138,1809,61,495,44,18,29,11,0,13,8,7,0,7,0
NL_0289,Wageningen,30016,25606,43,78,1967,5922,7366,2002,2205,241,763,530,625,1387,164,623,812,236,88,215,24,41,175,42,5,48,0,4,0,0,0
NL_0629,Wassenaar,18471,15406,53,44,4407,2876,1258,2039,1843,220,959,595,120,220,155,114,188,51,32,105,20,35,31,15,0,15,4,4,0,3,0
NL_0852,Waterland,13611,11876,41,32,1981,2103,1918,1694,1218,617,733,501,194,266,136,93,135,28,45,35,16,27,28,17,4,11,2,0,0,2,0
NL_0988,Weert,39682,30122,65,147,5130,4191,3228,6629,3935,750,2131,1245,481,345,513,90,212,34,122,666,51,46,32,21,7,26,0,0,0,25,0
NL_1960,West Betuwe,40974,35262,56,116,5508,3967,2549,7409,4185,1196,2310,2018,374,368,385,796,252,3327,107,170,60,32,24,24,6,20,0,3,0,0,3
NL_0668,West Maas en Waal,16290,13697,13,57,2589,1801,965,3216,1860,592,1039,673,213,167,223,51,79,34,33,41,18,5,10,7,5,9,0,5,0,0,5
NL_1969,Westerkwartier,50815,42676,81,186,4908,5627,4869,6567,7120,2754,1851,2382,1095,582,490,2340,283,928,170,91,86,60,33,44,94,35,0,0,0,0,0
NL_1701,Westerveld,16583,14419,27,53,2309,2043,2055,2081,1713,1133,698,802,263,368,227,209,126,124,52,12,31,33,10,11,39,0,0,0,0,0,0
