gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,CDA,PVV,D66,GL,SP,PvdD,CU-SGP,EKP,Newropeans,LDP,Libertas,DG,EV&D,PEP,Solidara
NL_0310,De Bilt,32196,16982,17,27,1678,2676,2611,2181,2757,1894,1027,611,1176,65,98,62,59,16,7,12,8
NL_1663,De Marne,8311,3332,3,3,533,340,773,367,206,323,255,138,359,7,4,5,2,9,2,2,2
NL_0736,De Ronde Venen,26052,10646,19,20,719,1746,2445,2274,1109,619,404,355,746,39,42,27,50,10,14,7,7
NL_1690,De Wolden,18188,7636,12,9,1068,1480,1942,1013,619,446,366,219,374,20,20,9,16,15,4,0,4
NL_0503,Delft,71929,29729,80,147,3834,3098,3643,3988,5637,3964,2151,1114,1189,126,237,161,154,75,52,16,63
NL_0010,Delfzijl,21020,5943,5,18,1219,534,1274,1014,386,284,496,196,437,36,9,9,9,7,0,2,8
NL_0400,Den Helder,44873,12327,20,22,1401,1645,1759,3207,1044,694,901,665,723,84,37,27,46,20,9,8,15
NL_0762,Deurne,24262,7252,16,24,507,1797,2097,1144,457,381,564,138,35,23,18,12,14,14,7,3,3
NL_0150,Deventer,72508,26131,41,53,4376,2814,4034,3126,3639,3302,2248,919,958,92,152,57,66,83,36,5,130
NL_0384,Diemen,18103,6871,8,16,959,692,643,1480,1001,944,538,294,107,36,45,23,41,19,8,2,15
NL_1774,Dinkelland,19400,6858,11,11,425,722,3550,988,402,280,215,100,74,34,10,3,13,5,6,6,3
NL_0504,Dirksland,6301,2765,4,2,204,211,549,446,92,68,116,75,965,10,3,2,9,2,5,3,0
NL_0221,Doesburg,8786,3143,5,5,438,328,484,411,422,226,602,92,78,15,9,6,7,4,7,0,4
NL_0222,Doetinchem,43140,15237,18,20,2216,1536,3501,2246,1530,1385,1459,465,621,75,46,20,38,20,13,12,16
NL_0766,Dongen,19245,6332,12,8,691,736,1623,1034,611,411,781,206,128,20,30,10,10,6,7,4,4
NL_0058,Dongeradeel,18550,6803,11,15,764,419,2791,718,348,350,444,172,677,41,11,6,19,9,4,3,3
NL_0505,Dordrecht,88489,29790,51,66,3852,2847,4043,5621,3161,2676,2411,1322,3113,178,109,71,95,57,22,20,75
NL_0498,Drechterland,14421,5254,7,11,542,840,1210,1092,483,366,356,185,59,24,18,15,26,10,3,4,3
NL_1719,Drimmelen,20769,6481,10,18,664,825,1780,1296,619,481,435,173,53,40,27,18,25,11,2,2,2
NL_0303,Dronten,28201,11540,26,17,1008,1657,3151,2017,958,613,578,291,1022,41,47,29,24,17,15,6,23
NL_0225,Druten,13623,4343,10,9,593,488,1212,688,440,256,462,107,18,15,9,13,10,2,2,8,2
NL_0226,Duiven,18802,5884,7,19,721,710,1335,1050,627,502,469,182,160,27,21,10,18,12,11,0,3
NL_1711,Echt-Susteren,25721,9523,21,30,653,493,3838,2560,439,459,497,344,63,25,27,20,28,11,8,2,5
NL_0385,Edam-Volendam,21491,7449,7,17,509,860,1431,2954,445,425,341,246,66,53,27,16,23,14,7,3,5
NL_0228,Ede,79877,35002,36,46,2729,3177,7407,5078,2689,2233,1303,750,9006,141,118,53,105,59,24,14,34
NL_0317,Eemnes,6551,2904,5,9,313,462,568,517,361,189,165,126,136,13,16,6,7,2,5,2,3
NL_1651,Eemsmond,12676,5140,7,8,914,415,1257,513,251,350,394,170,790,24,20,7,7,10,7,7,7
NL_0770,Eersel,14243,4999,3,16,394,626,1956,697,493,259,291,119,33,26,24,12,32,5,6,5,6
NL_0905,Eijsden,8844,3198,9,10,342,273,1089,682,277,211,162,74,15,11,12,10,9,12,0,0,0
NL_0772,Eindhoven,159725,50406,103,206,6255,5849,8011,7986,7199,5432,5374,1720,901,233,390,181,204,132,91,33,106
NL_0230,Elburg,16633,6924,4,12,387,518,1649,837,252,201,205,130,2670,16,11,4,15,7,3,2,2
NL_0114,Emmen,84727,25121,43,41,5188,2042,5930,4562,1674,1469,1972,807,1010,123,69,39,61,38,20,9,24
NL_0388,Enkhuizen,13895,4881,8,13,692,540,676,878,530,421,483,231,281,43,25,12,21,12,3,7,5
NL_0153,Enschede,117593,36460,93,114,5809,4211,5506,5414,4727,3526,3114,1055,2072,122,228,131,105,91,35,24,83
NL_0232,Epe,25715,9766,12,16,1312,1284,2181,1568,816,503,445,296,1210,32,25,17,14,14,6,5,10
NL_0233,Ermelo,20347,9018,11,14,558,886,2431,1245,609,441,335,257,2106,37,31,16,18,11,5,3,4
NL_0777,Etten-Leur,31343,9296,26,19,1093,1344,2118,1855,927,613,674,293,142,54,35,27,25,17,13,6,15
NL_1722,Ferwerderadiel,6751,2424,7,9,299,198,946,223,126,118,179,80,205,16,6,2,2,2,2,2,6
