gisco_id,name,registered,turnout,invalid,blank,GL-PvdA,VVD,CDA,FvD,D66,PvdD,50PLUS,PVV,JA21,NVPLAN,CU,SGP,BBB,MDD,SP,VdR,Volt,BVNL,NSC,PPNL
NL_1876,Bronckhorst,29996,16510,20,36,2616,1782,2173,295,964,482,112,2450,104,15,260,238,3166,27,254,9,577,55,846,29
NL_0762,Deurne,25916,10926,15,20,1493,1370,1495,237,651,251,282,2464,55,12,51,37,1396,17,247,2,335,59,415,22
NL_0785,Goirle,19053,8616,9,9,2035,1197,976,148,911,315,122,1476,65,10,42,17,314,10,205,0,320,28,374,33
NL_0267,Nijkerk,34432,17801,16,16,2070,1864,2309,456,946,362,128,3170,118,23,1723,1946,1172,30,158,3,485,62,717,27
NL_0230,Elburg,18287,9943,13,6,677,699,1186,190,285,142,50,1728,38,7,1301,2229,734,3,97,4,129,28,385,12
NL_0299,Zevenaar,36204,15575,29,27,2783,1877,2007,462,1170,489,153,3315,92,18,131,43,1094,31,337,136,526,67,706,82
NL_1669,Roerdalen,16619,7119,16,8,985,635,1344,236,306,224,103,1983,35,5,24,12,563,10,143,3,193,35,244,12
NL_0203,Barneveld,45204,27492,27,20,1475,1897,2860,594,741,358,115,4164,202,22,2357,9190,2066,30,174,11,307,72,775,35
NL_0865,Vught,24967,12718,10,21,2900,2179,1288,192,1657,406,137,1636,63,6,74,35,416,18,310,8,933,28,367,34
NL_0160,Hardenberg,49087,24495,25,23,2338,1739,3764,586,716,389,184,4787,147,20,2369,964,4089,35,311,10,428,87,1447,37
NL_0383,Castricum,29352,16983,21,32,4384,2332,1581,480,1790,870,167,2302,127,33,122,56,673,31,287,7,875,73,672,68
NL_0716,Tholen,20130,10356,19,8,682,648,685,257,220,181,59,1977,40,3,470,3779,739,9,156,1,121,26,267,9
NL_1774,Dinkelland,21517,11337,13,6,898,1491,1474,195,392,149,54,2214,57,2,57,38,2472,15,89,0,247,46,1415,13
NL_0703,Reimerswaal,16022,9389,9,2,431,453,703,198,154,107,55,1468,19,8,293,4489,601,7,81,33,96,26,135,21
NL_0200,Apeldoorn,131001,60396,103,67,11883,7223,5522,1538,4690,2252,489,9414,355,91,3247,3745,2859,146,1092,96,2542,246,2621,175
NL_0312,Bunnik,12214,8069,7,8,2468,970,832,97,881,334,35,787,39,3,185,171,359,8,76,0,534,11,249,15
NL_0441,Schagen,38045,18202,19,18,3314,2419,1994,634,1265,707,204,3281,124,22,158,75,1975,56,368,6,710,108,677,68
NL_0399,Heiloo,19499,11379,21,9,2803,1701,1130,252,1293,570,108,1443,88,17,133,49,332,22,152,2,768,61,393,32
NL_1900,Súdwest Fryslân,71321,34347,30,40,6602,3042,4942,1035,2189,956,256,5464,184,55,1890,435,3666,48,747,16,1111,158,1393,88
NL_1699,Noordenveld,25748,14079,22,17,3676,1578,1156,324,1082,567,103,1972,65,14,542,134,1159,27,382,4,551,56,618,30
NL_0439,Purmerend,73372,28836,58,40,5504,3809,1616,984,1964,1323,336,7938,227,58,249,107,1510,51,664,10,1085,144,995,164
NL_0232,Epe,26641,13523,18,10,1913,1628,1505,323,762,412,113,2663,53,12,606,1006,1273,25,166,5,433,51,521,25
NL_0995,Lelystad,59748,21863,48,41,4244,2596,1357,909,1477,950,229,5322,175,38,757,359,890,52,617,9,808,112,754,119
NL_0626,Voorschoten,19088,11234,29,15,2778,1847,991,219,1267,438,85,1498,90,19,148,58,302,23,192,2,760,38,405,30
NL_0513,Gouda,57134,29209,47,38,7248,2488,2236,621,2586,1505,228,4140,198,34,1927,2049,527,50,575,5,1551,69,974,113
NL_0879,Zundert,17567,7649,11,12,787,1079,1093,183,509,219,117,1815,45,15,37,15,1016,11,145,1,221,32,269,17
NL_0296,Wijchen,33151,15009,14,19,2937,2136,1759,302,1363,465,185,3087,100,26,115,34,779,21,345,7,634,51,614,16
NL_0448,Texel,11093,7586,11,7,1835,800,640,194,455,322,43,1180,44,6,116,125,947,13,189,4,318,31,273,33
NL_0534,Hillegom,17067,8506,16,19,1414,1284,798,312,740,367,137,1829,96,16,119,76,354,19,137,3,385,56,298,31
NL_0489,Barendrecht,37146,16515,16,37,2362,2325,1929,474,1203,525,140,3548,179,30,551,1197,340,34,277,4,562,77,657,48
NL_1948,Meierijstad,64563,26774,40,43,4117,3723,3926,504,2119,633,416,5630,147,42,109,40,2051,23,903,10,1103,86,1036,73
NL_0193,Zwolle,102512,53557,51,88,14544,5004,4667,1091,4950,2910,318,5600,263,63,4441,1059,1836,127,1109,24,3040,164,2001,207
NL_0590,Papendrecht,25196,10661,15,16,1432,1406,1166,340,646,318,100,2224,106,17,661,919,294,8,191,2,236,50,472,42
NL_1674,Roosendaal,58194,21038,55,43,3516,3115,2492,534,1495,678,261,5007,158,44,213,82,1082,41,526,8,699,66,845,78
NL_0518,s-Gravenhage,361469,146377,549,248,38018,18194,7612,3725,17152,9988,1050,23525,913,263,2092,1066,2122,305,3487,54,10830,459,3866,859
NL_0757,Boxtel,26142,11053,23,17,2465,1424,1235,210,1120,354,163,1840,55,13,57,29,626,16,329,2,600,37,412,26
NL_1903,Eijsden-Margraten,20826,10017,19,18,1976,1198,1928,175,749,396,219,1687,53,8,56,13,476,18,152,5,453,25,371,22
NL_0765,Pekela,9780,3262,17,5,506,207,250,142,83,134,24,1048,13,2,82,70,294,0,196,2,33,11,130,13
NL_0632,Woerden,41036,22267,31,42,3999,2813,2815,397,2043,695,133,2968,137,20,1137,1344,1207,37,303,9,1185,51,850,51
NL_0523,Hardinxveld-Giessendam,14010,7844,6,6,484,576,791,175,156,117,48,1187,48,5,1092,2449,257,4,92,1,85,20,229,16
NL_0737,Tytsjerksteradiel,25623,12694,16,14,2397,819,1943,365,691,387,90,2152,57,5,1063,310,1072,15,287,4,319,73,576,39
NL_1895,Oldambt,32088,11876,21,14,2466,1066,817,474,532,504,142,2723,73,11,380,150,1008,13,613,4,287,57,497,24
NL_0772,Eindhoven,165916,67768,151,120,19264,7349,4831,1665,7810,3531,941,8643,341,155,788,297,1045,144,1942,24,5959,202,2153,413
NL_1859,Berkelland,35819,19113,26,17,2855,1935,2271,471,966,427,109,3151,108,9,165,85,4041,34,382,5,593,84,1340,39
NL_1901,Bodegraven-Reeuwijk,27559,14880,12,13,1862,1959,1911,290,984,311,84,2299,109,15,902,1981,904,10,154,1,491,46,496,46
NL_0770,Eersel,15818,7450,8,11,1172,1040,1253,154,570,178,131,1188,43,10,22,19,671,5,122,7,538,16,277,15
NL_0784,Gilze en Rijen,20656,8622,7,19,1505,1145,966,203,813,300,153,1868,63,14,28,27,585,18,201,0,316,27,326,38
NL_0392,Haarlem,117627,59822,111,123,19598,5699,2692,1281,7508,4572,513,6171,329,70,619,208,991,128,1299,16,5774,284,1516,320
NL_1979,Eemsdelta,35987,13722,17,25,2867,995,1397,415,633,538,166,2612,55,13,700,289,1108,14,863,6,325,70,583,31
NL_0351,Woudenberg,10868,6527,7,4,616,593,654,144,274,159,31,866,39,3,398,1968,349,7,62,1,141,19,183,9
NL_0622,Vlaardingen,54822,18971,38,42,3581,2118,1656,526,1397,822,232,4606,155,29,547,548,464,23,597,4,707,56,739,84
NL_0547,Leiderdorp,21193,11182,16,15,2884,1467,986,215,1288,442,113,1651,102,11,196,131,283,21,194,1,679,35,421,31
NL_0899,Brunssum,22493,7496,17,21,1066,630,803,340,310,241,143,2647,37,13,120,39,223,14,243,8,151,43,360,27
