gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,CDU,MEP,PCTP/MRPP,PPM,POUS,PH,E,MPT,PLD
PT_160111,Ermelo,250,58,2,0,46,3,5,0,2,0,0,0,0,0,0,0,0
PT_160112,Extremo,256,58,1,0,21,26,5,3,0,0,2,0,0,0,0,0,0
PT_160113,Gavieira,820,98,1,1,50,35,3,3,3,0,0,0,1,0,1,0,0
PT_160114,Giela,466,152,4,9,58,45,12,13,6,0,2,1,1,1,0,0,0
PT_160115,Gondoriz,1406,226,3,9,115,59,15,14,1,2,1,1,0,0,3,2,1
PT_160116,Grade,502,93,3,1,57,22,2,3,2,1,2,0,0,0,0,0,0
PT_160117,Guilhadeses,984,264,6,12,120,77,16,18,6,2,0,0,3,0,0,3,1
PT_160119,Jolda (Madalena),502,141,2,5,79,25,10,10,6,0,1,1,0,1,0,1,0
PT_160142,Jolda (São Paio),453,138,0,5,77,37,12,1,2,2,0,0,0,0,0,1,1
PT_160118,Loureda,323,76,1,2,44,18,3,3,4,0,1,0,0,0,0,0,0
PT_160120,Mei,183,41,1,1,20,9,5,1,3,1,0,0,0,0,0,0,0
PT_160121,Miranda,694,127,6,0,68,27,15,3,2,0,1,2,2,0,1,0,0
PT_160122,Monte Redondo,367,94,3,1,62,12,8,4,1,1,0,0,0,0,1,1,0
PT_160123,Oliveira,395,127,2,3,66,38,5,8,4,0,0,0,0,0,1,0,0
PT_160124,Paçô,964,272,2,17,97,89,17,32,8,6,1,0,1,1,1,0,0
PT_160135,Padreiro (Salvador),406,136,1,4,77,37,10,4,0,0,1,0,0,1,0,0,1
PT_160136,Padreiro (Santa Cristina),164,62,1,1,42,5,5,6,1,0,0,0,0,0,1,0,0
PT_160125,Padroso,381,99,1,1,70,18,6,1,0,0,1,1,0,0,0,0,0
PT_160126,Parada,351,87,0,5,23,40,4,9,2,1,1,0,0,0,0,0,2
PT_160127,Portela,460,88,0,3,57,15,6,5,1,0,0,0,0,0,0,1,0
PT_160128,Prozelo,1080,251,4,9,93,104,14,9,7,4,1,1,0,2,0,0,3
PT_160129,Rio Cabrão,186,53,3,0,30,11,3,1,3,0,1,0,1,0,0,0,0
PT_160131,Rio De Moinhos,669,172,2,8,96,37,14,5,4,1,3,1,0,0,0,1,0
PT_160130,Rio Frio,1195,242,3,5,160,39,12,5,4,5,2,1,1,1,2,0,2
PT_160132,Sá,223,64,1,2,41,13,3,0,1,1,0,1,0,0,0,1,0
PT_160133,Sabadim,638,123,2,1,67,35,2,10,3,0,0,0,0,0,0,2,1
PT_160138,Santar,177,79,0,2,63,9,1,2,0,0,2,0,0,0,0,0,0
PT_160139,São Cosme E São Damião,283,73,1,2,38,25,3,2,1,0,0,0,1,0,0,0,0
PT_160140,São Jorge,947,221,3,2,114,62,16,9,6,4,0,4,0,0,0,1,0
PT_160144,Senharei,509,94,4,2,58,15,7,5,1,0,0,0,1,0,0,1,0
PT_160145,Sistelo,421,104,5,11,71,8,3,1,1,0,0,0,1,0,0,1,2
PT_160146,Soajo,1683,239,5,9,128,46,12,13,18,1,3,1,1,1,0,1,0
PT_160147,Souto,712,270,5,9,71,29,137,11,7,0,0,1,0,0,0,0,0
PT_160148,Tabaçô,405,120,1,2,53,36,12,7,0,6,0,1,0,0,1,1,0
PT_160137,Távora (Santa Maria),834,239,3,13,132,53,19,13,4,0,0,0,0,2,0,0,0
PT_160143,Távora (São Vicente),370,103,3,2,57,30,4,5,0,0,0,0,0,0,1,1,0
PT_160149,Vale,1060,166,1,1,89,48,11,8,6,0,2,0,0,0,0,0,0
PT_160150,Vila Fonche,761,266,4,19,101,82,14,29,9,1,1,2,0,3,0,1,0
PT_160151,Vilela,315,110,0,3,78,20,7,1,0,0,0,0,1,0,0,0,0
PT_160201,Âncora,1039,380,7,28,111,121,16,50,31,1,10,2,1,1,0,0,1
PT_160202,Arga De Baixo,134,64,0,1,47,8,6,0,0,0,1,0,0,0,0,1,0
PT_160203,Arga De Cima,92,47,0,2,34,8,1,0,0,0,0,2,0,0,0,0,0
PT_160204,Arga De São João,64,47,0,1,29,7,1,4,2,0,0,0,0,1,0,1,1
PT_160205,Argela,411,178,4,8,41,71,9,20,16,2,6,0,0,0,0,1,0
PT_160206,Azevedo,152,66,3,4,19,27,2,7,2,0,0,1,0,0,0,1,0
PT_160207,Caminha (Matriz),1642,640,23,27,218,192,37,66,52,8,7,2,0,2,3,3,0
PT_160208,Cristelo,244,123,0,8,39,45,8,11,6,0,5,0,0,0,0,0,1
PT_160209,Dem,423,147,6,10,65,44,5,6,3,1,2,0,1,3,0,1,0
