gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,CDU,PPM,PAN,PCTP/MRPP,PDA,PTP,E,MPT,MEP,PPV/CDC,PH,POUS,PND
PT_050711,Salvador,481,227,12,6,84,81,24,3,9,1,1,1,0,3,0,0,2,0,0,0,0
PT_050712,Vale Da Senhora Da Póvoa,297,177,3,4,75,77,9,4,3,1,0,1,0,0,0,0,0,0,0,0,0
PT_050801,Alvito Da Beira,427,252,3,2,159,54,24,1,1,3,0,0,0,1,0,1,3,0,0,0,0
PT_050802,Montes Da Senhora,773,470,5,21,271,102,52,3,3,4,1,2,0,2,2,0,1,1,0,0,0
PT_050803,Peral,667,399,8,13,153,165,37,7,3,0,3,3,0,2,3,0,1,1,0,0,0
PT_050804,Proença-a-Nova,4056,2451,52,78,1235,622,309,45,35,5,18,18,0,11,6,3,11,3,0,0,0
PT_050805,São Pedro Do Esteval,588,388,8,5,178,136,37,8,5,0,1,0,0,2,1,0,6,1,0,0,0
PT_050806,Sobreira Formosa,1893,1060,20,26,548,296,101,14,17,4,5,9,0,6,4,2,6,2,0,0,0
PT_050901,Cabeçudo,884,535,13,22,214,181,58,19,7,2,6,5,0,3,0,2,3,0,0,0,0
PT_050902,Carvalhal,527,283,11,9,129,90,21,3,2,1,2,4,0,3,2,3,1,2,0,0,0
PT_050903,Castelo,1054,543,6,17,273,158,51,12,8,4,7,4,0,0,0,2,1,0,0,0,0
PT_050904,Cernache Do Bonjardim,2865,1718,44,40,921,356,199,56,26,10,17,14,0,9,7,6,8,5,0,0,0
PT_050905,Cumeada,474,328,5,12,196,49,43,5,4,1,2,0,0,4,2,2,0,3,0,0,0
PT_050906,Ermida,307,173,0,1,103,12,50,1,1,0,1,1,0,0,0,0,2,1,0,0,0
PT_050907,Figueiredo,246,163,2,1,127,14,13,2,1,1,0,0,0,0,1,1,0,0,0,0,0
PT_050908,Marmeleiro,278,174,1,1,105,22,38,1,2,2,1,0,0,1,0,0,0,0,0,0,0
PT_050909,Nesperal,285,196,5,12,82,55,22,4,1,3,1,2,0,2,1,4,2,0,0,0,0
PT_050910,Palhais,299,214,3,5,98,77,11,2,5,4,1,3,0,1,1,0,2,1,0,0,0
PT_050911,Pedrógão Pequeno,761,489,8,23,255,107,64,14,8,2,0,2,0,1,2,1,0,2,0,0,0
PT_050912,Sertã,5267,3365,85,108,1699,711,425,109,78,9,30,35,0,23,10,19,18,6,0,0,0
PT_050913,Troviscal,972,565,32,16,336,108,43,8,2,2,6,3,0,2,3,2,2,0,0,0,0
PT_050914,Várzea Dos Cavaleiros,912,545,8,3,382,68,59,10,0,4,3,2,0,1,1,3,1,0,0,0,0
PT_051001,Fundada,603,458,12,6,329,28,54,3,11,2,4,4,0,1,2,0,2,0,0,0,0
PT_051002,São João Do Peso,153,105,0,5,72,14,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PT_051003,Vila De Rei,2335,1584,59,48,916,217,230,35,27,3,8,12,0,4,7,5,7,6,0,0,0
