gisco_id,registered,turnout,invalid,blank,PPD/PSD-CDS-PP-PPM,PS,CH,B.E.,IL,ADN,L,CDU,R.I.R.,E,JPP,MPT,PAN,PPD/PSD-CDS-PP,PCTP/MRPP,NC,PPM,PND,Volt,PLS,PTP
PT_030804,7959,5659,46,104,0,1422,1049,148,496,47,226,159,5,9,1,0,59,1877,0,0,3,5,3,0,0
PT_030806,1369,941,16,14,0,209,195,21,48,10,19,15,0,0,0,0,5,385,0,0,1,1,2,0,0
PT_030879,2029,1403,11,22,0,334,349,29,59,18,29,22,4,2,1,0,13,503,0,0,0,5,2,0,0
PT_030880,1709,1075,14,17,0,241,270,18,40,12,13,25,2,1,2,0,6,412,0,0,1,1,0,0,0
PT_030807,4304,3157,43,61,0,852,681,75,200,22,84,77,10,0,0,0,26,1009,0,0,3,6,8,0,0
PT_030808,5838,4157,34,73,0,1066,852,111,306,26,138,96,11,2,2,0,42,1385,0,0,2,2,9,0,0
PT_030857,1231,940,14,14,0,291,154,21,49,10,40,44,1,1,0,0,13,285,0,0,1,0,2,0,0
PT_030881,3279,2491,18,47,0,631,476,51,221,27,94,46,6,4,1,0,23,840,0,0,1,4,1,0,0
PT_030882,2144,1602,24,23,0,532,353,18,108,17,41,105,2,0,1,0,11,355,0,0,2,7,3,0,0
PT_030812,4438,3425,23,46,0,606,477,77,393,20,180,56,4,3,0,0,35,1495,0,0,0,2,8,0,0
PT_030813,8599,6236,57,85,0,1483,1041,124,512,40,244,223,8,8,4,0,64,2328,0,0,1,6,8,0,0
PT_030815,4923,3554,37,49,0,985,786,84,258,32,132,102,3,8,1,0,39,1031,0,0,1,2,4,0,0
