gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,CD&V,SP.A,VLAAMS BELANG,GROEN,PVDA+,PS,MR,CDH,Parti Populaire,ECOLO,PTB-GO!,DEBOUT LES BELGES,FDF,LA DROITE,VEGA,MG,Stand Up USE,CSP,PRO DG,SP,VIVANT,PFF,VB
BE_11037,Rumst,0,10669,310,0,3158,1372,2134,1709,793,982,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_64065,Saint-Georges-sur-Meuse,0,4445,323,0,0,0,0,0,0,0,0,1387,853,374,405,460,317,106,77,109,18,9,7,0,0,0,0,0,0
BE_53070,Saint-Ghislain,0,14463,1321,0,0,0,0,0,0,0,0,5292,2833,1209,737,1048,743,650,318,233,37,18,24,0,0,0,0,0,0
BE_21013,Saint-Gilles / Sint-Gillis,0,17439,1043,0,167,716,114,196,73,527,65,5032,2135,1019,228,3361,1186,618,487,100,261,28,83,0,0,0,0,0,0
BE_84059,Saint-Hubert,0,3931,466,0,0,0,0,0,0,0,0,1094,862,701,225,363,72,45,40,46,6,8,3,0,0,0,0,0,0
BE_21014,Saint-Josse-ten-Noode / Sint-Joost-ten-Node,0,9717,695,0,110,253,90,168,0,262,18,3956,810,1118,119,947,415,329,238,37,58,16,18,0,0,0,0,0,60
BE_85034,Saint-Léger (Virton),0,2327,240,0,0,0,0,0,0,0,0,465,491,521,187,253,39,31,49,26,8,12,5,0,0,0,0,0,0
BE_62093,Saint-Nicolas (Luik) / Saint-Nicolas (Liège),0,12696,811,0,0,0,0,0,0,0,0,5411,1903,772,667,709,1486,341,220,222,112,21,21,0,0,0,0,0,0
BE_82038,Sainte-Ode,0,1670,173,0,0,0,0,0,0,0,0,296,573,350,52,124,24,18,26,18,6,6,4,0,0,0,0,0,0
BE_92137,Sambreville,0,12384,1129,0,0,0,0,0,0,0,0,3627,3156,1031,789,1046,618,390,285,212,50,22,29,0,0,0,0,0,0
BE_63067,Sankt Vith / Saint-Vith,0,6231,697,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,2022,764,529,553,791,0
BE_21015,Schaerbeek / Schaarbeek,0,53007,3645,0,676,2348,578,764,0,1274,139,14233,7652,4897,948,6799,2563,1583,3541,247,582,89,145,0,0,0,0,0,304
BE_11038,Schelle,0,5770,228,0,1849,720,1165,605,498,582,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24134,Scherpenheuvel-Zichem / Montaigu-Zichem,0,16913,1239,0,4299,3335,2991,2100,1420,1191,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11039,Schilde,0,13483,277,0,5394,2917,2107,582,844,1208,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11040,Schoten,0,23474,749,0,8854,3022,3280,2287,2245,2454,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_52063,Seneffe,0,7269,486,0,0,0,0,0,0,0,0,2151,2206,561,364,733,260,164,179,108,18,12,27,0,0,0,0,0,0
BE_62096,Seraing,0,36431,2336,0,0,0,0,0,0,0,0,13942,4801,1992,2006,2613,5820,1020,662,783,313,88,55,0,0,0,0,0,0
BE_55039,Silly / Opzullik,0,5673,372,0,0,0,0,0,0,0,0,1155,1991,754,284,635,104,114,137,73,29,9,16,0,0,0,0,0,0
