gisco_id,name,registered,turnout,invalid,blank,open vld,VLAAMS BELANG,CD&V,SP.A,N-VA,Lijst Dedecker,GROEN!,PVDA+,SLP,LSP,CAP,SP,ECOLO,PFF,CSP,FN,R.W.F.,WALLONIE D'ABORD,PTB+,MS,CAP D'ORAZIO,LCR-PSL,PC-GE,PS,MR,CDH,ProDG,VIVANT,EUROPA der WERTE
BE_K00142,Neerpelt,51632,48551,2897,0,6183,6463,13667,8370,5130,2489,2230,794,195,70,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00143,Neufchâteau,15763,14686,1362,0,0,0,0,0,0,0,0,0,0,0,0,2584,2839,4241,3063,274,105,115,33,10,13,28,19,0,0,0,0,0,0
BE_K00144,Nevele,24157,22593,1268,0,4978,2100,6624,1704,1978,1595,1890,151,220,57,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00145,Nieuport,9300,8338,521,0,1576,958,1667,935,670,1400,474,49,67,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00146,Ninove,42853,39769,2328,0,8560,8004,6574,5217,3440,2965,2115,251,202,75,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00147,Nivelles,100459,89550,5905,0,0,0,0,0,0,0,0,0,0,0,0,15726,21703,30298,9178,2450,1331,1363,517,80,676,194,129,0,0,0,0,0,0
BE_K00149,Ostende,93402,83425,4751,0,15660,11130,11526,14107,6004,12280,5994,587,1032,232,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00209,Oosterzele,46506,43135,2066,0,12627,4454,8678,3670,3730,3180,4011,288,294,71,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00148,Oostrozebeke,12879,12199,875,0,1735,1597,4282,741,1024,1420,389,45,56,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00013,Audenarde,33351,31127,1634,0,9312,3039,7385,2858,2137,2317,2052,155,165,41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00150,Péruwelz,11808,10680,1336,0,0,0,0,0,0,0,0,0,0,0,0,3357,1672,2496,950,483,82,170,58,8,15,23,30,0,0,0,0,0,0
BE_K00151,Paliseul,11262,10425,1149,0,0,0,0,0,0,0,0,0,0,0,0,1928,1892,2433,2510,273,67,94,33,4,9,23,10,0,0,0,0,0,0
BE_K00152,Peer,42261,39799,2340,0,5637,6297,9932,6403,4139,2375,2040,354,158,63,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00153,Perwez,20138,18532,1114,0,0,0,0,0,0,0,0,0,0,0,0,3007,4712,6023,2727,315,202,274,62,9,34,36,17,0,0,0,0,0,0
BE_K00154,Philippeville,12467,11496,1225,0,0,0,0,0,0,0,0,0,0,0,0,2634,1891,3286,1396,461,273,200,73,13,15,15,14,0,0,0,0,0,0
BE_K00155,Poperinge,15469,14271,972,0,2376,1480,4489,1269,960,1739,759,69,99,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
