gisco_id,name,registered,turnout,invalid,blank,Latvijas Sociālistiskā partija,Tautas partija,Konservatīvā partija,Latgales Gaisma,"Apvienība ""Tēvzemei un Brīvībai""/LNNK","Politisko organizāciju apvienība ""Par cilvēka tiesībām vienotā Latvijā""","""Apvienotā sociāldemokrātiskā labklājības partija""",Tautas saskaņas partija,"""Zaļo un Zemnieku savienība""","""Latvijas Pirmā Partija""",Latvijas Sociāldemokrātiskā strādnieku partija,"""Jaunais laiks""","Savienība ""Latvijas ceļš""",Kristīgi demokrātiskā savienība (KDS),"Politiskā organizācija (partija) ""Eiroskeptiķi""","""Sociāldemokrātu savienība - SDS"""
LV_7876,Ozolaines pagasts,1334,346,0,0,25,5,11,13,35,102,11,66,13,7,23,25,5,1,1,3
LV_7878,Ozolmuižas pagasts,762,251,0,0,16,18,8,5,44,48,4,28,19,5,15,21,12,1,5,2
LV_5466,Ozolnieku pag.,4565,1790,0,0,18,129,34,2,575,95,38,22,160,76,64,441,110,5,13,8
LV_7082,Ošupes pagasts,1033,312,0,0,0,16,5,2,113,1,3,0,23,2,29,97,17,0,2,2
LV_6272,Padures pagasts,817,241,0,0,1,27,2,0,118,0,0,0,12,8,7,55,8,0,3,0
LV_9474,Palsmanes pagasts,783,430,0,0,6,54,2,1,188,6,2,0,42,21,18,51,34,0,4,1
LV_8476,Pampāļu pagasts,519,167,0,0,1,29,3,1,64,0,0,0,16,13,13,17,10,0,0,0
LV_6884,Pasienes pagasts,494,148,0,0,32,5,4,17,6,26,6,17,4,5,10,4,7,2,1,2
LV_3680,Pededzes pagasts,550,330,0,0,22,16,7,5,36,91,11,19,34,5,7,27,28,6,3,13
LV_6274,Pelču pagasts,754,308,0,0,1,37,4,1,112,2,1,1,14,14,12,84,21,1,1,2
LV_7656,Pelēču pagasts,681,241,0,0,4,15,8,15,57,11,0,7,12,6,23,55,19,3,3,3
LV_4684,Penkules pagasts,738,275,0,0,1,23,4,0,100,0,3,2,37,7,24,50,22,1,1,0
LV_6084,Piedrujas pagasts,349,103,0,0,15,4,2,10,4,26,0,30,4,1,1,2,2,2,0,0
LV_6886,Pildas pagasts,539,213,0,0,55,6,4,1,16,58,1,11,3,1,30,14,12,0,0,1
LV_3274,Pilskalnes pagasts,366,128,0,0,0,12,2,0,43,1,1,0,7,9,15,24,9,1,0,4
LV_9833,Piltenes l.t.,1310,489,0,0,7,24,13,0,198,4,1,4,40,15,17,149,13,1,2,1
LV_5470,Platones pagasts,1131,356,0,0,4,25,8,0,131,8,8,3,30,24,22,57,24,1,7,4
LV_9476,Plāņu pagasts,481,207,0,0,1,14,15,1,57,11,1,4,13,18,13,35,22,0,2,0
LV_9856,Popes pagasts,836,350,0,0,1,17,6,0,160,2,1,2,35,18,3,68,33,0,2,2
LV_7086,Praulienas pagasts,1331,516,0,0,2,87,6,3,158,5,6,2,21,8,38,128,38,1,9,4
LV_7601,Preiļi,7728,3249,0,0,99,340,82,94,555,478,33,314,122,74,311,495,193,14,32,13
LV_6415,Priekule,2095,966,0,0,8,91,9,4,377,7,2,11,61,47,42,249,37,8,8,5
LV_4272,Priekuļu pagasts,3676,1535,0,0,11,135,22,4,588,21,1,13,89,50,47,436,91,2,22,3
LV_6888,Pureņu pagasts,382,130,0,0,26,6,9,4,15,12,0,4,10,5,8,14,15,2,0,0
LV_9860,Puzes pagasts,801,314,0,0,0,12,7,0,161,0,0,2,15,13,3,73,21,1,6,0
LV_7880,Pušas pagasts,452,153,0,0,6,11,7,5,33,1,1,19,10,3,29,14,12,0,1,1
LV_6890,Pušmucovas pagasts,530,219,0,0,28,16,10,18,26,2,8,6,21,4,24,31,14,3,3,5
LV_LVYY99,Pasta balsošana,3215,2574,0,0,4,204,4,18,1086,15,5,27,129,39,30,617,355,22,13,6
LV_6668,Pāles pagasts,681,210,0,0,2,19,2,0,73,1,0,0,5,5,13,76,11,0,3,0
LV_6413,Pāvilosta,908,477,0,0,0,51,7,1,254,4,0,0,6,16,11,99,23,1,3,1
LV_3213,Pļaviņas,2541,1017,0,0,11,70,32,4,302,61,18,33,37,46,63,223,96,8,8,5
LV_9074,Pūres pagasts,1257,463,0,0,5,23,4,1,185,1,0,0,41,23,14,128,37,0,1,0
LV_4274,Raiskuma pagasts,1228,555,0,0,3,79,6,1,195,2,1,2,36,13,17,135,59,2,4,0
LV_9676,Ramatas pagasts,396,168,0,0,1,4,2,0,54,2,0,1,14,15,2,55,14,1,3,0
LV_5084,Rankas pagasts,1239,431,0,0,4,28,12,1,161,4,3,3,27,17,17,104,37,1,11,1
LV_4276,Raunas pagasts,2282,879,0,0,4,72,12,5,357,9,1,1,62,15,37,233,64,2,5,0
LV_6278,Raņķu pagasts,399,145,0,0,0,18,8,1,41,1,0,0,10,12,8,35,10,0,0,1
LV_9678,Rencēnu pagasts,1318,530,0,0,5,58,7,2,214,6,2,1,38,14,23,117,29,2,8,4
LV_6280,Rendas pagasts,893,342,0,0,0,29,10,0,116,0,2,2,27,10,19,84,31,1,9,2
LV_7662,Riebiņu pagasts,1204,492,0,0,47,19,16,13,80,83,6,68,40,10,18,69,18,1,2,2
LV_7882,Rikavas pagasts,721,382,0,0,15,4,4,2,37,77,1,54,52,15,48,39,28,2,3,1
LV_5680,Rites pagasts,439,141,0,0,0,18,13,0,33,3,2,3,11,1,10,27,16,2,2,0
LV_6086,Robežnieku pagasts,724,297,0,0,39,11,19,25,5,62,8,43,49,8,2,7,8,5,2,4
LV_8882,Rojas pagasts,3490,1441,0,0,7,128,20,0,591,7,4,2,32,92,48,408,79,5,17,1
LV_8084,Ropažu novads,4044,1486,0,0,13,118,32,7,481,50,47,24,96,44,93,349,100,7,22,3
LV_8482,Rubas pagasts,673,254,0,0,1,40,6,1,86,1,1,0,24,11,9,50,21,2,0,1
LV_5682,Rubenes pagasts,1012,398,0,0,5,39,4,3,153,3,1,3,32,12,25,97,14,2,4,1
LV_6484,Rucavas pagasts,1060,414,0,0,2,33,2,0,179,2,1,0,53,8,18,93,20,1,2,0
LV_6282,Rudbāržu pagasts,867,375,0,0,2,40,1,1,154,4,1,1,17,16,14,91,17,1,12,3
LV_7668,Rudzātu pagasts,770,295,0,0,1,13,3,7,99,5,1,4,51,10,30,63,5,1,2,0
LV_3874,Rugāju pagasts,1329,440,0,0,2,42,6,11,120,16,2,3,79,20,35,70,29,0,4,1
LV_6284,Rumbas pagasts,1242,439,0,0,4,62,11,0,157,4,0,0,14,28,14,106,32,1,2,4
LV_4076,Rundāles pagasts,1404,592,0,0,4,57,14,0,215,16,5,5,32,12,32,141,37,4,13,5
LV_6892,Rundēnu pagasts,505,214,0,0,49,3,7,6,8,104,1,16,2,3,2,6,2,3,0,2
LV_7670,Rušonu pagasts,1366,496,0,0,9,31,21,51,102,30,5,14,33,28,36,97,24,5,10,0
LV_2100,Rēzekne,26096,10130,0,0,592,258,176,137,1501,2945,148,1797,348,230,769,727,382,43,44,33
LV_0100,Rīga,379049,165139,0,0,1944,8465,2010,405,45475,30380,7533,10961,3193,3894,6388,31825,10100,590,1565,411
LV_9615,Rūjiena,2951,1416,0,0,5,177,11,1,501,5,1,4,86,61,42,417,83,7,9,6
LV_8813,Sabile,2458,860,0,0,2,96,25,0,321,3,0,3,35,16,45,191,75,5,19,24
LV_6486,Sakas pagasts,520,236,0,0,1,26,6,0,120,1,0,2,17,10,8,34,7,1,3,0
LV_7886,Sakstagala pagasts,1158,353,0,0,20,11,6,7,63,45,2,46,66,9,41,24,11,1,1,0
LV_6635,Salacgrīvas l.t.,4390,1798,0,0,1,171,32,2,592,11,2,7,106,64,75,529,184,4,16,2
LV_5686,Salas pagasts,2203,807,0,0,8,53,26,5,281,15,7,13,46,37,65,184,57,2,5,3
LV_8088,Salas pagasts,946,335,0,0,0,22,20,0,116,5,15,1,10,13,12,83,27,5,5,1
LV_8011,Salaspils,4050,1723,0,0,31,77,39,12,381,404,144,114,39,42,84,261,68,2,17,8
LV_8031,Salaspils l.t.,6045,2594,0,0,21,172,31,4,859,239,71,69,67,76,114,617,194,13,28,19
LV_8401,Saldus,9154,3664,0,0,16,415,50,4,1245,35,10,20,119,117,228,1083,283,11,23,5
LV_8486,Saldus pagasts,1210,456,0,0,2,57,6,2,129,0,2,3,21,13,23,154,34,4,6,0
LV_4484,Salienas pagasts,569,266,0,0,5,4,15,37,7,81,4,49,7,4,7,4,26,2,5,9
LV_6894,Salnavas pagasts,803,256,0,0,10,15,6,3,57,8,3,5,32,8,30,47,22,5,2,3
