gisco_id,name,registered,turnout,invalid,blank,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,MI HAZÁNK MOZGALOM,MAGYAR KÉTFARKÚ KUTYA PÁRT,NORMÁLIS ÉLET PÁRTJA,MEGOLDÁS MOZGALOM,ORSZÁGOS LENGYEL ÖNKORMÁNYZAT,ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT,MAGYARORSZÁGI GÖRÖGÖK ORSZÁGOS ÖNKORMÁNYZATA,MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA,ORSZÁGOS HORVÁT ÖNKORMÁNYZAT,BOLGÁR ORSZÁGOS ÖNKORMÁNYZAT,ORSZÁGOS RUSZIN ÖNKORMÁNYZAT,UKRÁN ORSZÁGOS ÖNKORMÁNYZAT,ORSZÁGOS SZLOVÁK ÖNKORMÁNYZAT,SZERB ORSZÁGOS ÖNKORMÁNYZAT,MAGYARORSZÁGI ROMÁNOK ORSZÁGOS ÖNKORMÁNYZATA,ORSZÁGOS SZLOVÉN ÖNKORMÁNYZAT
HU_11022,Zsujta,143,100,0,0,77,19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_19105,Zubogy,400,276,0,0,116,122,29,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0
HU_20969,Gibárt,288,200,2,0,119,53,16,6,1,2,0,0,0,1,0,0,0,0,0,0,0,0
HU_34245,Algyő,4302,3078,29,0,1375,1258,240,110,27,36,0,0,0,1,0,0,0,0,1,0,1,0
HU_16197,Ambrózfalva,359,230,6,0,110,88,17,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0
HU_14252,Apátfalva,2328,1450,35,0,866,374,117,23,8,4,0,0,0,0,0,0,0,0,0,0,23,0
HU_19062,Árpádhalom,355,255,0,0,155,69,18,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0
HU_10339,Ásotthalom,3109,1945,42,0,902,373,576,39,6,7,0,0,0,0,0,0,0,0,0,0,0,0
HU_29106,Baks,1517,852,13,0,508,260,44,14,4,9,0,0,0,0,0,0,0,0,0,0,0,0
HU_23676,Balástya,2662,1729,18,0,1050,420,149,55,11,26,0,0,0,0,0,0,0,0,0,0,0,0
HU_08192,Bordány,2602,1749,11,0,992,485,174,48,16,23,0,0,0,0,0,0,0,0,0,0,0,0
HU_02121,Csanádalberti,348,225,0,0,150,56,10,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_05379,Csanádpalota,2220,1444,19,0,848,391,118,36,7,11,0,0,0,0,0,0,0,0,0,0,14,0
HU_22293,Csanytelek,2094,1252,11,0,781,377,56,20,4,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_32285,Csengele,1472,1056,17,0,715,206,83,18,13,4,0,0,0,0,0,0,0,0,0,0,0,0
HU_05111,Csongrád,12792,8914,86,0,5134,2526,802,243,45,77,1,0,0,0,0,0,0,0,0,0,0,0
HU_07834,Derekegyház,1149,784,10,0,403,243,85,19,9,14,0,0,1,0,0,0,0,0,0,0,0,0
HU_24077,Deszk,3063,2212,14,0,960,909,158,90,19,40,0,0,0,0,0,0,0,0,0,22,0,0
HU_13383,Domaszék,3948,2738,24,0,1516,831,229,88,12,37,0,0,0,1,0,0,0,0,0,0,0,0
HU_30535,Dóc,580,384,2,0,252,91,23,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0
HU_22992,Eperjes,368,258,7,0,173,61,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_19974,Fábiánsebestyén,1548,1094,15,0,593,334,107,22,12,11,0,0,0,0,0,0,0,0,0,0,0,0
HU_22646,Felgyő,942,652,4,0,393,160,71,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_18999,Ferencszállás,525,356,8,0,175,120,23,19,4,6,0,0,0,0,0,0,0,0,0,1,0,0
HU_33020,Forráskút,1625,1137,14,0,707,286,83,28,9,10,0,0,0,0,0,0,0,0,0,0,0,0
HU_09210,Földeák,2452,1735,29,0,1012,519,129,33,6,7,0,0,0,0,0,0,0,0,0,0,0,0
HU_08314,Hódmezővásárhely,35874,27350,279,0,12325,12165,1522,716,151,184,0,0,2,2,3,0,0,0,0,0,1,0
HU_13666,Királyhegyes,473,347,4,0,234,70,31,1,2,3,0,0,0,0,0,0,0,0,0,0,2,0
HU_31024,Kistelek,5861,3909,40,0,2099,1293,335,90,23,29,0,0,0,0,0,0,0,0,0,0,0,0
HU_26666,Kiszombor,3071,2034,25,0,1070,690,158,54,19,18,0,0,0,0,0,0,0,0,0,0,0,0
HU_08253,Klárafalva,417,257,3,0,147,83,13,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_09955,Kövegy,295,208,2,0,138,49,11,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_14410,Kübekháza,1217,746,8,0,359,285,52,20,9,13,0,0,0,0,0,0,0,0,0,0,0,0
HU_05962,Magyarcsanád,1019,633,9,0,451,110,45,5,3,2,0,0,0,0,0,0,0,0,0,3,5,0
HU_07357,Makó,18157,12795,190,0,6645,4321,1081,296,104,142,0,0,0,1,0,0,0,0,0,0,15,0
HU_10515,Maroslele,1660,1160,12,0,718,309,75,25,9,12,0,0,0,0,0,0,0,0,0,0,0,0
HU_25733,Mártély,1009,790,12,0,462,232,56,24,3,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_21555,Mindszent,5315,3427,28,0,1966,927,353,104,14,35,0,0,0,0,0,0,0,0,0,0,0,0
HU_04349,Mórahalom,5034,3685,46,0,2150,898,447,85,23,33,0,0,0,2,0,0,0,0,0,1,0,0
HU_20914,Nagyér,382,223,1,0,136,62,19,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_12779,Nagylak,349,258,2,0,167,51,13,7,5,1,0,0,0,0,0,0,0,0,0,0,12,0
HU_17233,Nagymágocs,2253,1381,25,0,776,380,150,18,7,25,0,0,0,0,0,0,0,0,0,0,0,0
HU_29179,Nagytőke,317,211,1,0,156,30,20,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_07755,Óföldeák,364,260,10,0,163,62,20,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_12797,Ópusztaszer,1534,929,14,0,493,275,96,23,13,15,0,0,0,0,0,0,0,0,0,0,0,0
HU_31079,Öttömös,534,377,1,0,205,115,46,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_06284,Pitvaros,1061,759,5,0,408,281,38,12,3,6,0,0,0,0,0,0,0,0,6,0,0,0
HU_06354,Pusztamérges,863,568,7,0,363,141,37,8,10,2,0,0,0,0,0,0,0,0,0,0,0,0
