gisco_id,name,registered,turnout,invalid,blank,LEHET MÁS A POLITIKA,MSZP,"FIDESZ,KDNP",Jobbik,MDF,"MDF,SZDSZ",Független jelölt,ÖSSZEFOGÁS PÁRT,Független Kisgazdapárt,TORGYÁN-KISGAZDA-KOALÍCIÓ,MUNKÁSPÁRT,CIVILEK,MIÉP,Ind.,MSZDP,MCF ROMA ÖSSZEFOGÁS PÁRT,ZÖLD BALOLDAL,"FIDESZ,KDNP,Vállalkozók Pártja",SOMOGYÉRT,"ÖSSZEFOGÁS MEGYÉNKÉRT,MDF",MESZ
HU_2831,Bábonymegyer,666,326,4,0,0,55,169,94,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2445,Bálványos,462,216,3,0,13,29,116,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
HU_0373,Bárdudvarnok,943,577,7,0,42,116,325,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2071,Bedegkér,367,170,4,0,0,34,104,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1712,Beleg,471,260,6,0,0,18,141,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,0,0
HU_3011,Berzence,2015,1227,14,0,0,141,841,196,0,0,0,0,0,2,0,0,0,0,0,0,0,0,33,0,0
HU_0691,Bélavár,325,188,3,0,0,9,107,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0
HU_1050,Bodrog,352,227,2,0,14,35,141,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1399,Bolhás,375,192,3,0,0,27,115,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
HU_1812,Bolhó,613,335,9,0,0,25,219,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0
HU_2267,Bonnya,222,136,1,0,0,26,84,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2653,Böhönye,1874,888,5,0,0,157,500,161,0,0,0,0,0,14,0,0,0,0,0,0,0,0,51,0,0
HU_2627,Bõszénfa,431,246,3,0,10,55,149,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
