gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,JOBBIK,MSZP-EGYÜTT-DK-PM-MLP,LMP,ZÖLDEK PÁRTJA,SEM,KTI,MUNKÁSPÁRT,SZOCIÁLDEMOKRATÁK,FÜGGETLEN KISGAZDAPÁRT,JESZ,EGYÜTT 2014,A HAZA NEM ELADÓ MOZGALOM PÁRT,SERES MÁRIA SZÖVETSÉGESEI,ÖSSZEFOGÁS,ÚDP,MCP,ÚMP
HU_28857,Kutas,1170,641,7,0,296,200,109,15,0,0,1,6,1,0,1,2,0,1,0,0,2,0
HU_16258,Lad,498,246,5,0,123,66,43,2,0,0,0,3,0,0,1,2,1,0,0,0,0,0
HU_11040,Lakócsa,444,182,2,0,82,32,26,6,2,0,0,0,2,0,0,0,0,0,0,0,3,0
HU_28291,Lábod,1601,717,10,0,308,224,136,19,1,1,1,6,5,0,0,1,1,1,0,1,1,1
HU_14863,Látrány,1109,652,6,0,283,215,110,18,2,3,3,5,0,0,1,1,2,2,1,0,0,0
HU_26675,Lengyeltóti,2457,1339,5,0,576,372,317,36,5,1,2,10,2,0,1,3,3,0,4,1,0,1
HU_32355,Libickozma,27,19,0,0,12,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_10010,Lulla,165,105,3,0,68,8,15,4,0,1,1,1,0,0,1,0,2,1,0,0,0,0
HU_10427,Magyaratád,709,434,3,0,202,118,78,17,2,1,6,4,1,0,0,1,0,1,0,0,0,0
HU_25371,Magyaregres,507,279,0,0,141,54,60,13,1,0,0,3,0,2,0,1,2,1,0,0,1,0
HU_18500,Marcali,11160,6873,37,0,2767,1728,1811,299,26,11,21,25,13,13,14,13,55,34,4,0,0,1
HU_23630,Mernye,1181,701,4,0,280,185,192,24,5,0,0,3,2,1,0,2,1,1,0,1,0,0
HU_16106,Mesztegnyő,1061,605,3,0,243,211,120,10,3,0,0,4,2,0,1,0,3,4,1,0,0,0
HU_30854,Mezőcsokonya,961,425,5,0,206,87,99,19,0,0,1,1,1,1,0,1,1,0,1,0,2,0
HU_20905,Mike,475,209,3,0,106,53,34,7,0,0,0,3,2,0,0,0,0,0,0,0,1,0
HU_33376,Miklósi,186,120,0,0,60,42,6,4,3,1,0,1,0,0,2,0,1,0,0,0,0,0
HU_31343,Mosdós,761,441,2,0,206,129,80,13,0,0,1,1,0,2,1,2,0,3,0,0,1,0
HU_17941,Nagyatád,9187,5735,52,0,2031,1510,1732,228,9,7,12,29,10,4,5,14,25,42,7,0,10,1
HU_21652,Nagybajom,2520,1118,11,0,473,361,225,20,3,1,3,4,4,1,2,1,1,3,3,0,2,0
HU_29063,Nagyberény,1094,538,0,0,266,149,93,9,2,3,1,1,0,1,0,4,1,6,0,0,1,1
HU_21449,Nagyberki,1168,631,5,0,238,201,140,18,3,0,3,2,2,1,1,5,7,5,0,0,0,0
HU_20598,Nagycsepely,298,199,3,0,107,31,34,10,1,0,0,1,3,0,0,2,4,2,1,0,0,0
HU_32805,Nagykorpád,455,249,2,0,145,53,42,3,1,0,0,0,2,0,0,1,0,0,0,0,0,0
HU_25520,Nagyszakácsi,344,175,3,0,75,36,48,5,1,0,0,2,0,1,0,0,0,1,1,0,2,0
HU_15909,Nágocs,482,233,1,0,89,70,41,17,0,2,4,3,1,0,0,1,1,3,0,0,0,0
HU_07913,Nemesdéd,508,230,5,0,141,56,22,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0
HU_25511,Nemeskisfalud,83,47,1,0,31,7,2,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0
HU_17561,Nemesvid,531,261,2,0,144,76,29,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0
HU_10959,Nikla,542,301,1,0,181,65,42,7,2,0,0,3,0,0,0,0,0,0,0,0,0,0
HU_03203,Nyim,241,112,2,0,61,18,23,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HU_24536,Orci,462,265,1,0,96,59,93,7,1,0,2,0,0,1,2,1,1,1,0,0,0,0
HU_16823,Ordacsehi,657,384,2,0,221,89,58,10,1,1,0,0,0,0,0,1,1,0,0,0,0,0
HU_19770,Osztopán,602,333,7,0,175,61,76,5,0,0,1,5,0,1,0,0,1,0,0,0,0,0
HU_07056,Öreglak,1178,543,1,0,278,113,123,12,2,0,0,2,2,3,1,2,3,0,0,1,0,0
HU_32115,Ötvöskónyi,662,325,7,0,162,69,70,9,0,0,2,1,0,0,0,0,0,3,2,0,0,0
HU_14012,Őrtilos,428,240,5,0,139,62,21,4,1,0,0,0,0,2,0,3,3,0,0,0,0,0
