gisco_id,name,registered,turnout,invalid,blank,SZDSZ-A MAGYAR LIBERÁLIS PÁRT,MIÉP-Jobbik,"FIDESZ,KDNP",MDF,MSZP,MUNKÁSPÁRT,CENTRUM,ZÖLDEK PÁRTJA,Független jelölt,SZOCIÁLDEMOKRATA PÁRT,MCF ROMA ÖSSZEFOGÁS PÁRT,ZÖLDEK SZÖVETSÉGE,MVPP,KERESZTÉNYDEMOKRATAPÁRT,MUNKÁSPÁRT 2006,FÜGGETLEN KISGAZDA NEMZETI E.P,FÜGGETLEN KISGAZDAPÁRT,"MSZP,SZDSZ-A MAGYAR LIBERÁLIS PÁRT","SZDSZ-A MAGYAR LIBERÁLIS PÁRT,MSZP",M NY P,"MDF,M NY P",LÉTALAP PÁRT,ÉLÕLÁNC,"MDF,FIDESZ,KDNP",SOMOGYÉRT,"MDF,ÖSSZEFOGÁS MEGYÉNKÉRT",MESZ
HU_2608,Cserdi,258,143,4,0,2,2,51,3,50,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0389,Cserkút,385,290,1,0,13,6,95,5,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1385,Csertõ,306,200,3,0,8,5,78,18,84,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2257,Csonkamindszent,139,102,0,0,0,1,67,2,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1108,Cún,195,117,4,0,0,0,44,2,64,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0777,Dencsháza,484,270,2,0,20,9,82,6,144,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1195,Dinnyeberki,78,62,1,0,4,0,35,1,17,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3237,Diósviszló,564,363,4,0,7,0,208,32,107,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2861,Drávacsehi,175,133,1,0,5,0,46,9,69,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2812,Drávacsepely,187,146,4,0,10,0,58,7,64,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1741,Drávafok,432,262,4,0,4,10,108,15,112,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3239,Drávaiványi,156,113,3,0,3,0,24,1,81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0915,Drávakeresztúr,121,76,4,0,1,1,34,0,34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2273,Drávapalkonya,219,139,4,0,8,0,42,14,68,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1238,Drávapiski,74,48,0,0,0,0,12,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2860,Drávaszabolcs,540,363,5,0,16,0,111,44,179,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3003,Drávaszerdahely,177,127,1,0,9,0,66,7,40,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2169,Drávasztára,404,243,5,0,4,0,106,3,124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0918,Dunaszekcsõ,1776,1100,8,0,33,0,594,46,403,10,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2891,Egerág,817,495,7,0,21,0,190,24,245,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1649,Egyházasharaszti,251,162,6,0,1,0,58,54,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2740,Egyházaskozár,708,489,3,0,19,0,126,21,314,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_0609,Ellend,210,158,2,0,3,0,71,11,67,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2827,Endrõc,338,222,11,0,8,2,83,7,82,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2582,Erdõsmárok,79,50,1,0,0,0,21,5,20,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1870,Erdõsmecske,343,186,1,0,58,0,75,5,44,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1349,Erzsébet,266,183,1,0,37,0,80,12,51,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1783,Fazekasboda,183,104,0,0,12,0,36,30,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0454,Feked,192,153,3,0,39,0,58,7,41,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1328,Felsõegerszeg,125,78,0,0,3,0,27,3,39,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0881,Felsõszentmárton,903,629,3,0,12,13,204,13,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0756,Garé,252,158,5,0,9,0,32,10,96,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1275,Gerde,415,249,2,0,7,2,116,10,108,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0285,Geresdlak,774,500,5,0,16,0,122,263,89,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1334,Gerényes,197,104,4,0,3,0,33,2,59,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_1833,Gilvánfa,223,104,1,0,5,0,51,0,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3308,Gordisa,224,125,3,0,6,0,47,12,54,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3323,Gödre,780,451,9,0,9,0,225,24,172,3,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
HU_3043,Görcsöny,1435,890,20,0,37,0,237,26,504,0,0,0,0,0,57,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
HU_0963,Görcsönydoboka,364,217,1,0,3,0,92,17,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1831,Gyód,512,333,5,0,17,0,122,6,181,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_2840,Gyöngyfa,95,67,1,0,1,0,33,5,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2266,Gyöngyösmellék,232,155,1,0,4,6,61,4,57,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2152,Harkány,3109,2280,26,0,76,0,1222,295,630,0,0,0,0,0,0,5,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2788,Hásságy,254,198,7,0,9,0,109,12,59,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3095,Hegyhátmaróc,177,123,1,0,3,0,31,3,83,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_2102,Hegyszentmárton,358,208,0,0,4,0,136,5,61,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1719,Helesfa,317,160,13,0,3,4,56,2,78,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0712,Hetvehely,387,288,5,0,11,4,93,9,162,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0679,Hidas,1859,1244,10,0,255,0,595,38,330,12,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2793,Himesháza,994,679,8,0,26,0,339,69,228,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0328,Hirics,169,80,0,0,1,0,19,3,55,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3393,Hobol,801,522,10,0,34,6,209,12,245,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2996,Homorúd,578,345,8,0,11,0,218,16,87,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2307,Horváthertelend,61,48,0,0,1,0,15,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3083,Hosszúhetény,2660,1853,14,0,82,0,804,76,852,11,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
HU_3143,Husztót,64,42,1,0,0,0,18,1,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3306,Ibafa,182,124,0,0,11,3,52,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3193,Illocska,192,132,2,0,0,0,33,5,89,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2994,Ipacsfa,191,134,0,0,5,0,63,24,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0333,Ivánbattyán,119,88,0,0,0,0,22,2,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0334,Ivándárda,220,154,0,0,9,0,47,6,83,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0429,Kacsóta,227,157,5,0,7,0,59,10,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0696,Katádfa,123,86,4,0,6,2,36,4,28,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0641,Kákics,184,100,1,0,3,0,53,3,35,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0599,Kárász,298,211,1,0,11,0,89,10,93,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_1746,Kásád,301,186,4,0,8,0,58,27,87,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1913,Kátoly,317,205,2,0,19,0,67,16,97,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0678,Kemse,58,45,0,0,1,0,33,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0383,Keszü,857,652,2,0,46,0,246,39,303,0,0,0,0,0,9,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_1680,Kékesd,170,124,0,0,21,0,52,15,34,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1054,Kémes,423,286,3,0,6,0,118,24,134,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0857,Kétújfalu,561,404,4,0,18,2,188,7,181,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2055,Királyegyháza,821,503,6,0,19,14,233,18,207,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1890,Kisasszonyfa,167,104,0,0,1,0,46,0,54,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0572,Kisbeszterce,75,38,0,0,0,0,16,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2286,Kisbudmér,95,65,0,0,0,0,43,5,14,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1118,Kisdér,93,73,1,0,2,0,37,1,30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3390,Kisdobsza,205,138,2,0,5,4,86,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0683,Kishajmás,167,106,1,0,3,0,35,2,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2702,Kisharsány,423,239,2,0,8,0,96,31,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1697,Kisherend,182,114,2,0,7,0,40,10,50,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1284,Kisjakabfalva,139,101,0,0,3,0,59,4,33,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1991,Kiskassa,226,148,1,0,5,0,37,5,96,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2161,Kislippó,244,188,2,0,6,0,54,8,112,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3321,Kisnyárád,192,140,0,0,13,0,36,9,76,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0865,Kisszentmárton,216,139,3,0,4,0,57,1,68,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1235,Kistamási,97,65,1,0,3,2,24,0,27,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0315,Kistapolca,165,90,1,0,7,0,36,5,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1074,Kistótfalu,290,206,1,0,4,0,63,23,113,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0954,Kisvaszar,236,145,5,0,3,0,70,4,59,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
