gisco_id,name,registered,turnout,invalid,blank,FÜGGETLEN KISGAZDAPÁRT,CENTRUM,MUNKÁSPÁRT,MSZP,SZDSZ,MIÉP,FIDESZ MDF,SZABAD DEMOKRATÁK SZÖVETSÉGE,FIDESZ-MDF,MAGYAR IGAZSÁG ÉS ÉLET PÁRJA,MAGYAR SZOCIALISTA PÁRT,REFORM KISGAZDAPÁRT,ÚJ-BAL,MAVEP,MAGYAR  SZOCIALISTA PÁRT,MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA,ÚJ BALOLDAL,RKGP,MRP,SZOCIÁLDEMOKRATA PÁRT,KISGAZDAPÁRT,ÚJ BAL
HU_3086,Ráksi,404,284,5,0,4,7,8,0,0,5,0,6,121,0,128,0,0,0,0,0,0,0,0,0,0,0
HU_0507,Rinyabesenyõ,157,86,3,0,0,8,0,0,0,0,0,1,51,0,23,0,0,0,0,0,0,0,0,0,0,0
HU_3267,Rinyakovácsi,134,84,2,0,1,1,5,0,0,2,0,2,59,0,12,0,0,0,0,0,0,0,0,0,0,0
HU_2675,Rinyaszentkirály,327,202,4,0,4,22,6,0,0,2,0,7,66,0,91,0,0,0,0,0,0,0,0,0,0,0
HU_2062,Rinyaújlak,260,194,3,0,4,21,8,0,0,2,0,3,69,0,84,0,0,0,0,0,0,0,0,0,0,0
HU_2032,Rinyaújnép,51,36,2,0,0,4,2,0,0,0,0,0,7,0,21,0,0,0,0,0,0,0,0,0,0,0
HU_1494,Ságvár,1400,894,10,0,16,22,23,0,0,25,0,28,426,0,344,0,0,0,0,0,0,0,0,0,0,0
HU_3112,Sántos,501,351,1,0,5,12,5,0,0,13,0,12,112,0,191,0,0,0,0,0,0,0,0,0,0,0
HU_0205,Sávoly,458,260,4,0,4,2,5,0,0,2,0,12,132,0,99,0,0,0,0,0,0,0,0,0,0,0
HU_2736,Segesd,2092,937,21,0,22,89,13,0,0,33,0,26,345,0,388,0,0,0,0,0,0,0,0,0,0,0
HU_3213,Sérsekszõlõs,136,105,0,0,1,4,2,0,0,1,0,0,47,0,50,0,0,0,0,0,0,0,0,0,0,0
HU_3278,Simonfa,314,211,7,0,1,19,7,0,0,6,0,16,90,0,65,0,0,0,0,0,0,0,0,0,0,0
HU_1763,Siófok,19301,13857,112,0,121,837,198,0,0,561,0,571,6082,0,5375,0,0,0,0,0,0,0,0,0,0,0
HU_2309,Siójut,438,301,9,0,12,11,8,0,0,10,0,4,138,0,109,0,0,0,0,0,0,0,0,0,0,0
HU_0412,Som,531,340,7,0,7,6,20,0,0,4,0,11,144,0,141,0,0,0,0,0,0,0,0,0,0,0
HU_1382,Somodor,347,241,5,0,0,0,35,0,0,5,0,5,77,0,114,0,0,0,0,0,0,0,0,0,0,0
HU_3058,Somogyacsa,206,140,1,0,2,2,2,0,0,9,0,4,78,0,42,0,0,0,0,0,0,0,0,0,0,0
HU_0550,Somogyaracs,151,108,2,0,2,12,3,0,0,3,0,3,45,0,38,0,0,0,0,0,0,0,0,0,0,0
HU_3121,Somogyaszaló,603,449,8,0,5,18,32,0,0,7,0,8,169,0,202,0,0,0,0,0,0,0,0,0,0,0
HU_3247,Somogybabod,431,313,0,0,4,9,5,0,0,2,0,14,136,0,143,0,0,0,0,0,0,0,0,0,0,0
