gisco_id,id,name_or,level,start_date,end_date,predecessors,parent,names,type
AT_40699,AT_40699,Briefwahlkarten - Freistadt,,,,,AT313,,Postal Vote
AT_40799,AT_40799,Briefwahlkarten - Gmunden,,,,,AT315,,Postal Vote
AT_40899,AT_40899,Briefwahlkarten - Grieskirchen,,,,,AT311,,Postal Vote
AT_40999,AT_40999,Briefwahlkarten - Kirchdorf an der Krems,,,,,AT314,,Postal Vote
AT_41099,AT_41099,Briefwahlkarten - Linz-Land,,,,,AT312,,Postal Vote
AT_41199,AT_41199,Briefwahlkarten - Perg,,,,,AT313,,Postal Vote
AT_41299,AT_41299,Briefwahlkarten - Ried im Innkreis,,,,,AT311,,Postal Vote
AT_41399,AT_41399,Briefwahlkarten - Rohrbach,,,,,AT313,,Postal Vote
AT_41499,AT_41499,Briefwahlkarten - Schärding,,,,,AT311,,Postal Vote
AT_41599,AT_41599,Briefwahlkarten - Steyr-Land,,,,,AT314,,Postal Vote
AT_41699,AT_41699,Briefwahlkarten - Urfahr-Umgebung,,,,,AT312,,Postal Vote
AT_41799,AT_41799,Briefwahlkarten - Vöcklabruck,,,,,AT315,,Postal Vote
AT_41899,AT_41899,Briefwahlkarten - Wels-Land,,,,,AT312,,Postal Vote
AT_49999,AT_49999,Wahlkarten,,,,,AT311,,Postal Vote
AT_4A099,AT_4A099,Wahlkarten Linz und Umgebung,,,,,AT311,,Postal Vote
AT_4A999,AT_4A999,Wahlkarten,,,,,AT311,,Postal Vote
AT_4B099,AT_4B099,Wahlkarten - Innviertel,,,,,AT311,,Postal Vote
AT_4B999,AT_4B999,Wahlkarten,,,,,AT311,,Postal Vote
AT_4C099,AT_4C099,Wahlkarten - Hausruckviertel,,,,,AT311,,Postal Vote
AT_4C999,AT_4C999,Wahlkarten,,,,,AT311,,Postal Vote
AT_4D099,AT_4D099,Wahlkarten - Traunviertel,,,,,AT311,,Postal Vote
AT_4D999,AT_4D999,Wahlkarten,,,,,AT311,,Postal Vote
AT_4E099,AT_4E099,Wahlkarten - Mühlviertel,,,,,AT311,,Postal Vote
AT_4E999,AT_4E999,Wahlkarten,,,,,AT311,,Postal Vote
AT_50099,AT_50099,nichtzuordenbare Wahlkarten - Salzburg,,,,,AT322,,Postal Vote
AT_50199,AT_50199,Briefwahlkarten - Salzburg(Stadt),,,,,AT323,,Postal Vote
AT_50299,AT_50299,Briefwahlkarten - Hallein,,,,,AT323,,Postal Vote
AT_50399,AT_50399,Briefwahlkarten - Salzburg-Umgebung,,,,,AT323,,Postal Vote
AT_50499,AT_50499,Briefwahlkarten - Sankt Johann im Pongau,,,,,AT322,,Postal Vote
AT_50599,AT_50599,Briefwahlkarten - Tamsweg,,,,,AT321,,Postal Vote
AT_50699,AT_50699,Briefwahlkarten - Zell am See,,,,,AT322,,Postal Vote
AT_59999,AT_59999,Wahlkarten,,,,,AT322,,Postal Vote
AT_5A099,AT_5A099,Wahlkarten - Salzburg Stadt,,,,,AT322,,Postal Vote
AT_5A999,AT_5A999,Wahlkarten,,,,,AT322,,Postal Vote
AT_5B099,AT_5B099,Wahlkarten - Flachgau/Tennengau,,,,,AT322,,Postal Vote
AT_5B999,AT_5B999,Wahlkarten,,,,,AT322,,Postal Vote
AT_5C099,AT_5C099,Wahlkarten - Lungau/Pinzgau/Pongau,,,,,AT322,,Postal Vote
AT_5C999,AT_5C999,Wahlkarten,,,,,AT322,,Postal Vote
AT_60099,AT_60099,nichtzuordenbare Wahlkarten - Steiermark,,,,,AT224,,Postal Vote
AT_60199,AT_60199,Briefwahlkarten - Graz(Stadt),,,,,AT221,,Postal Vote
AT_60299,AT_60299,Briefwahlkarten - Bruck an der Mur,,,,,AT223,,Postal Vote
AT_60399,AT_60399,Briefwahlkarten - Deutschlandsberg,,,,,AT225,,Postal Vote
AT_60499,AT_60499,Briefwahlkarten - Feldbach,,,,,AT224,,Postal Vote
AT_60599,AT_60599,Briefwahlkarten - Fürstenfeld,,,,,AT224,,Postal Vote
AT_60699,AT_60699,Briefwahlkarten - Graz-Umgebung,,,,,AT221,,Postal Vote
AT_60799,AT_60799,Briefwahlkarten - Hartberg,,,,,AT224,,Postal Vote
AT_60899,AT_60899,Briefwahlkarten - Judenburg,,,,,AT226,,Postal Vote
AT_60999,AT_60999,Briefwahlkarten - Knittelfeld,,,,,AT226,,Postal Vote
AT_61099,AT_61099,Briefwahlkarten - Leibnitz,,,,,AT225,,Postal Vote
AT_61199,AT_61199,Briefwahlkarten - Leoben,,,,,AT223,,Postal Vote
AT_61299,AT_61299,Briefwahlkarten - Liezen,,,,,AT222,,Postal Vote
AT_61399,AT_61399,Briefwahlkarten - Mürzzuschlag,,,,,AT223,,Postal Vote
AT_61499,AT_61499,Briefwahlkarten - Murau,,,,,AT226,,Postal Vote
AT_61599,AT_61599,Briefwahlkarten - Radkersburg,,,,,AT224,,Postal Vote
AT_61699,AT_61699,Briefwahlkarten - Voitsberg,,,,,AT225,,Postal Vote
AT_61799,AT_61799,Briefwahlkarten - Weiz,,,,,AT224,,Postal Vote
AT_62099,AT_62099,Wahlkarten - Murtal,,,,,AT226,,Postal Vote
AT_62199,AT_62199,Wahlkarten - Bruck-Mürzzuschlag,,,,,AT223,,Postal Vote
AT_62299,AT_62299,Wahlkarten - Hartberg-Fürstenfeld,,,,,AT224,,Postal Vote
AT_62399,AT_62399,Wahlkarten - Südoststeiermark,,,,,AT224,,Postal Vote
AT_69999,AT_69999,Wahlkarten,,,,,AT224,,Postal Vote
AT_6A099,AT_6A099,Wahlkarten - Graz und Umgebung,,,,,AT224,,Postal Vote
AT_6A999,AT_6A999,Wahlkarten,,,,,AT224,,Postal Vote
AT_6B099,AT_6B099,Wahlkarten - Oststeiermark,,,,,AT224,,Postal Vote
AT_6B999,AT_6B999,Wahlkarten,,,,,AT224,,Postal Vote
AT_6C099,AT_6C099,Wahlkarten - Weststeiermark,,,,,AT224,,Postal Vote
AT_6C999,AT_6C999,Wahlkarten,,,,,AT224,,Postal Vote
AT_6D099,AT_6D099,Wahlkarten - Obersteiermark,,,,,AT224,,Postal Vote
AT_6D999,AT_6D999,Wahlkarten,,,,,AT224,,Postal Vote
AT_6E999,AT_6E999,Wahlkarten,,,,,AT224,,Postal Vote
AT_6F999,AT_6F999,Wahlkarten,,,,,AT224,,Postal Vote
AT_6G999,AT_6G999,Wahlkarten,,,,,AT224,,Postal Vote
AT_6H999,AT_6H999,Wahlkarten,,,,,AT224,,Postal Vote
