gisco_id,name,registered,turnout,invalid,blank,Abeceda,AMD,AM,ASH-DSŽ-SP-SUH,ABH,ABH-JH,A-HSS,DC,GR-MS,HRAST,HČSP,HDZ-HSP-BUZ,HRS,HSLS-HSS,HSP,HDSSB-HDSSD-Zeleni HR,HL,KLGB,NS-NSS,NSH,OS,PS,HB,SDP-HNS-HSU,SRP,HSU,ZNL,ZZ
HR_03140,Otok,4418,642,37,0,4,3,14,3,4,2,5,1,4,41,12,363,4,6,16,7,15,4,1,4,3,2,2,76,1,4,1,3
HR_03158,Ozalj,6238,1527,94,0,20,12,41,11,18,18,0,18,4,12,15,442,15,61,29,8,120,24,4,20,10,24,21,431,15,26,5,9
HR_03166,Pag,3125,779,40,0,5,2,11,13,6,3,3,5,2,12,3,269,1,17,19,1,28,17,1,1,1,6,2,280,1,16,0,14
HR_03174,Pakostane,3781,624,39,0,5,7,14,7,9,6,3,0,3,8,8,230,2,20,13,12,24,1,2,2,2,1,6,189,1,6,1,3
HR_03182,Pakrac,8401,1752,102,0,23,11,20,20,16,10,4,11,3,7,11,722,16,31,10,53,68,10,18,13,9,17,8,473,11,39,1,15
HR_03204,Pašman,2235,619,42,0,9,3,21,7,6,5,3,2,11,9,5,261,5,4,12,3,31,9,1,4,2,6,4,133,2,13,0,6
HR_03212,Pazin,7257,1694,113,0,14,10,27,22,2,9,4,4,12,51,5,251,11,12,4,4,45,679,5,5,10,12,1,332,6,22,2,20
HR_03239,Perusic,2426,627,22,0,8,8,3,11,3,6,3,1,2,9,3,356,2,10,2,1,11,6,5,5,1,3,0,130,5,8,1,2
HR_03247,Peteranec,2090,244,9,0,2,3,2,9,7,1,5,1,4,3,1,39,1,43,7,1,17,3,0,4,2,0,2,67,1,4,1,5
HR_03255,Petlovac,2139,613,33,0,4,2,10,5,2,5,4,10,2,6,1,167,2,33,4,110,12,5,5,5,2,4,0,169,1,5,1,4
HR_03263,Petrijanec,3760,710,44,0,8,7,6,10,10,10,2,1,3,38,0,202,8,33,6,3,46,3,3,14,4,5,7,221,1,7,0,8
HR_03271,Petrijevci,2378,500,24,0,6,0,3,2,3,1,2,2,1,2,5,123,2,11,16,125,26,6,0,6,4,1,3,113,2,10,0,1
HR_03280,Petrinja,22975,4027,293,0,38,24,66,28,28,55,13,30,12,37,29,1365,21,212,118,21,243,68,38,10,26,36,17,1094,21,49,3,32
HR_03298,Petrovsko,2143,486,48,0,7,3,10,5,2,3,3,4,1,2,3,107,11,32,4,1,39,6,1,7,3,4,1,154,4,13,1,7
HR_03301,Pican,1520,283,10,0,1,4,11,1,2,5,0,0,1,9,0,10,1,4,0,2,7,159,0,3,3,2,1,39,2,3,0,3
HR_03310,Pisarovina,2936,614,45,0,1,8,12,6,13,21,3,6,6,16,5,200,2,31,13,2,37,5,1,11,4,4,7,124,0,16,2,13
HR_03328,Pitomaca,7908,1811,66,0,7,5,21,10,5,17,6,6,7,14,3,841,9,202,12,56,55,12,3,15,7,6,7,387,2,20,1,9
HR_03336,Plaski,2267,345,21,0,7,0,7,0,1,0,1,5,1,2,1,111,1,5,2,2,22,8,8,2,1,0,2,125,0,5,0,5
HR_03344,Pleternica,9489,2923,120,0,30,8,31,51,32,23,9,4,6,26,6,1472,16,57,35,380,62,6,6,17,19,14,7,438,8,25,0,15
HR_03352,Ploce,8845,2527,134,0,14,9,27,15,9,13,9,7,3,23,11,1021,10,202,13,18,41,50,4,7,6,12,9,820,12,20,0,8
HR_03379,Podbablje,4059,830,26,0,3,4,7,4,2,15,2,0,0,17,36,380,0,133,27,67,14,9,0,1,4,1,1,63,4,8,0,2
HR_03387,Podcrkavlje,2142,649,43,0,4,7,11,10,6,11,3,6,4,4,3,258,7,41,31,75,9,8,2,8,5,5,2,76,1,4,0,5
HR_03395,Podgora,2574,599,36,0,2,4,10,5,4,4,1,0,7,5,10,190,2,4,9,5,19,8,2,2,6,9,4,234,3,4,1,9
